N,K,beta,t1,tv,t2,h1,hv,h2,tail_gamma,aw_mass_in_window,paper_bimodal
156,4,0.01,32,231.0,1160.0,0.00011037965364016368,6.519462990556536e-05,0.0002642964682720653,0.0003689234773340426,0.7135731030706607,True
158,4,0.01,32,238.0,1188.0,0.0001103796536470833,6.43923579676657e-05,0.0002578926834740548,0.0003602391574835143,0.7035471012696504,True
160,4,0.01,32,244.0,1217.0,0.00011037965365400565,6.36054440637838e-05,0.00025172225629343777,0.0003518683690225997,0.6935550952886076,True
162,4,0.01,32,251.0,1246.0,0.00011037965366085317,6.283425581057234e-05,0.0002457739245060329,0.00034379605388670554,0.683604696752371,True
164,4,0.01,32,258.0,1276.0,0.00011037965366766147,6.207831429707224e-05,0.00024003710416767735,0.0003360080508084155,0.673702966239835,True
166,4,0.01,32,265.0,1305.0,0.00011037965367440941,6.133721669800431e-05,0.00023450184541322225,0.0003284910318628516,0.6638564378697998,True
168,4,0.01,32,272.0,1336.0,0.00011037965368109716,6.0610637805584474e-05,0.0002291587668432084,0.0003212324441838136,0.654071144170205,True
170,4,0.01,32,280.0,1366.0,0.00011037965368769803,5.98983077060065e-05,0.00022399904600474164,0.0003142204563818159,0.6443526410809389,True
172,4,0.01,32,287.0,1397.0,0.00011037965369419648,5.91993820453072e-05,0.00021901429787223002,0.00030744390926145337,0.6347060328850781,True
174,4,0.01,32,294.0,1428.0,0.00011037965370060674,5.8514192110220265e-05,0.00021419669338855962,0.00030089227040187817,0.6251359967391774,True
176,4,0.01,32,302.0,1459.0,0.00011037965370691117,5.784199309155923e-05,0.0002095387950969247,0.0002945555922898692,0.6156468067481616,True
178,4,0.01,32,310.0,1491.0,0.00011037965371308356,5.7182812280065966e-05,0.00020503357603888337,0.0002884244737218221,0.6062423574998801,True
180,4,0.01,32,317.0,1523.0,0.00011037965371915132,5.653592135330927e-05,0.00020067440718115985,0.0002824900240493524,0.5969261868063587,True
182,4,0.01,32,325.0,1555.0,0.00011037965372507683,5.590125247284113e-05,0.00019645500966089112,0.0002767438302615029,0.5877014977196172,True
184,4,0.01,32,333.0,1588.0,0.00011037965373087847,5.527851959881622e-05,0.0001923694285182135,0.00027117792641206457,0.5785711796416864,True
186,4,0.01,32,341.0,1621.0,0.00011037965373654224,5.466741966917991e-05,0.0001884120420458655,0.0002657847653409035,0.5695378285756686,True
188,4,0.01,32,349.0,1654.0,0.00011037965374205734,5.406769471220632e-05,0.00018457751940833688,0.0002605571925104008,0.5606037664699128,True
190,4,0.01,32,358.0,1687.0,0.00011037965374743212,5.347885606502088e-05,0.0001808607772723453,0.0002554884216584362,0.5517710595039609,True
192,4,0.01,32,366.0,1721.0,0.00011037965375263816,5.290086821856285e-05,0.00017725703520449088,0.000250572012241345,0.5430415355713948,True
