kappa,window,window_lo,window_hi,window_width,phase,sep_peaks,mean_hit_time,corridor_share,outside_share,left_side_share,outer_reservoir_share,target_funnel_share,right_outside_share,outside_steps,tau_out_prob,tau_out_ratio,tau_out_post_share,tau_mem_prob,tau_mem_ratio,tau_mem_post_share,tau_mem_post_steps
0.0,peak1,532,584,53,1,0.4473978387777916,558.0050070072747,0.905004000739833,0.094995999260167,0.011611380692579295,0.007343003829548271,0.07604161473803962,0.08338461856758789,53.00824323283255,0.6301918988143399,0.791639073653428,0.13130736781306102,0.0,nan,nan,nan
0.0,valley,1468,1520,53,1,0.4473978387777916,1493.9995841958796,0.5194420815198246,0.4805579184801754,0.3447122515585662,0.09399452710241618,0.041851139819193216,0.1358456669216094,717.9533303914194,0.9850410886738656,0.1377805512511707,0.8493215844713271,0.0,nan,nan,nan
0.0,peak2,2333,2385,53,1,0.4473978387777916,2359.0001118602063,0.44420184324201945,0.5557981567579806,0.3029489962151545,0.21442932269022552,0.03841983785260054,0.2528491605428261,1311.1279139637727,0.9999660562920468,0.15687381719533453,0.8430975639757486,0.0,nan,nan,nan
0.004,peak1,524,576,53,1,0.3960463531015678,550.0050693228035,0.9029259388561554,0.09707406114384465,0.011591053869648016,0.00849045597701356,0.07699255129718305,0.08548300727419661,53.39122572886634,0.634066335824465,0.7869999783562275,0.1350561432541986,0.008031988694742441,0.48929996572129403,0.004101936901731144,2.2560860899944037
0.004,valley,1463,1515,53,1,0.3960463531015678,1488.9997203929938,0.5264889986379137,0.47351100136208635,0.303436819446594,0.12616604993498592,0.0439081319805061,0.17007418191549203,705.0577486311531,0.9913346145906548,0.15211193756808555,0.840540785586959,0.18313922696532528,0.2179134338669328,0.14323072914157567,213.2705156434908
0.004,peak2,2267,2319,53,1,0.3960463531015678,2293.000014507188,0.4381867347442929,0.5618132652557071,0.3164283245226705,0.20838761346783174,0.03699732726520474,0.2453849407330365,1288.237825381667,0.9999723470687845,0.14221525401796983,0.8577610257194518,0.19671689569852063,0.25553539426080946,0.14644876619843664,335.807023017575
0.0152,peak1,508,560,53,1,0.2731168460146653,534.0015826845228,0.8955902714594337,0.1044097285405663,0.011725920767997347,0.013503368074698461,0.07918043969787035,0.09268380777256881,55.75496028832379,0.6555544024945239,0.7593797194312643,0.15773968425630225,0.05308495510359332,0.4591211536864849,0.0287125292730363,15.332536074677073
0.0152,valley,1600,1652,53,1,0.2731168460146653,1625.999926453888,0.49875063278676823,0.5012493672132318,0.28005312200161386,0.1783832285532055,0.04281301665841248,0.22119624521161796,815.0314342237727,0.9992028560383291,0.14079520349803712,0.8585198865865927,0.49331132258605687,0.24647932235023082,0.3717202820873494,604.4171513354487
0.0152,peak2,1942,1994,53,1,0.2731168460146653,1967.999988568869,0.45139302486787575,0.5486069751321243,0.3128843871363068,0.1980090091679338,0.03771357882788375,0.23572258799581755,1079.6585207888224,0.9999446245318458,0.12272625049021767,0.8772251700652038,0.5316411391808311,0.2497319104612247,0.3988733818134203,784.9828108492372
