t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,1,nan,nan,nan,nan,nan,nan
6,3,nan,nan,nan,nan,nan,nan
7,3,nan,nan,nan,nan,nan,nan
8,8,nan,nan,nan,nan,nan,nan
9,6,nan,nan,nan,nan,nan,nan
10,10,nan,nan,nan,nan,nan,nan
11,11,nan,nan,nan,nan,nan,nan
12,18,nan,nan,nan,nan,nan,nan
13,21,nan,nan,nan,nan,nan,nan
14,13,nan,nan,nan,nan,nan,nan
15,19,nan,nan,nan,nan,nan,nan
16,25,nan,nan,nan,nan,nan,nan
17,13,nan,nan,nan,nan,nan,nan
18,20,nan,nan,nan,nan,nan,nan
19,16,nan,nan,nan,nan,nan,nan
20,28,nan,nan,nan,nan,nan,nan
21,17,nan,nan,nan,nan,nan,nan
22,15,nan,nan,nan,nan,nan,nan
23,30,nan,nan,nan,nan,nan,nan
24,25,nan,nan,nan,nan,nan,nan
25,24,nan,nan,nan,nan,nan,nan
26,16,nan,nan,nan,nan,nan,nan
27,23,nan,nan,nan,nan,nan,nan
28,23,nan,nan,nan,nan,nan,nan
29,26,nan,nan,nan,nan,nan,nan
30,22,nan,nan,nan,nan,nan,nan
31,23,nan,nan,nan,nan,nan,nan
32,19,nan,nan,nan,nan,nan,nan
33,25,nan,nan,nan,nan,nan,nan
34,15,nan,nan,nan,nan,nan,nan
35,16,nan,nan,nan,nan,nan,nan
36,25,nan,nan,nan,nan,nan,nan
37,19,nan,nan,nan,nan,nan,nan
38,18,nan,nan,nan,nan,nan,nan
39,27,nan,nan,nan,nan,nan,nan
40,15,nan,nan,nan,nan,nan,nan
41,32,nan,nan,nan,nan,nan,nan
42,12,nan,nan,nan,nan,nan,nan
43,25,nan,nan,nan,nan,nan,nan
44,24,nan,nan,nan,nan,nan,nan
45,24,nan,nan,nan,nan,nan,nan
46,19,nan,nan,nan,nan,nan,nan
47,23,nan,nan,nan,nan,nan,nan
48,17,nan,nan,nan,nan,nan,nan
49,28,nan,nan,nan,nan,nan,nan
50,32,nan,nan,nan,nan,nan,nan
51,18,nan,nan,nan,nan,nan,nan
52,19,nan,nan,nan,nan,nan,nan
53,17,nan,nan,nan,nan,nan,nan
54,24,nan,nan,nan,nan,nan,nan
55,27,nan,nan,nan,nan,nan,nan
56,30,nan,nan,nan,nan,nan,nan
57,16,nan,nan,nan,nan,nan,nan
58,27,nan,nan,nan,nan,nan,nan
59,17,nan,nan,nan,nan,nan,nan
60,22,nan,nan,nan,nan,nan,nan
61,18,nan,nan,nan,nan,nan,nan
