window,n,frac,P_sc_ge1,P_jo_ge1,C0,C1,C2p,J0,J1,J2p,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p,class_D_taujo_lt_tausc,class_D_tausc_lt_taujo,class_D_tie,P_sc_ge1_ci95_lo,P_sc_ge1_ci95_hi,P_jo_ge1_ci95_lo,P_jo_ge1_ci95_hi
peak1,977,0.004885,1.0,0.3142272262026612,0.0,1.0,0.0,0.6857727737973388,0.22006141248720573,0.09416581371545547,0.0,0.6857727737973388,0.0,0.3142272262026612,0.0,1.0,0.0,0.9960833635114988,1.0,0.2858942140098983,0.34401544724427363
valley,843,0.004215,0.9217081850533808,0.3819691577698695,0.07829181494661921,0.9217081850533808,0.0,0.6180308422301305,0.24199288256227758,0.13997627520759193,0.06168446026097272,0.5563463819691578,0.0166073546856465,0.365361803084223,0.0,1.0,0.0,0.9016013288346779,0.9379889794354873,0.3497756220344218,0.415233560320342
peak2,5801,0.029005,0.07653852784002758,0.2739182899500086,0.9234614721599724,0.07636614376831581,0.00017238407171177384,0.7260817100499913,0.17565936907429752,0.09825892087571109,0.6795380106878125,0.046543699362178934,0.24392346147215999,0.029994828477848647,0.005747126436781609,0.9942528735632183,0.0,0.06997375314578573,0.08366378969431519,0.26259427284407455,0.28554154536670995
other,192379,0.961895,0.07516412914091455,0.2852650237292012,0.9248358708590855,0.07486783900529684,0.00029629013561771297,0.7147349762707987,0.17477479350656777,0.11049023022263345,0.6696676872215782,0.04506728904922055,0.2551681836375072,0.030096840091694,0.0385146804835924,0.9614853195164076,0.0,0.07399440491070239,0.07635082005555577,0.2832515462937476,0.28728707704260725
