t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,0,nan,nan,nan,nan,nan,nan
6,0,nan,nan,nan,nan,nan,nan
7,7,nan,nan,nan,nan,nan,nan
8,2,nan,nan,nan,nan,nan,nan
9,4,nan,nan,nan,nan,nan,nan
10,5,nan,nan,nan,nan,nan,nan
11,13,nan,nan,nan,nan,nan,nan
12,9,nan,nan,nan,nan,nan,nan
13,11,nan,nan,nan,nan,nan,nan
14,11,nan,nan,nan,nan,nan,nan
15,9,nan,nan,nan,nan,nan,nan
16,8,nan,nan,nan,nan,nan,nan
17,4,nan,nan,nan,nan,nan,nan
18,14,nan,nan,nan,nan,nan,nan
19,9,nan,nan,nan,nan,nan,nan
20,15,nan,nan,nan,nan,nan,nan
21,7,nan,nan,nan,nan,nan,nan
22,10,nan,nan,nan,nan,nan,nan
23,12,nan,nan,nan,nan,nan,nan
24,11,nan,nan,nan,nan,nan,nan
25,13,nan,nan,nan,nan,nan,nan
26,6,nan,nan,nan,nan,nan,nan
27,8,nan,nan,nan,nan,nan,nan
28,12,nan,nan,nan,nan,nan,nan
29,16,nan,nan,nan,nan,nan,nan
30,14,nan,nan,nan,nan,nan,nan
31,13,nan,nan,nan,nan,nan,nan
32,7,nan,nan,nan,nan,nan,nan
33,13,nan,nan,nan,nan,nan,nan
34,11,nan,nan,nan,nan,nan,nan
35,6,nan,nan,nan,nan,nan,nan
36,13,nan,nan,nan,nan,nan,nan
37,16,nan,nan,nan,nan,nan,nan
38,7,nan,nan,nan,nan,nan,nan
39,16,nan,nan,nan,nan,nan,nan
40,9,nan,nan,nan,nan,nan,nan
41,13,nan,nan,nan,nan,nan,nan
42,10,nan,nan,nan,nan,nan,nan
43,9,nan,nan,nan,nan,nan,nan
44,7,nan,nan,nan,nan,nan,nan
45,7,nan,nan,nan,nan,nan,nan
46,18,nan,nan,nan,nan,nan,nan
47,11,nan,nan,nan,nan,nan,nan
48,11,nan,nan,nan,nan,nan,nan
49,7,nan,nan,nan,nan,nan,nan
50,13,nan,nan,nan,nan,nan,nan
51,6,nan,nan,nan,nan,nan,nan
52,9,nan,nan,nan,nan,nan,nan
53,11,nan,nan,nan,nan,nan,nan
54,4,nan,nan,nan,nan,nan,nan
55,7,nan,nan,nan,nan,nan,nan
56,7,nan,nan,nan,nan,nan,nan
57,10,nan,nan,nan,nan,nan,nan
58,9,nan,nan,nan,nan,nan,nan
59,9,nan,nan,nan,nan,nan,nan
60,10,nan,nan,nan,nan,nan,nan
61,8,nan,nan,nan,nan,nan,nan
