level,family,mass
fine,N_direct,0.3255854612326752
fine,N_detour,0.024150647702938757
fine,F_clean,0.18427803421749625
fine,F_linger,0.38484556833788225
fine,F_rollback,0.08114028847672862
coarse,N_direct,0.3255854612326752
coarse,N_detour,0.024150647702938757
coarse,F_no_return,0.5691236025553807
coarse,F_rollback,0.08114028847672862
