family,n,mass_mc,mass_exact,abs_err,t_escape_med,t_x29_med,t_x43_med,t_hit_med
N_direct,6484,0.3242,0.3255854612326752,0.0013854612326751892,,,,25.0
N_detour,489,0.02445,0.024150647702938757,0.0002993522970612429,42.0,,,82.0
F_clean,3770,0.1885,0.18427803421749625,0.00422196578250375,52.0,175.0,290.0,544.0
F_linger,7629,0.38145,0.38484556833788225,0.0033955683378822377,44.0,168.0,283.0,533.0
F_rollback,1627,0.08135,0.08114028847672862,0.00020971152327138587,48.0,220.0,340.0,591.0
