t,f_total,k_0,k_1,k_2,k_3,k_4,k_5,k_6
1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2,9.3789062499999971e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.3789062499999971e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3,5.6625146484374986e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.2462221679687495e-03,3.1700703124999991e-03,1.2462221679687495e-03,0.0000000000000000e+00,0.0000000000000000e+00
4,1.0777446984558101e-02,0.0000000000000000e+00,2.9234600326538072e-04,2.6021247827148430e-03,4.9885054125976547e-03,2.6021247827148430e-03,2.9234600326538072e-04,0.0000000000000000e+00
5,1.4741418621288388e-02,4.2711267037582373e-05,7.1963984177837357e-04,3.5977854901330934e-03,6.0211454233902902e-03,3.5977854901330930e-03,7.1963984177837357e-04,4.2711267037582373e-05
6,1.7563079910413185e-02,1.3725999357461655e-04,1.1742212560960801e-03,4.2333017748571351e-03,6.4735138613575193e-03,4.2333017748571351e-03,1.1742212560960801e-03,1.3725999357461655e-04
7,1.9542233813264337e-02,2.6738150890091481e-04,1.5982968837156414e-03,4.6102864635972204e-03,6.5903041008367816e-03,4.6102864635972204e-03,1.5982968837156414e-03,2.6738150890091486e-04
8,2.0923547429782717e-02,4.1104158340472271e-04,1.9645990041151141e-03,4.8183883479815236e-03,6.5354895587799991e-03,4.8183883479815228e-03,1.9645990041151145e-03,4.1104158340472271e-04
9,2.1868152426057295e-02,5.5062209754984034e-04,2.2641797339238955e-03,4.9187154004309234e-03,6.4011179622479762e-03,4.9187154004309234e-03,2.2641797339238955e-03,5.5062209754984034e-04
10,2.2481680313806061e-02,6.7533502082748936e-04,2.4984081231123638e-03,4.9498880949599231e-03,6.2344178360065113e-03,4.9498880949599231e-03,2.4984081231123638e-03,6.7533502082748947e-04
11,2.2837630471569018e-02,7.8018618065092455e-04,2.6737369196964478e-03,4.9358661210356604e-03,6.0580520288029552e-03,4.9358661210356604e-03,2.6737369196964482e-03,7.8018618065092476e-04
12,2.2990524286016875e-02,8.6409410831947658e-04,2.7985193748229610e-03,4.8916008443972928e-03,5.8820956309374121e-03,4.8916008443972928e-03,2.7985193748229615e-03,8.6409410831947680e-04
13,2.2982654930010962e-02,9.2822938661302342e-04,2.8812533863542245e-03,4.8265995315591387e-03,5.7104903209581935e-03,4.8265995315591387e-03,2.8812533863542249e-03,9.2822938661302364e-04
14,2.2847647462896629e-02,9.7484268293782257e-04,2.9297293002625499e-03,4.7470748204627451e-03,5.5443538555703959e-03,4.7470748204627451e-03,2.9297293002625499e-03,9.7484268293782268e-04
15,2.2612543066164406e-02,1.0065388708717189e-03,2.9507012241479268e-03,4.6572233926137786e-03,5.3836160908975568e-03,4.6572233926137786e-03,2.9507012241479268e-03,1.0065388708717189e-03
16,2.2299188235457342e-02,1.0258745071277096e-03,2.9498360257396816e-03,4.5599856193310291e-03,5.2277959310605042e-03,4.5599856193310282e-03,2.9498360257396816e-03,1.0258745071277094e-03
17,2.1925260566834658e-02,1.0351630901285303e-03,2.9317940487042253e-03,4.4574989670833299e-03,5.0763483550024854e-03,4.4574989670833299e-03,2.9317940487042253e-03,1.0351630901285303e-03
18,2.1505071117832893e-02,1.0364026877414708e-03,2.9003608091635285e-03,4.3513710676227812e-03,4.9288019887773309e-03,4.3513710676227812e-03,2.9003608091635285e-03,1.0364026877414708e-03
19,2.1050207459246472e-02,1.0312698019781981e-03,2.8585881680362932e-03,4.2428464618106867e-03,4.7847985955961183e-03,4.2428464618106867e-03,2.8585881680362937e-03,1.0312698019781981e-03
20,2.0570052697585665e-02,1.0211453185828587e-03,2.8089256693244495e-03,4.1329104570702819e-03,4.6440898076304821e-03,4.1329104570702819e-03,2.8089256693244499e-03,1.0211453185828587e-03
21,2.0072204470892689e-02,1.0071530613562172e-03,2.7533346191944102e-03,4.0223555946099073e-03,4.5065179205716170e-03,4.0223555946099065e-03,2.7533346191944107e-03,1.0071530613562174e-03
22,1.9562812678374748e-02,9.9020058158517531e-04,2.6933834567660500e-03,3.9118256949145962e-03,4.3719932118431049e-03,3.9118256949145953e-03,2.6933834567660496e-03,9.9020058158517531e-04
23,1.9046851401025661e-02,9.7101716708008318e-04,2.6303257048030911e-03,3.8018462749088064e-03,4.2404731074417020e-03,3.8018462749088060e-03,2.6303257048030911e-03,9.7101716708008318e-04
24,1.8528337829111875e-02,9.5018704392561468e-04,2.5651628284782692e-03,3.6928465109296498e-03,4.1119450624448103e-03,3.6928465109296498e-03,2.5651628284782692e-03,9.5018704392561468e-04
25,1.8010508717087124e-02,9.2817731560705923e-04,2.4986945302184504e-03,3.5851758032094017e-03,3.9864134190172986e-03,3.5851758032094021e-03,2.4986945302184504e-03,9.2817731560705923e-04
26,1.7495962893384998e-02,9.0536094221742357e-04,2.4315588287437870e-03,3.4791167595935361e-03,3.8638898322755056e-03,3.4791167595935361e-03,2.4315588287437870e-03,9.0536094221742357e-04
