t,f_total,k_0,k_1,k_2,k_3,k_4,k_5,k_6
1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2,2.8947241512345675e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.8947241512345675e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3,4.2902224191422320e-03,0.0000000000000000e+00,0.0000000000000000e+00,3.3978834950220767e-03,8.5233544453017815e-04,4.0003479589977699e-05,0.0000000000000000e+00,0.0000000000000000e+00
4,1.1595153113883948e-02,0.0000000000000000e+00,4.5842697366674668e-03,5.4657099252429578e-03,1.4277562384888121e-03,1.1479893018515837e-04,2.6182832995523596e-06,0.0000000000000000e+00
5,1.6208639427631042e-02,3.5559329568642253e-04,6.9776216235448475e-03,6.7120539840146145e-03,1.9371037397782965e-03,2.1624886257453366e-04,9.8619454420782344e-06,1.5597659024714356e-07
6,1.8966474374925213e-02,8.2229650808303683e-04,8.0160905367096195e-03,7.3934106927938002e-03,2.3755853991894436e-03,3.3574233132637528e-04,2.2702278279620586e-05,6.4662854331354721e-07
7,2.0616109751970570e-02,1.2926902200642199e-03,8.3431860236746671e-03,7.7283003892763009e-03,2.7438980934958862e-03,4.6528078033497003e-04,4.1158452901718842e-05,1.5957922228085238e-06
8,2.1603723860405776e-02,1.7198007891215492e-03,8.3259314963048635e-03,7.8473391346705092e-03,3.0451263839418215e-03,5.9791697522067156e-04,6.4556368193796629e-05,3.0527129525659472e-06
9,2.2174528949644064e-02,2.0890433218507991e-03,8.1480774954260163e-03,7.8284777394273600e-03,3.2840613794484965e-03,7.2805726817395478e-04,9.1811554389674310e-05,5.0001909277663215e-06
10,2.2466579816563949e-02,2.3991499973664743e-03,7.9001540935749858e-03,7.7200258979048721e-03,3.4667114163277456e-03,8.5149891552294718e-04,1.2166649027301000e-04,7.3730055939121442e-06
11,2.2562101453182850e-02,2.6539935778187250e-03,7.6267098869256091e-03,7.5534675590857910e-03,3.5996866566079980e-03,9.6530369197837828e-04,1.5286267368881074e-04,1.0077407077539236e-05
12,2.2513391256916673e-02,2.8591407283375366e-03,7.3495627359877721e-03,7.3501538184892875e-03,3.6896746087302576e-03,1.0676005697459121e-03,1.8425114411663222e-04,1.3007651509275168e-05
13,2.2355862130859092e-02,3.0204651471391329e-03,7.0791279971628134e-03,7.1249095011791412e-03,3.7430724788978017e-03,1.1573752308346407e-03,2.1485344877523170e-04,1.6058326870325560e-05
14,2.2114804852812312e-02,3.1436037999096967e-03,6.8200211803747081e-03,6.8881191476983647e-03,3.7657669018150114e-03,1.2342748167898563e-03,2.4388643802111562e-04,1.9132568203561112e-05
15,2.1809057822207819e-02,3.2337544073748532e-03,6.5738912201760554e-03,6.6470367336269156e-03,3.7630268169378538e-03,1.2984390881561028e-03,2.7076272841133279e-04,2.2146827524705960e-05
16,2.1453109028815826e-02,3.2956114716619724e-03,6.3408866426083567e-03,6.4066675248200238e-03,3.7394737796578323e-03,1.3503603965643670e-03,2.9507619538071483e-04,2.5033018122559513e-05
17,2.1058369503975771e-02,3.3333603587337511e-03,6.1204287481242048e-03,6.1703908023778287e-03,3.6991005469853566e-03,1.3907708594057123e-03,3.1657938026420196e-04,2.7738808084713406e-05
18,2.0633986889948309e-02,3.3506972178765724e-03,5.9116235290566912e-03,5.9404115508538847e-03,3.6453167565372348e-03,1.4205535402369955e-03,3.3515758396633882e-04,3.0226711420589056e-05
19,2.0187390212123159e-02,3.3508611613928081e-03,5.7134802830836788e-03,5.7180920515584252e-03,3.5810074531669425e-03,1.4406740201443387e-03,3.5080276385645855e-04,3.2472478920510349e-05
20,1.9724669566034039e-02,3.3366722884817322e-03,5.5250246332155667e-03,5.5041960287819918e-03,3.5085954760537873e-03,1.4521288612202048e-03,3.6358912358824466e-04,3.4463154692512962e-05
