t,f_total,survival_before,survival_after
1,0.0000000000000000e+00,1.0000000000000000e+00,9.9999999999999989e-01
2,2.8947241512345675e-04,9.9999999999999989e-01,9.9971052758487655e-01
3,4.2902224191422320e-03,9.9971052758487655e-01,9.9542030516573421e-01
4,1.1595153113883948e-02,9.9542030516573421e-01,9.8382515205185017e-01
5,1.6208639427631042e-02,9.8382515205185017e-01,9.6761651262421922e-01
6,1.8966474374925213e-02,9.6761651262421922e-01,9.4865003824929406e-01
7,2.0616109751970570e-02,9.4865003824929406e-01,9.2803392849732347e-01
8,2.1603723860405776e-02,9.2803392849732347e-01,9.0643020463691759e-01
9,2.2174528949644064e-02,9.0643020463691759e-01,8.8425567568727370e-01
10,2.2466579816563949e-02,8.8425567568727370e-01,8.6178909587070962e-01
11,2.2562101453182850e-02,8.6178909587070962e-01,8.3922699441752679e-01
12,2.2513391256916673e-02,8.3922699441752679e-01,8.1671360316060992e-01
13,2.2355862130859092e-02,8.1671360316060992e-01,7.9435774102975099e-01
14,2.2114804852812312e-02,7.9435774102975099e-01,7.7224293617693862e-01
15,2.1809057822207819e-02,7.7224293617693862e-01,7.5043387835473063e-01
16,2.1453109028815826e-02,7.5043387835473063e-01,7.2898076932591482e-01
17,2.1058369503975771e-02,7.2898076932591482e-01,7.0792239982193905e-01
18,2.0633986889948309e-02,7.0792239982193905e-01,6.8728841293199072e-01
19,2.0187390212123159e-02,6.8728841293199072e-01,6.6710102271986760e-01
20,1.9724669566034039e-02,6.6710102271986760e-01,6.4737635315383357e-01
21,1.9250849845429838e-02,6.4737635315383357e-01,6.2812550330840367e-01
22,1.8770093868462779e-02,6.2812550330840367e-01,6.0935540943994082e-01
23,1.8285856966122373e-02,6.0935540943994082e-01,5.9106955247381854e-01
24,1.7801007300562232e-02,5.9106955247381854e-01,5.7326854517325621e-01
25,1.7317921406630455e-02,5.7326854517325621e-01,5.5595062376662574e-01
26,1.6838561419100617e-02,5.5595062376662574e-01,5.3911206234752518e-01
27,1.6364538469245626e-02,5.3911206234752518e-01,5.2274752387827950e-01
28,1.5897165414893662e-02,5.2274752387827950e-01,5.0685035846338578e-01
29,1.5437501174402585e-02,5.0685035846338578e-01,4.9141285728898326e-01
30,1.4986388322330997e-02,4.9141285728898326e-01,4.7642646896665219e-01
31,1.4544485180249495e-02,4.7642646896665219e-01,4.6188198378640266e-01
32,1.4112293339266849e-02,4.6188198378640266e-01,4.4776969044713577e-01
33,1.3690181340823468e-02,4.4776969044713577e-01,4.3407950910631238e-01
34,1.3278405091730160e-02,4.3407950910631238e-01,4.2080110401458215e-01
35,1.2877125479710292e-02,4.2080110401458215e-01,4.0792397853487183e-01
36,1.2486423574186294e-02,4.0792397853487183e-01,3.9543755496068556e-01
37,1.2106313735122012e-02,3.9543755496068556e-01,3.8333124122556356e-01
38,1.1736754904527398e-02,3.8333124122556356e-01,3.7159448632103609e-01
39,1.1377660316767084e-02,3.7159448632103609e-01,3.6021682600426896e-01
40,1.1028905832380007e-02,3.6021682600426896e-01,3.4918792017188899e-01
41,1.0690337073873140e-02,3.4918792017188899e-01,3.3849758309801592e-01
42,1.0361775519641488e-02,3.3849758309801592e-01,3.2813580757837435e-01
43,1.0043023692926333e-02,3.2813580757837435e-01,3.1809278388544804e-01
44,9.7338695659528948e-03,3.1809278388544804e-01,3.0835891431949514e-01
45,9.4340902846620327e-03,3.0835891431949514e-01,2.9892482403483311e-01
46,9.1434553064571704e-03,2.9892482403483311e-01,2.8978136872837590e-01
47,8.8617290318937451e-03,2.8978136872837590e-01,2.8091963969648215e-01
48,8.5886730010607017e-03,2.8091963969648215e-01,2.7233096669542145e-01
49,8.3240477163930293e-03,2.7233096669542145e-01,2.6400691897902839e-01
50,8.0676141456844930e-03,2.6400691897902839e-01,2.5593930483334387e-01
51,7.8191349520322605e-03,2.5593930483334387e-01,2.4812016988131164e-01
52,7.5783754912420575e-03,2.4812016988131164e-01,2.4054179439006956e-01
53,7.3451046117673727e-03,2.4054179439006956e-01,2.3319668977830219e-01
54,7.1190952874693918e-03,2.3319668977830219e-01,2.2607759449083281e-01
55,6.9001251092939359e-03,2.2607759449083281e-01,2.1917746938153887e-01
56,6.6879766583018956e-03,2.1917746938153887e-01,2.1248949272323692e-01
57,6.4824377793007660e-03,2.1248949272323692e-01,2.0600705494393617e-01
58,6.2833017715526367e-03,2.0600705494393617e-01,1.9972375317238350e-01
59,6.0903675106292621e-03,1.9972375317238350e-01,1.9363338566175425e-01
60,5.9034395134035028e-03,1.9363338566175425e-01,1.8772994614835073e-01
61,5.7223279563688063e-03,1.8772994614835073e-01,1.8200761819198194e-01
62,5.5468486559289345e-03,1.8200761819198194e-01,1.7646076953605300e-01
63,5.3768230179674931e-03,1.7646076953605300e-01,1.7108394651808548e-01
64,5.2120779628626298e-03,1.7108394651808548e-01,1.6587186855522285e-01
65,5.0524458311322013e-03,1.6587186855522285e-01,1.6081942272409067e-01
66,4.8977642740564726e-03,1.6081942272409067e-01,1.5592165845003417e-01
67,4.7478761329102764e-03,1.5592165845003417e-01,1.5117378231712386e-01
68,4.6026293098273274e-03,1.5117378231712386e-01,1.4657115300729653e-01
69,4.4618766328017069e-03,1.4657115300729653e-01,1.4210927637449486e-01
70,4.3254757168923351e-03,1.4210927637449486e-01,1.3778380065760251e-01
71,4.1932888233246401e-03,1.3778380065760251e-01,1.3359051183427786e-01
72,4.0651827178697347e-03,1.3359051183427786e-01,1.2952532911640813e-01
73,3.9410285296171063e-03,1.2952532911640813e-01,1.2558430058679101e-01
74,3.8207016110346236e-03,1.2558430058679101e-01,1.2176359897575638e-01
75,3.7040814000235791e-03,1.2176359897575638e-01,1.1805951757573280e-01
76,3.5910512845209984e-03,1.1805951757573280e-01,1.1446846629121180e-01
77,3.4814984700719635e-03,1.1446846629121180e-01,1.1098696782113984e-01
78,3.3753138506873431e-03,1.1098696782113984e-01,1.0761165397045250e-01
79,3.2723918832136111e-03,1.0761165397045250e-01,1.0433926208723887e-01
80,3.1726304653685090e-03,1.0433926208723887e-01,1.0116663162187037e-01
81,3.0759308175366913e-03,1.0116663162187037e-01,9.8090700804333658e-02
82,2.9821973683710552e-03,9.8090700804333658e-02,9.5108503435962610e-02
83,2.8913376442064299e-03,9.5108503435962610e-02,9.2217165791756178e-02
84,2.8032621622610956e-03,9.2217165791756178e-02,8.9413903629495084e-02
85,2.7178843275769940e-03,8.9413903629495084e-02,8.6696019301918087e-02
86,2.6351203336303351e-03,8.6696019301918087e-02,8.4060898968287751e-02
87,2.5548890665296306e-03,8.4060898968287751e-02,8.1506009901758117e-02
88,2.4771120127073491e-03,8.1506009901758117e-02,7.9028897889050764e-02
89,2.4017131700035119e-03,7.9028897889050764e-02,7.6627184719047253e-02
90,2.3286189620342706e-03,7.6627184719047253e-02,7.4298565757012963e-02
91,2.2577581557352636e-03,7.4298565757012963e-02,7.2040807601277707e-02
92,2.1890617819679361e-03,7.2040807601277707e-02,6.9851745819309780e-02
93,2.1224630590767398e-03,6.9851745819309780e-02,6.7729282760233045e-02
94,2.0578973192859223e-03,6.7729282760233045e-02,6.5671385440947111e-02
95,1.9953019378262148e-03,6.5671385440947111e-02,6.3676083503120887e-02
96,1.9346162646839752e-03,6.3676083503120887e-02,6.1741467238436903e-02
97,1.8757815588680610e-03,6.1741467238436903e-02,5.9865685679568841e-02
98,1.8187409250928100e-03,5.9865685679568841e-02,5.8046944754476033e-02
99,1.7634392527787861e-03,5.8046944754476033e-02,5.6283505501697237e-02
100,1.7098231572764801e-03,5.6283505501697237e-02,5.4573682344420768e-02
101,1.6578409232217029e-03,5.4573682344420768e-02,5.2915841421199067e-02
102,1.6074424499350440e-03,5.2915841421199067e-02,5.1308398971264019e-02
103,1.5585791987813649e-03,5.1308398971264019e-02,4.9749819772482648e-02
104,1.5112041424088782e-03,4.9749819772482648e-02,4.8238615630073770e-02
105,1.4652717157908576e-03,4.8238615630073770e-02,4.6773343914282908e-02
106,1.4207377689964351e-03,4.6773343914282908e-02,4.5352606145286481e-02
107,1.3775595216202658e-03,4.5352606145286481e-02,4.3975046623666206e-02
108,1.3356955188040163e-03,4.3975046623666206e-02,4.2639351104862194e-02
109,1.2951055887857334e-03,4.2639351104862194e-02,4.1344245516076461e-02
110,1.2557508019160751e-03,4.1344245516076461e-02,4.0088494714160386e-02
111,1.2175934310832315e-03,4.0088494714160386e-02,3.8870901283077144e-02
112,1.1805969134910492e-03,3.8870901283077144e-02,3.7690304369586092e-02
113,1.1447258137374395e-03,3.7690304369586092e-02,3.6545578555848661e-02
114,1.1099457881426139e-03,3.6545578555848661e-02,3.5435632767706046e-02
115,1.0762235502789906e-03,3.5435632767706046e-02,3.4359409217427056e-02
116,1.0435268376568589e-03,3.4359409217427056e-02,3.3315882379770193e-02
117,1.0118243795219496e-03,3.3315882379770193e-02,3.2304058000248242e-02
118,9.8108586572307984e-04,3.2304058000248242e-02,3.1322972134525159e-02
119,9.5128191660990517e-04,3.1322972134525159e-02,3.0371690217915255e-02
120,9.2238405392261230e-04,3.0371690217915255e-02,2.9449306163992640e-02
121,8.9436467263707129e-04,2.9449306163992640e-02,2.8554941491355568e-02
122,8.6719701373057505e-04,2.8554941491355568e-02,2.7687744477624992e-02
123,8.4085513783481631e-04,2.7687744477624992e-02,2.6846889339790174e-02
124,8.1531389974418814e-04,2.6846889339790174e-02,2.6031575440045987e-02
125,7.9054892374886296e-04,2.6031575440045987e-02,2.5241026516297123e-02
126,7.6653657976340152e-04,2.5241026516297123e-02,2.4474489936533721e-02
127,7.4325396022286360e-04,2.4474489936533721e-02,2.3731235976310851e-02
128,7.2067885771956723e-04,2.3731235976310851e-02,2.3010557118591290e-02
129,6.9878974335473823e-04,2.3010557118591290e-02,2.2311767375236550e-02
130,6.7756574578034599e-04,2.2311767375236550e-02,2.1634201629456201e-02
131,6.5698663090741716e-04,2.1634201629456201e-02,2.0977214998548786e-02
132,6.3703278225806089e-04,2.0977214998548786e-02,2.0340182216290720e-02
133,6.1768518193934887e-04,2.0340182216290720e-02,1.9722497034351374e-02
134,5.9892539221803446e-04,1.9722497034351374e-02,1.9123571642133338e-02
135,5.8073553767592427e-04,1.9123571642133338e-02,1.8542836104457415e-02
136,5.6309828792648197e-04,1.8542836104457415e-02,1.7979737816530932e-02
137,5.4599684087398219e-04,1.7979737816530932e-02,1.7433740975656951e-02
138,5.2941490649724475e-04,1.7433740975656951e-02,1.6904326069159703e-02
139,5.1333669114063895e-04,1.6904326069159703e-02,1.6390989378019066e-02
140,4.9774688229570121e-04,1.6390989378019066e-02,1.5893242495723364e-02
141,4.8263063385730893e-04,1.5893242495723364e-02,1.5410611861866052e-02
142,4.6797355183894775e-04,1.5410611861866052e-02,1.4942638310027104e-02
143,4.5376168053216150e-04,1.4942638310027104e-02,1.4488876629494944e-02
144,4.3998148909581305e-04,1.4488876629494944e-02,1.4048895140399129e-02
145,4.2661985856129171e-04,1.4048895140399129e-02,1.3622275281837837e-02
146,4.1366406924029465e-04,1.3622275281837837e-02,1.3208611212597542e-02
147,4.0110178852227992e-04,1.3208611212597542e-02,1.2807509424075263e-02
148,3.8892105904913334e-04,1.2807509424075263e-02,1.2418588365026129e-02
149,3.7711028725502771e-04,1.2418588365026129e-02,1.2041478077771100e-02
150,3.6565823225986476e-04,1.2041478077771100e-02,1.1675819845511234e-02
151,3.5455399510508283e-04,1.1675819845511234e-02,1.1321265850406152e-02
152,3.4378700832100276e-04,1.1321265850406152e-02,1.0977478842085147e-02
153,3.3334702581524085e-04,1.0977478842085147e-02,1.0644131816269907e-02
154,3.2322411307207747e-04,1.0644131816269907e-02,1.0320907703197831e-02
155,3.1340863765300417e-04,1.0320907703197831e-02,1.0007499065544824e-02
156,3.0389125998899711e-04,1.0007499065544824e-02,9.7036078055558264e-03
157,2.9466292445537966e-04,9.7036078055558264e-03,9.4089448811004450e-03
158,2.8571485072043822e-04,9.4089448811004450e-03,9.1232300303800071e-03
159,2.7703852535924353e-04,9.1232300303800071e-03,8.8461915050207646e-03
160,2.6862569372441015e-04,8.8461915050207646e-03,8.5775658112963536e-03
161,2.6046835206579766e-04,8.5775658112963536e-03,8.3170974592305554e-03
162,2.5255873989141523e-04,8.3170974592305554e-03,8.0645387193391399e-03
163,2.4488933256203919e-04,8.0645387193391399e-03,7.8196493867771014e-03
164,2.3745283411230129e-04,7.8196493867771014e-03,7.5821965526647996e-03
165,2.3024217029122960e-04,7.5821965526647996e-03,7.3519543823735703e-03
166,2.2325048181545614e-04,7.3519543823735703e-03,7.1287039005581126e-03
167,2.1647111782851738e-04,7.1287039005581126e-03,6.9122327827295955e-03
168,2.0989762955988528e-04,6.9122327827295955e-03,6.7023351531697098e-03
169,2.0352376417756828e-04,6.7023351531697098e-03,6.4988113889921425e-03
170,1.9734345882831662e-04,6.4988113889921425e-03,6.3014679301638243e-03
171,1.9135083485965560e-04,6.3014679301638243e-03,6.1101170953041690e-03
