t,f_total,k_0,k_1,k_2,k_3,k_4,k_5,k_6
1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3,4.9250515073088122e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.9250515073088122e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
4,1.5519897553674004e-04,0.0000000000000000e+00,0.0000000000000000e+00,1.2061416939652705e-04,3.2828546453405303e-05,1.7562596868076909e-06,0.0000000000000000e+00,0.0000000000000000e+00
5,9.2335405939741129e-04,0.0000000000000000e+00,4.3252102908785284e-04,3.8822450162475167e-04,9.4662318146151645e-05,7.7639876705909428e-06,1.8222286806423265e-07,0.0000000000000000e+00
6,2.6019901266184794e-03,4.4478770700675629e-04,1.1752055868214394e-03,7.7066085057297539e-04,1.9060482818184795e-04,1.9871077297241246e-05,8.4834436271507928e-07,1.1732375503700994e-08
7,4.8241447306815385e-03,1.1869428041028428e-03,2.0637932298920225e-03,1.2172740934767339e-03,3.1479685593813146e-04,3.8955184437806318e-05,2.3252032991092702e-06,5.7359534892252962e-08
8,7.2215752717800829e-03,2.0389127555262817e-03,2.9691177712418168e-03,1.6841809265615252e-03,4.5922626218095552e-04,6.5075929393929705e-05,4.8975414455236836e-06,1.6408543005060458e-07
9,9.5439693576397314e-03,2.8693939742027424e-03,3.8118227098719953e-03,2.1399561281195585e-03,6.1594199946849175e-04,9.7724494300778519e-05,8.7712917490982768e-06,3.5875992706669878e-07
10,1.1652190382971852e-02,3.6075747348814908e-03,4.5510976984331642e-03,2.5647059088639177e-03,7.7804341396152561e-04,1.3604461811388716e-04,1.4060099942914358e-05,6.6390877495263177e-07
11,1.3484091406854699e-02,4.2243618959501641e-03,5.1715302139476197e-03,2.9473280350364324e-03,9.3998952374717564e-04,1.7899898862995886e-04,2.0787312129334951e-05,1.0954374140109730e-06
12,1.5024504055464596e-02,4.7151780228932858e-03,5.6728645276720490e-03,3.2828445381241911e-03,1.0975722756590260e-03,2.2548579620811017e-04,2.8897127481533215e-05,1.6617674263988618e-06
13,1.6284382829598629e-02,5.0882068335692653e-03,6.0630787127551851e-03,3.5702974846086241e-03,1.2477489563226868e-03,2.7441655157683069e-04,3.8270273047886694e-05,2.3640177181474492e-06
14,1.7287666520190294e-02,5.3572725099527750e-03,6.3540288215517661e-03,3.8112272705567436e-03,1.3884344343617835e-03,3.2476562773106464e-04,4.8741004657852479e-05,3.1968513783074338e-06
15,1.8063477956960037e-02,5.5378415196832113e-03,6.5588509314966903e-03,4.0086221962938500e-03,1.5183004603056339e-03,3.7559977645183605e-04,6.0113395362419478e-05,4.1496773663955954e-06
16,1.8641730259323776e-02,5.6449394928335464e-03,6.6904964160623042e-03,4.1662160216793774e-03,1.6366008953049181e-03,4.2609371186288960e-04,7.2175744193647982e-05,5.2079773870926038e-06
17,1.9050812074408924e-02,5.6921795201815119e-03,6.7609701992207075e-03,4.2880313985861921e-03,1.7430276618842562e-03,4.7553613430402350e-04,8.4712557751119919e-05,6.3546024811090649e-06
18,1.9316500852779504e-02,5.6914069809902729e-03,6.7809911220402252e-03,4.3780927038193423e-03,1.8375958301846660e-03,5.2332930007236420e-04,9.7513971648898303e-05,7.5709440237376149e-06
19,1.9461578092986678e-02,5.6526689999531416e-03,6.7598967382549186e-03,4.4402535227823659e-03,1.9205538280363983e-03,5.6898433881715903e-04,1.1038273607220499e-04,8.8379290704852791e-06
20,1.9505828836322885e-02,5.5843416739466576e-03,6.7056826765599471e-03,4.4781004969751698e-03,1.9923142504334598e-03,6.1211388371924043e-04,1.2313903273352084e-04,1.0136821954887641e-05
21,1.9466237254597025e-02,5.4933225646322794e-03,6.6251100661450920e-03,4.4949071327407848e-03,2.0534010705776803e-03,6.5242313035887773e-04,1.3562345494381924e-04,1.1449835198492040e-05
22,1.9357269291699331e-02,5.3852391387596982e-03,6.5238417430255264e-03,4.4936195475647461e-03,2.1044096809346735e-03,6.8970011995312351e-04,1.4769849580076438e-04,1.2760565660798688e-05
23,1.9191181002469460e-02,5.2646484151493726e-03,6.4065847983994229e-03,4.4768619636848389e-03,2.1459768636989639e-03,7.2380581106042574e-04,1.5924887179766129e-04,1.4054278678775070e-05
24,1.8978319615754084e-02,5.1352167502512020e-03,6.2772273043969328e-03,4.4469537893394445e-03,2.1787583977212407e-03,7.5466433387532186e-04,1.7018097460386145e-04,1.5318065566080978e-05
25,1.8727400995934632e-02,4.9998760703635105e-03,6.1389632137900550e-03,4.4059328973025825e-03,2.2034125179675127e-03,7.8225369497866165e-04,1.8042170182991002e-04,1.6540899702396783e-05
26,1.8445756742461628e-02,4.8609566515641816e-03,5.9944030408690101e-03,4.3555816030175047e-03,2.2205878521153531e-03,8.0659710596908544e-04,1.8991687430466213e-04,1.7713614621828717e-05
27,1.8139549492493370e-02,4.7202983385525206e-03,5.8456699751609324e-03,4.2974531302609805e-03,2.2309147786731408e-03,8.2775503870737802e-04,1.9862940635661589e-04,1.8828824781801623e-05
28,1.7813957804968701e-02,4.5793427920699115e-03,5.6944821738812460e-03,4.2328972187152371e-03,2.2349993976581006e-03,8.4581805730841227e-04,2.0653735874124864e-04,1.9880806594545342e-05
29,1.7473333350419187e-02,4.4392094806895988e-03,5.5422225058978777e-03,4.1630841056369740e-03,2.2334194935723270e-03,8.6090043841393184e-04,2.1363197202617113e-04,2.0865354182305528e-05
30,1.7121333638595630e-02,4.3007579781826318e-03,5.3899972160201034e-03,4.0890264935790057e-03,2.2267220142598411e-03,8.7313456358367747e-04,2.1991575158149693e-04,2.1779621388875494e-05
31,1.6761033561557063e-02,4.1646388527317377e-03,5.2386849883950311e-03,4.0115993606368913e-03,2.2154216988188656e-03,8.8266604845300511e-04,2.2540065356024903e-04,2.2621958961281632e-05
32,1.6395018835714027e-02,4.0313351243421412e-03,5.0889777993656047e-03,3.9315576224415727e-03,2.2000005713782088e-03,8.8964956071843323e-04,2.3010640391056693e-04,2.3391753557499325e-05
33,1.6025464122020622e-02,3.9011959649620808e-03,4.9414148155249877e-03,3.8495517461510607e-03,2.1809080815755485e-03,8.9424527149934872e-04,2.3405896896097920e-04,2.4089273346616842e-05
34,1.5654198262733766e-02,3.7744640417302039e-03,4.7964104422372669e-03,3.7661414667223567e-03,2.1585617217968448e-03,8.9661588095099078e-04,2.3728918586813724e-04,2.4715523427964539e-05
35,1.5282758736129083e-02,3.6512976644466118e-03,4.6542774785474318e-03,3.6818077789882121e-03,2.1333479892494192e-03,8.9692415817771605e-04,2.3983155364806178e-04,2.5272113071629287e-05
36,1.4912437117730834e-02,3.5317886943478502e-03,4.5152461950445011e-03,3.5969633852290218e-03,2.1056235904379841e-03,8.9533093672206109e-04,2.4172318011546302e-04,2.5761135833952179e-05
37,1.4544317056931764e-02,3.4159769999815401e-03,4.3794800259254448e-03,3.5119617735945023e-03,2.0757168086055593e-03,8.9199350955511511e-04,2.4300287638358531e-04,2.6185062886016494e-05
38,1.4179306033796355e-02,3.3038621036038337e-03,4.2470884564983370e-03,3.4271050923020607e-03,2.0439289726981958e-03,8.8706437107529106e-04,2.4371038824817993e-04,2.6546649370455353e-05
39,1.3818161951288665e-02,3.1954125439652686e-03,4.1181375923727013e-03,3.3426509709335787e-03,2.0105359805487571e-03,8.8069025775708168e-04,2.4388575247589602e-04,2.6848853235380300e-05
