t,f_total,k_0,k_1,k_2,k_3,k_4,k_5,k_6
1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
2,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
3,2.0173010973936889e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0173010973936889e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
4,3.2598465011050127e-04,0.0000000000000000e+00,0.0000000000000000e+00,2.3882603547477508e-05,1.4373270318930034e-04,1.5836934337372342e-04,0.0000000000000000e+00,0.0000000000000000e+00
5,1.2801290119870252e-03,0.0000000000000000e+00,6.3362555795822086e-06,9.7976566105162637e-05,4.1358209622352824e-04,5.6326799815471025e-04,1.9896609592404179e-04,0.0000000000000000e+00
6,2.9386067592329576e-03,8.9989110144523277e-07,2.5860637546944409e-05,2.3007727509216094e-04,8.0716001456973790e-04,1.1622023243719609e-03,6.2380078132871601e-04,8.8605835221991988e-05
7,5.0900794979193541e-03,3.8867822923645862e-06,6.2635282181638691e-05,4.1269378952553555e-04,1.2744130868796745e-03,1.8557143066441162e-03,1.1967924271132746e-03,2.8394382328274980e-04
8,7.4636660928326919e-03,9.8978700203549371e-06,1.1744378656916701e-04,6.3113621251272012e-04,1.7658680403506151e-03,2.5567449132364063e-03,1.8263037136496498e-03,5.5627155649377912e-04
9,9.8362693692269562e-03,1.9388997927054734e-05,1.8851434602315683e-04,8.6943468365549797e-04,2.2437596777368195e-03,3.2075192195983428e-03,2.4428606346405747e-03,8.6479180964551020e-04
10,1.2058359435663331e-02,3.2329545283577177e-05,2.7251821583286831e-04,1.1134533818540223e-03,2.6835940713028257e-03,3.7770531423922558e-03,3.0040407812837117e-03,1.1753702977140717e-03
11,1.4045064686597299e-02,4.8310874883915737e-05,3.6544612959768362e-04,1.3520691566102463e-03,3.0719444937343243e-03,4.2534694261010392e-03,3.4888205776260469e-03,1.4650040280440408e-03
12,1.5758512883487175e-02,6.6687615246521095e-05,4.6324462067825947e-04,1.5772834439907403e-03,3.4033973785953572e-03,4.6367506055046918e-03,3.8904631520566011e-03,1.7206860674150019e-03
13,1.7191519732994976e-02,8.6707473542384052e-05,5.6221643866782747e-04,1.7838462083905910e-03,3.6778110869347585e-03,4.9334020106903964e-03,4.2107795988615840e-03,1.9367569159074347e-03
14,1.8355275117631478e-02,1.0761130202451637e-04,6.5923243239592814e-04,1.9687184226277071e-03,3.8982135324198731e-03,5.1529623859890078e-03,4.4561635218845503e-03,2.1123735202898935e-03
15,1.9270904950482580e-02,1.2870028809153339e-04,7.5180950082438141e-04,2.1305355115069907e-03,4.0693249914927005e-03,5.3059007044292681e-03,4.6350723828277500e-03,2.2495615713099535e-03
16,1.9964033384513982e-02,1.4937444384222981e-04,8.3810217238325206e-04,2.2691404402726306e-03,4.1965838826839739e-03,5.4024425516077676e-03,4.7565250707957852e-03,2.3518648229283456e-03
17,2.0461451525971442e-02,1.6914911868877726e-04,9.1684427523495971e-04,2.3852063378468008e-03,4.2855405445602250e-03,5.4519791556215339e-03,4.8292620433980629e-03,2.4234700506210799e-03
18,2.0789186098773220e-02,1.8765629989990533e-04,9.8726640679429995e-04,2.4799456130063838e-03,4.3415047278881121e-03,5.4628230323069439e-03,4.8613175440624327e-03,2.4686724748151428e-03
19,2.0971464340746863e-02,2.0463641087371484e-04,1.0490060785985778e-03,2.5548934205280155e-03,4.3693602921228121e-03,5.4421592608280894e-03,4.8598384602733828e-03,2.4915704175222670e-03
20,2.1030234935085639e-02,2.1992495160966930e-04,1.1020207887196484e-03,2.6117511173111025e-03,4.3734856455889875e-03,5.3960997940854178e-03,4.8310448968747876e-03,2.4959077408960285e-03
21,2.0985022721648598e-02,2.3343703565293207e-04,1.1465096162193902e-03,2.6522762344225333e-03,4.3577381007217607e-03,5.3297860008438410e-03,4.7802677601043271e-03,2.4850079736838120e-03
22,2.0852975380378565e-02,2.4515181565982141e-04,1.1828458353233839e-03,2.6782075304965908e-03,4.3254746243236086e-03,5.2475082010666647e-03,4.7120244085400460e-03,2.4617629649684512e-03
23,2.0649013408299544e-02,2.5509798655841111e-04,1.2115211052601850e-03,2.6912159447081657e-03,4.2795914288510555e-03,5.1528252448032850e-03,4.6301095457480530e-03,2.4286521523703883e-03
24,2.0386029073234210e-02,2.6334098582378890e-04,1.2331006613019687e-03,2.6928743259171956e-03,4.2225715701299411e-03,5.0486756336834476e-03,4.5376884431306838e-03,2.3877774532471822e-03
25,2.0075101913283860e-02,2.6997212957208282e-04,1.2481883465152300e-03,2.6846405385789001e-03,4.1565341293547126e-03,4.9374765427699788e-03,4.4373855844978020e-03,2.3409046419951523e-03
26,1.9725712109407281e-02,2.7509968416880229e-04,1.2574000863506999e-03,2.6678499212824010e-03,4.0832813854125563e-03,4.8212097943832032e-03,4.3313653956597508e-03,2.2895058421498696e-03
27,1.9345941592810598e-02,2.7884173505087140e-04,1.2613443820983236e-03,2.6437141381841322e-03,4.0043421511461626e-03,4.7014952477474007e-03,4.2214037984594681e-03,2.2348001401242355e-03
28,1.8942657959162067e-02,2.8132064508337007e-04,1.2606084916335677e-03,2.6133242710844173e-03,3.9210105195665946e-03,4.5796527376146690e-03,4.1089504938369359e-03,2.1777908003425142e-03
29,1.8521679374869204e-02,2.8265886979466693e-04,1.2557491164854437e-03,2.5776566039938087e-03,3.8343798915885944e-03,4.4567539455165322e-03,3.9951824952973751e-03,2.1192984521927857e-03
30,1.8087920462260272e-02,2.8297589896423344e-04,1.2472865855325825e-03,2.5375799993813085e-03,3.7453725009176687e-03,4.3336656113296974e-03,3.8810497259176573e-03,2.0599901402171246e-03
31,1.7645520139999551e-02,2.8238611140612345e-04,1.2357016954948380e-03,2.4938640939171511e-03,3.6547648224470961e-03,4.2110854027225756e-03,3.7673135955477340e-03,2.0004044184640324e-03
32,1.7197952888308492e-02,2.8099735456128735e-04,1.2214345248932491e-03,2.4471877812700625e-03,3.5632093175713767e-03,4.0895716199251782e-03,3.6545794732524197e-03,1.9409728168349174e-03
33,1.6748125104211524e-02,2.7891008773043825e-04,1.2048846757941130e-03,2.3981476232773540e-03,3.4712529773023508e-03,3.9695677586280079e-03,3.5433239132615021e-03,1.8820380682177599e-03
34,1.6298458234211711e-02,2.7621695448637462e-04,1.1864125148358263e-03,2.3472659558536322e-03,3.3793530994168522e-03,3.8514228033153645e-03,3.4339174103355376e-03,1.8238694959681228e-03
35,1.5850960297471212e-02,2.7300267437531682e-04,1.1663410824000638e-03,2.2949985452558447e-03,3.2878906957520670e-03,3.7354079858999407e-03,3.3266433696144378e-03,1.7666759441735418e-03
36,1.5407287288883353e-02,2.6934416568917400e-04,1.1449584181346694e-03,2.2417417133705352e-03,3.1971818800450337e-03,3.6217306235979182e-03,3.2217138862145030e-03,1.7106166018315194e-03
37,1.4968795806807817e-02,2.6531082963896261e-04,1.1225201146625825e-03,2.1878388946263640e-03,3.1074875409551187e-03,3.5105455460515836e-03,3.1192828460328871e-03,1.6558100348403177e-03
38,1.4536588101413792e-02,2.6096494177271253e-04,1.0992519616159161e-03,2.1335866171911097e-03,3.0190215620495386e-03,3.4019645337533991e-03,3.0194567836612147e-03,1.6023417013699018e-03
39,1.4111550595970463e-02,2.5636210921696777e-04,1.0753525813914373e-03,2.0792399211357953e-03,2.9319578119263632e-03,3.2960641161693038e-03,2.9223038666967576e-03,1.5502701894338385e-03
