near_ring_radius,x_out_offset,early_family_fine,late_family_fine,early_family_coarse,late_family_coarse,sep_gate_coarse,peak2_F_no_return_frac,mass_F_rollback,mass_F_no_return
1,1,N_direct,F_clean,N_direct,F_no_return,2.490358126721763,0.775427280581168,0.15990169072556126,0.5161068420029306
1,2,N_direct,F_clean,N_direct,F_no_return,2.493150684931507,0.8872614310110994,0.08399182411269436,0.5920167086157988
1,3,N_direct,F_clean,N_direct,F_no_return,2.4959128065395095,0.943354391696988,0.044815102892259345,0.6311934298362365
2,1,N_direct,F_linger,N_direct,F_no_return,2.490358126721763,0.775427280581168,0.15990169072556126,0.5161068420029306
2,2,N_direct,F_linger,N_direct,F_no_return,2.493150684931507,0.8872614310110994,0.08399182411269435,0.5920167086157988
2,3,N_direct,F_linger,N_direct,F_no_return,2.4959128065395095,0.943354391696988,0.044815102892259345,0.6311934298362364
3,1,N_direct,F_linger,N_direct,F_no_return,2.490358126721763,0.775427280581168,0.15990169072556126,0.5161068420029306
3,2,N_direct,F_linger,N_direct,F_no_return,2.493150684931507,0.8872614310110994,0.08399182411269436,0.5920167086157989
3,3,N_direct,F_linger,N_direct,F_no_return,2.4959128065395095,0.943354391696988,0.04481510289225936,0.6311934298362365
