case,phase,p_near,p_far,t_peak1,t_valley,t_peak2,valley_over_max,sep_mode,sep_gate_coarse,N_direct,N_detour,F_no_return,F_rollback,peak1_N_direct,peak2_F_no_return,peak2_F_rollback,F_no_return_gt_N_direct,far_total_gt_near_total,rollback_gt_detour,mc_max_abs_err
anchor,2,0.32399146724912015,0.6760085327508798,7,196,469,0.002665073652568854,2.489247311827957,2.493150684931507,0.29845700707110523,0.02553446016727734,0.5920167086157988,0.08399182411269435,0.9822381399111667,0.8872614310110994,0.11269993729833654,197,209,256,0.006816449086511467
clear_instance,2,0.3497361089469091,0.6502638910530909,13,207,471,0.006797639156786158,2.379220779220779,2.379947229551451,0.3255854612326752,0.024150647702938757,0.5691236025553807,0.08114028847672862,0.9892297044062106,0.8866931776228891,0.11322000613817859,210,220,267,0.00422196578250375
near_mass_loss,2,0.08873768175379089,0.9112623182462092,27,193,470,0.018766744666618634,2.1658536585365855,2.2290076335877864,0.06857685677075821,0.020160824979039094,0.7860075136392435,0.12525480456597596,0.8981312310050091,0.8748532188978663,0.12511498961728387,195,206,251,0.005742761016821585
