d,phase,p_near,p_far,sep_mode,N_direct,N_detour,F_no_return,F_rollback,early_family,late_family,sep_gate,peak2_no_return_frac
2,2,0.3240506143238462,0.6759493856761539,2.489247311827957,0.29845700707110523,0.02553446016727734,0.5918639166413976,0.08396209190072058,N_direct,F_no_return,2.493150684931507,0.8872614310110994
3,2,0.31548465756153704,0.6845153424384628,2.4146981627296586,0.29062372991064744,0.024802379086816817,0.5984719716625789,0.08591633641963382,N_direct,F_no_return,2.4224598930481283,0.8862022343387894
4,2,0.3025390672681812,0.6974609327318189,2.3444730077120823,0.277981208025678,0.02450051270995463,0.6091376032713663,0.0881911251589186,N_direct,F_no_return,2.356955380577428,0.8850841406581822
5,2,0.2894123191275164,0.7105876808724836,2.2613065326633164,0.264978488850642,0.024377870627885677,0.6201072833827436,0.09034300099842384,N_direct,F_no_return,2.2717948717948717,0.8844319852947946
6,2,0.277562612508033,0.7224373874919672,2.1818181818181817,0.2531774517412404,0.024330572658700422,0.6300632667520808,0.09223203931963735,N_direct,F_no_return,2.1904761904761907,0.8838823550862761
7,2,0.2673528669171555,0.7326471330828445,2.1009615384615383,0.24298353978776643,0.02431600595587956,0.6386634593262054,0.09383755374172857,N_direct,F_no_return,2.123456790123457,0.8834036908053804
8,2,0.2587407525147092,0.7412592474852908,2.0187793427230045,0.23437214268203788,0.024316417703212717,0.6459285975641521,0.09518112612859107,N_direct,F_no_return,2.0434782608695654,0.8829734798263869
9,2,0.2515526152708869,0.7484473847291131,1.944700460829493,0.2271772792253652,0.02432412911705304,0.6519986952288268,0.09629633293803233,N_direct,F_no_return,1.9762470308788598,0.8825731825459276
10,2,0.2455879429244787,0.7544120570755214,1.8690744920993227,0.22120197642088724,0.02433560775420812,0.6570399182344703,0.09721744375603651,N_direct,F_no_return,1.8932714617169373,0.8821858964184821
