scan_type,kappa_c2o,kappa_o2c,phase,t_peak1,t_valley,t_peak2,valley_over_max,sep_peaks,rollback_total,no_leak_total,leak_total,peak2_dominant_rollback_class,peak2_dominant_rollback_frac,peak2_dominant_gate_family,peak2_dominant_gate_frac,L0R0,L0R1,L1R0,L1R1,N,P,Q
dir,0.0,0.0,2,395,1083,1711,0.05793243436724379,1.8693181818181819,0.8713278659788961,1.0,0.0,L0R1,0.9989575532179625,N,1.0,0.0010424467820374494,0.9989575532179625,0.0,0.0,1.0,0.0,0.0
dir,0.00025,0.0,2,395,1082,1710,0.05980551539734276,1.8456140350877193,0.871903311520975,0.9910197253651165,0.008980274634883415,L0R1,0.9879750569870356,N,0.9890079184891541,0.0010328615021185988,0.9879750569870356,3.6615019409131467e-06,0.01098842000890504,0.9890079184891541,0.003456629825185784,0.007535451685660169
dir,0.0005,0.0,2,395,1081,1709,0.06166625857914249,1.8212058212058213,0.8724731921486893,0.9821710853034352,0.017828914696564814,L0R1,0.9770916143343649,N,0.9781149564308688,0.0010233420965038555,0.9770916143343649,7.2660769973784375e-06,0.021877777492133856,0.9781149564308688,0.006932456582373182,0.014952586986758073
dir,0.00075,0.0,2,395,1081,1707,0.06351471504470158,1.7935748462064252,0.8730375741288254,0.9734517088018014,0.026548291198198525,L0R1,0.9662950676661946,N,0.9673118113122693,0.0010167436460748421,0.9662950676661946,1.0857524968345122e-05,0.03267733116276232,0.9673118113122693,0.01043092449233909,0.022257264195391584
dir,0.001,0.0,2,394,1080,1706,0.06534998358634034,1.7705802968960864,0.8735965227329588,0.9648592746643676,0.03514072533563236,L0R1,0.9556082643021945,N,0.9566155929011495,0.0010073285989550488,0.9556082643021945,1.4363685767693258e-05,0.04337004341308266,0.9566155929011495,0.013943103172628766,0.029441303926221633
dir,0.00125,0.0,2,394,1079,1704,0.06717303333835752,1.7408637873754154,0.8741501022582793,0.9563915103107069,0.043608489689293164,L0R1,0.9450030581011347,N,0.9460038404792992,0.0010007823781643724,0.9450030581011347,1.788552998053811e-05,0.05397827399072039,0.9460038404792992,0.017478775479249704,0.03651738404145119
dir,0.0015,0.0,2,394,1078,1703,0.06898410575620778,1.711111111111111,0.8746983760477729,0.9480461906074646,0.05195380939253522,L0R1,0.9345148663907218,N,0.9355063425079875,0.0009914761172656508,0.9345148663907218,2.1294476403709718e-05,0.06447236301560877,0.9355063425079875,0.021022712671036455,0.04347094482097603
dir,0.00175,0.0,2,394,1077,1702,0.07078329974595113,1.677998717126363,0.8752414065097757,0.9398211367324432,0.060178863267556816,L0R1,0.9241279326320768,N,0.9251101731891432,0.0009822405570663907,0.9241279326320768,2.4648610562486625e-05,0.07486517820029427,0.9251101731891432,0.02458011995673111,0.05030970685412568
dir,0.002,0.0,2,393,1076,1700,0.07257007248650468,1.6429918290383407,0.8757792551369358,0.9317142150700615,0.06828578492993861,L0R1,0.9138147209282894,N,0.9147905142778631,0.0009757933495736516,0.9138147209282894,2.8060360638009486e-05,0.08518142536149895,0.9147905142778631,0.028162473642608234,0.05704701207952876
dir,0.0025,0.0,2,393,1075,1697,0.07610753399422461,1.5523809523809524,0.8768396483886575,0.9158464535382568,0.08415354646174317,L0R1,0.8935100837726985,N,0.8944703718365205,0.0009602880638219011,0.8935100837726985,3.466348406978925e-05,0.10549496467940976,0.8944703718365205,0.03535398880175979,0.07017563936171971
