family,n,mass_mc,mass_exact,abs_err,t_escape_med,t_x27_med,t_x42_med,t_hit_med
N_direct,1377,0.06885,0.06857685677075821,0.0002731432292417818,,,,41.0
N_detour,409,0.02045,0.020160824979039094,0.0002891750209609058,30.0,,,78.0
F_clean,13296,0.6648,0.6705427610168215,0.005742761016821585,28.0,149.0,273.0,532.0
F_linger,2375,0.11875,0.11546475262242918,0.003285247377570813,44.0,169.0,293.0,551.0
F_rollback,2535,0.12675,0.12525480456597596,0.0014951954340240436,30.0,202.0,329.0,594.0
