case,display_name,style,X_g,N,P,Q,dominant_family,dominant_family_frac,dominant_lr,no_leak_total,pre_gate_leak_total,post_gate_leak_total,rollback_total,leak_total
sym_shared,shared symmetric baseline,dir,9,0.8821038528918412,0.0016221407256594594,0.11627400638249925,N,0.8821038528918412,L0R1,0.9007433040635877,0.0018114587450395086,0.0974452371913728,0.7705600808398584,0.0992566959364123
sym_shared,shared symmetric baseline,dir,10,0.8821038528918413,0.002682699441139257,0.11521344766701941,N,0.8821038528918413,L0R1,0.9007433040635878,0.0029810768465762024,0.09627561908983599,0.6485599866744214,0.09925669593641219
sym_shared,shared symmetric baseline,dir,11,0.8821038528918412,0.0038056797868773343,0.11409046732128135,N,0.8821038528918412,L0R1,0.9007433040635878,0.004209754616094707,0.09504694132031753,0.5671643708610692,0.09925669593641223
sym_shared,shared symmetric baseline,dir,12,0.8821038528918412,0.004951597081073679,0.11294455002708502,N,0.8821038528918412,L0R1,0.9007433040635876,0.005457988415771366,0.093798707520641,0.5120079852284178,0.09925669593641237
sym_shared,shared symmetric baseline,dir,13,0.8821038528918413,0.0061003497425894,0.11179579736556923,N,0.8821038528918413,L0R1,0.9007433040635875,0.006707242483300741,0.09254945345311166,0.4745622273043681,0.0992566959364124
sym_shared,shared symmetric baseline,dir,14,0.8821038528918413,0.007243022065927479,0.11065312504223124,N,0.8821038528918413,L0R1,0.9007433040635875,0.00794950385133227,0.09130719208508038,0.4491262216535291,0.09925669593641263
sym_shared,shared symmetric baseline,dir,15,0.8821038528918413,0.00837692884422923,0.10951921826392948,N,0.8821038528918413,L0R1,0.900743304063588,0.009181856122438272,0.09007483981397378,0.4318094793164019,0.09925669593641204
sym_shared,shared symmetric baseline,dir,16,0.8821038528918412,0.009502704221110821,0.1083934428870479,N,0.8821038528918412,L0R1,0.9007433040635876,0.01040372440259086,0.08885297153382166,0.41996056776742374,0.09925669593641251
sym_shared,shared symmetric baseline,dir,17,0.8821038528918413,0.010622654734030472,0.10727349237412827,N,0.8821038528918413,L0R1,0.9007433040635875,0.011615505382330313,0.0876411905540823,0.4117819201866108,0.09925669593641262
sym_shared,shared symmetric baseline,dir,18,0.8821038528918413,0.011739865967385082,0.10615628114077365,N,0.8821038528918413,L0R1,0.9007433040635873,0.012817911040009053,0.08643878489640355,0.40606090090491487,0.09925669593641259
sym_shared,shared symmetric baseline,dir,19,0.8821038528918413,0.012857739645625685,0.10503840746253292,N,0.8821038528918413,L0R1,0.9007433040635877,0.0140116744922223,0.08524502144419015,0.4019826453756838,0.09925669593641245
sym_shared,shared symmetric baseline,dir,20,0.8821038528918413,0.013979766556607237,0.1039163805515514,N,0.8821038528918413,L0R1,0.9007433040635878,0.015197434409326104,0.08405926152708611,0.3990011331459126,0.0992566959364122
sym_shared,shared symmetric baseline,dir,21,0.8821038528918413,0.015109423285516463,0.10278672382264217,N,0.8821038528918413,L0R1,0.9007433040635874,0.016375703397083996,0.08288099253932844,0.39675121938810404,0.09925669593641244
sym_shared,shared symmetric baseline,dir,22,0.8821038528918413,0.016250130613923844,0.10164601649423484,N,0.8821038528918413,L0R1,0.9007433040635876,0.017546872744859304,0.08170982319155314,0.39498905509946597,0.09925669593641244
sym_shared,shared symmetric baseline,dir,23,0.8821038528918413,0.0174052401859384,0.10049090692222028,N,0.8821038528918413,L0R1,0.9007433040635875,0.018711230426826785,0.08054546550958586,0.3935519493686392,0.09925669593641265
sym_shared,shared symmetric baseline,dir,24,0.8821038528918413,0.018578032067600735,0.09931811504055796,N,0.8821038528918413,L0R1,0.9007433040635874,0.019868981740827765,0.07938771419558502,0.3923314299891925,0.09925669593641279
sym_shared,shared symmetric baseline,dir,25,0.8821038528918413,0.019771714534153436,0.09812443257400524,N,0.8821038528918413,L0R1,0.9007433040635874,0.02102026817537276,0.07823642776103967,0.39125520863092017,0.09925669593641244
sym_shared,shared symmetric baseline,dir,26,0.8821038528918413,0.020989422046519466,0.09690672506163918,N,0.8821038528918413,L0R1,0.9007433040635877,0.022165183057526974,0.07709151287888534,0.39027512819813565,0.09925669593641231
sym_shared,shared symmetric baseline,dir,27,0.8821038528918412,0.022234209772459823,0.0956619373356989,N,0.8821038528918412,L0R1,0.9007433040635876,0.02330378386066528,0.07595291207574713,0.38935911751085084,0.09925669593641241
sym_shared,shared symmetric baseline,dir,28,0.8821038528918412,0.02350904419935967,0.09438710290879909,N,0.8821038528918412,L0R1,0.9007433040635875,0.024436101575689508,0.07482059436072304,0.38848582517494423,0.09925669593641255
sym_shared,shared symmetric baseline,dir,29,0.8821038528918412,0.024816789939761535,0.09307935716839724,N,0.8821038528918412,L0R1,0.9007433040635876,0.025562147697787127,0.07369454823862515,0.38764104234587493,0.09925669593641227
sym_shared,shared symmetric baseline,dir,30,0.8821038528918412,0.026160193055814313,0.09173595405234437,N,0.8821038528918412,L0R1,0.9007433040635875,0.026681919365689394,0.07257477657072306,0.3868153188895728,0.09925669593641245
