dy,phase,p_near,p_far,sep_mode,N_direct,N_detour,F_no_return,F_rollback,early_family,late_family,sep_gate,peak2_no_return_frac
0,0,0.49829664166220633,0.5017033583377937,2.6038781163434903,0.47762346396632827,0.020604238868530796,0.4407058116712207,0.060928136523493964,N_direct,F_no_return,2.608450704225352,0.9403974328624796
1,0,0.42702848468191285,0.572971515318087,2.565934065934066,0.40379874270539123,0.023163129159761917,0.5029901416328159,0.06989199499527306,N_direct,F_no_return,2.562674094707521,0.9399848951147701
2,2,0.3240506143238462,0.6759493856761539,2.489247311827957,0.29845700707110523,0.02553446016727734,0.5918639166413976,0.08396209190072058,N_direct,F_no_return,2.493150684931507,0.8872614310110994
3,2,0.23490534007780314,0.7650946599221968,2.4157894736842107,0.20882711218891692,0.026029773881752673,0.6674815086873013,0.09745533489026274,N_direct,F_no_return,2.4301075268817205,0.8844812742377093
4,2,0.1682324746088708,0.8317675253911293,2.351421188630491,0.14332574511177779,0.02486893417966706,0.7227422804761943,0.10883837898601,N_direct,F_no_return,2.365079365079365,0.8809535529520498
5,2,0.1211759934137946,0.8788240065862054,2.2562814070351758,0.09842032328918206,0.022726813298225956,0.7606267950380894,0.11798792857823552,N_direct,F_no_return,2.290155440414508,0.8779099066353249
6,2,0.08875967989870556,0.9112403201012943,2.1658536585365855,0.06857685677075821,0.020160824979039094,0.7858040310085631,0.12521044780675958,N_direct,F_no_return,2.2290076335877864,0.8748532188978663
