name,near_dx,near_dy,bx,phase,t_peak1,t_valley,t_peak2,p_near,p_far,sep_mode,valley_over_max,peak_ratio,early_family_fine,late_family_fine,early_family_coarse,late_family_coarse,sep_gate_fine,sep_gate_coarse,closure_max_abs,mass_N_direct,mass_N_detour,mass_F_clean,mass_F_linger,mass_F_rollback,mass_F_no_return,mc_branch_near,mc_branch_far,mc_max_family_abs_err
anchor,2,2,0.12,2,7,196,469,0.32399146724912015,0.6760085327508798,2.489247311827957,0.002665073652568854,0.11416245017472973,N_direct,F_linger,N_direct,F_no_return,2.493150684931507,2.493150684931507,3.2742905609062234e-17,0.29845700707110523,0.02553446016727734,0.17550025952928586,0.4165164490865115,0.08399182411269435,0.5920167086157988,0.3271,0.6724,0.006816449086511467
clear_instance,4,1,0.12,2,13,207,471,0.3497361089469091,0.6502638910530909,2.379220779220779,0.006797639156786158,0.17026370656517617,N_direct,F_linger,N_direct,F_no_return,2.3693931398416885,2.379947229551451,3.599551212651875e-17,0.3255854612326752,0.024150647702938757,0.18427803421749625,0.38484556833788225,0.08114028847672862,0.5691236025553807,0.34865,0.6513,0.00422196578250375
near_mass_loss,2,6,0.12,2,27,193,470,0.08873768175379089,0.9112623182462092,2.1658536585365855,0.018766744666618634,0.6469463486337754,N_direct,F_clean,N_direct,F_no_return,2.2250639386189257,2.2290076335877864,4.7704895589362195e-17,0.06857685677075821,0.020160824979039094,0.6705427610168215,0.11546475262242918,0.12525480456597596,0.7860075136392435,0.0893,0.9103,0.005742761016821585
