case,display_name,role,style,x_gate,phase,t_peak1,t_valley,t_peak2,valley_over_max,sep_peaks,kappa_top,kappa_bottom,kappa_c2o,kappa_o2c,peak2_dominant_gate_family,peak2_dominant_gate_frac,peak2_dominant_rollback_class,peak2_dominant_rollback_frac,N,P,Q,L0R0,L0R1,L1R0,L1R1,no_leak_total,leak_total,rollback_total,D0,D1,T0,T1,B0,B1
sym_shared,shared symmetric baseline,standard,dir,32,2,394,1080,1696,0.07964743528266384,1.528169014084507,0.002,0.002,0.002,0.002,N,0.8840298945778261,L0R1,0.8830847908856257,0.8840298945778261,0.029742014430252813,0.08622809099192104,0.0009451036922003504,0.8830847908856257,0.001434378598870313,0.11453572682330347,0.8746457496241883,0.1253542503758118,0.8921338401382382,0.0009451036922003505,0.8830847908856259,0.0006735306432856008,0.056651130251257266,0.0007608479555847123,0.05788459657204622
tb_asym_balanced,top/bottom balanced asymmetry,comparison,tb,32,2,394,1081,1702,0.07130000631939204,1.6888315041962556,0.002,0.0005,0.002,0.002,N,0.9273885835370324,L0R1,0.9264072319796024,0.9273885835370324,0.01838549815653913,0.05422591830642852,0.000981351557430132,0.9264072319796024,0.000839811210933978,0.07177160525203363,0.9196482018024466,0.08035179819755338,0.8910327204544815,0.0009813515574301319,0.9264072319796023,0.000650787296912873,0.05704449444532817,0.00018902391402110473,0.014727110806705489
dir_asym_easy_out_balanced,directional easy-out / hard-return,comparison,dir,32,2,393,1077,1699,0.07436446273010415,1.6143386897404202,0.002,0.002,0.002,0.0005,N,0.9070342719096949,L0R1,0.906066215248373,0.9070342719096949,0.028559359007636276,0.06440636908266888,0.0009680566613217823,0.906066215248373,0.0003605595770529472,0.09260516851325216,0.8994970685494504,0.1005029314505496,0.8933985051976591,0.0009680566613217824,0.9060662152483732,0.00016996245091311838,0.046298018051247704,0.0001905971261398288,0.04630715046200449
dir_asym_easy_in_balanced,directional hard-out / easy-return,comparison,dir,32,2,395,1085,1705,0.06878881259893245,1.7374005305039788,0.0005,0.0005,0.0005,0.002,N,0.9470506569205479,L0R1,0.9460575213529526,0.9470506569205479,0.007786904108695017,0.04516243897075707,0.0009931355675953401,0.9460575213529526,0.0014363558636730051,0.051512987215779044,0.9385066795394954,0.06149332046050457,0.8885434156555451,0.0009931355675953401,0.9460575213529526,0.0006736102332031271,0.024926916290752752,0.000762745630469878,0.026586070925026288
