t,f_any,f_m1_first,f_m2_first,survival
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,1.0
6,0.0,0.0,0.0,1.0
7,0.0005131452818,0.0005131452818,0.0,0.9994868547182
8,0.00019499520708399988,0.00019499520708399988,0.0,0.9992918595111159
9,0.0008894917704848199,0.0008894917704848199,0.0,0.9984023677406311
10,0.0005969467886824052,0.0005969467886824052,0.0,0.9978054209519486
11,0.001162197570925628,0.001162197570925628,0.0,0.9966432233810228
12,0.0010196982291952167,0.0010196982291952167,0.0,0.9956235251518276
13,0.0014169764050958801,0.0014169764050958801,0.0,0.9942065487467318
14,0.0013984785430917264,0.0013984785430917264,0.0,0.9928080702036399
15,0.0016741656849463462,0.0016741656849463462,0.0,0.9911339045186935
16,0.0017276698040241476,0.0017276698040241476,0.0,0.9894062347146694
17,0.001928181322959868,0.001928181322959868,0.0,0.9874780533917095
18,0.002014865234367242,0.002014865234367242,0.0,0.9854631881573421
19,0.0021699930915513536,0.0021699930915513536,0.0,0.9832931950657907
20,0.0022670400657706755,0.0022670400657706755,0.0,0.98102615500002
21,0.002393203467378996,0.002393203467378996,0.0,0.978632951532641
22,0.002488690738906931,0.002488690738906931,0.0,0.9761442607937338
23,0.002594424615068558,0.002594424615068558,0.0,0.9735498361786653
24,0.0026826701272892736,0.0026826701272892736,0.0,0.970867166051376
25,0.002772438468416052,0.002772438468416052,0.0,0.96809472758296
26,0.0028510722846028583,0.0028510722846028583,0.0,0.965243655298357
27,0.002927391760576919,0.002927391760576919,0.0,0.9623162635377801
28,0.0029957334447005103,0.0029957334447005103,0.0,0.9593205300930794
29,0.0030602331835396608,0.0030602331835396608,0.0,0.9562602969095397
30,0.003118440207616772,0.003118440207616772,0.0,0.953141856701923
31,0.003172352231768275,0.003172352231768275,0.0,0.9499695044701547
32,0.0032209819333371414,0.0032209819333371414,0.0,0.9467485225368175
33,0.0032653529106160834,0.0032653529106160834,0.0,0.9434831696262014
34,0.0033051375448468327,0.0033051375448468327,0.0,0.9401780320813544
35,0.0033409129559637805,0.0033409129559637805,0.0,0.9368371191253907
36,0.0033726434033266974,0.0033726434033266974,0.0,0.933464475722064
37,0.0034006971778550634,0.0034006971778550634,0.0,0.930063778544209
38,0.0034251625225883587,0.0034251625225883587,0.0,0.9266386160216206
39,0.0034463055004919237,0.0034463055004919237,0.0,0.9231923105211286
40,0.003464261937933629,0.003464261937933629,0.0,0.9197280485831949
41,0.003479243490035823,0.003479243490035823,0.0,0.9162488050931591
42,0.003491399044611232,0.003491399044611232,0.0,0.9127574060485478
43,0.003500907497286493,0.003500907497286493,0.0,0.9092564985512613
44,0.003507915484435007,0.003507915484435007,0.0,0.9057485830668262
45,0.0035125792266646424,0.0035125792266646424,0.0,0.9022360038401616
46,0.003515036635297787,0.003515036635297787,0.0,0.8987209672048636
47,0.0035154262687222665,0.0035154262687222665,0.0,0.8952055409361414
48,0.0035138749177194097,0.0035138749177194097,0.0,0.891691666018422
49,0.003510506277023031,0.003510506277023031,0.0,0.888181159741399
50,0.0035054354994708747,0.0035054354994708747,1.3896789365809895e-22,0.884675724241928
51,0.003498773242178346,0.003498773242178346,2.3207638240902504e-22,0.8811769509997496
52,0.003490623354944749,0.003490623354944749,1.9099268850894388e-21,0.8776863276448048
53,0.0034810848410917667,0.0034810848410917667,3.520302664232775e-21,0.874205242803713
54,0.0034702509510108406,0.0034702509510108406,1.4561177069517394e-20,0.8707349918527021
55,0.0034582101971404816,0.0034582101971404816,2.794438758982669e-20,0.8672767816555617
56,0.003445046072253988,0.003445046072253988,8.115321750957093e-20,0.8638317355833076
57,0.003430837629627453,0.003430837629627453,1.5580985659018214e-19,0.86040089795368
