t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,0,nan,nan,nan,nan,nan,nan
6,0,nan,nan,nan,nan,nan,nan
7,0,nan,nan,nan,nan,nan,nan
8,1,nan,nan,nan,nan,nan,nan
9,1,nan,nan,nan,nan,nan,nan
10,2,nan,nan,nan,nan,nan,nan
11,7,nan,nan,nan,nan,nan,nan
12,11,nan,nan,nan,nan,nan,nan
13,11,nan,nan,nan,nan,nan,nan
14,13,nan,nan,nan,nan,nan,nan
15,11,nan,nan,nan,nan,nan,nan
16,7,nan,nan,nan,nan,nan,nan
17,16,nan,nan,nan,nan,nan,nan
18,21,nan,nan,nan,nan,nan,nan
19,17,nan,nan,nan,nan,nan,nan
20,13,nan,nan,nan,nan,nan,nan
21,20,nan,nan,nan,nan,nan,nan
22,25,nan,nan,nan,nan,nan,nan
23,24,nan,nan,nan,nan,nan,nan
24,24,nan,nan,nan,nan,nan,nan
25,25,nan,nan,nan,nan,nan,nan
26,32,nan,nan,nan,nan,nan,nan
27,16,nan,nan,nan,nan,nan,nan
28,23,nan,nan,nan,nan,nan,nan
29,18,nan,nan,nan,nan,nan,nan
30,22,nan,nan,nan,nan,nan,nan
31,28,nan,nan,nan,nan,nan,nan
32,33,nan,nan,nan,nan,nan,nan
33,23,nan,nan,nan,nan,nan,nan
34,35,nan,nan,nan,nan,nan,nan
35,36,nan,nan,nan,nan,nan,nan
36,24,nan,nan,nan,nan,nan,nan
37,26,nan,nan,nan,nan,nan,nan
38,29,nan,nan,nan,nan,nan,nan
39,28,nan,nan,nan,nan,nan,nan
40,24,nan,nan,nan,nan,nan,nan
41,33,nan,nan,nan,nan,nan,nan
42,24,nan,nan,nan,nan,nan,nan
43,22,nan,nan,nan,nan,nan,nan
44,34,nan,nan,nan,nan,nan,nan
45,26,nan,nan,nan,nan,nan,nan
46,26,nan,nan,nan,nan,nan,nan
47,24,nan,nan,nan,nan,nan,nan
48,17,nan,nan,nan,nan,nan,nan
49,25,nan,nan,nan,nan,nan,nan
50,28,nan,nan,nan,nan,nan,nan
51,25,nan,nan,nan,nan,nan,nan
52,24,nan,nan,nan,nan,nan,nan
53,23,nan,nan,nan,nan,nan,nan
54,23,nan,nan,nan,nan,nan,nan
55,30,nan,nan,nan,nan,nan,nan
56,24,nan,nan,nan,nan,nan,nan
57,26,nan,nan,nan,nan,nan,nan
58,16,nan,nan,nan,nan,nan,nan
59,29,nan,nan,nan,nan,nan,nan
60,27,nan,nan,nan,nan,nan,nan
61,29,nan,nan,nan,nan,nan,nan
