t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,0,nan,nan,nan,nan,nan,nan
6,0,nan,nan,nan,nan,nan,nan
7,0,nan,nan,nan,nan,nan,nan
8,0,nan,nan,nan,nan,nan,nan
9,0,nan,nan,nan,nan,nan,nan
10,3,nan,nan,nan,nan,nan,nan
11,1,nan,nan,nan,nan,nan,nan
12,2,nan,nan,nan,nan,nan,nan
13,0,nan,nan,nan,nan,nan,nan
14,1,nan,nan,nan,nan,nan,nan
15,3,nan,nan,nan,nan,nan,nan
16,2,nan,nan,nan,nan,nan,nan
17,0,nan,nan,nan,nan,nan,nan
18,4,nan,nan,nan,nan,nan,nan
19,3,nan,nan,nan,nan,nan,nan
20,3,nan,nan,nan,nan,nan,nan
21,2,nan,nan,nan,nan,nan,nan
22,3,nan,nan,nan,nan,nan,nan
23,2,nan,nan,nan,nan,nan,nan
24,2,nan,nan,nan,nan,nan,nan
25,2,nan,nan,nan,nan,nan,nan
26,1,nan,nan,nan,nan,nan,nan
27,1,nan,nan,nan,nan,nan,nan
28,1,nan,nan,nan,nan,nan,nan
29,2,nan,nan,nan,nan,nan,nan
30,6,nan,nan,nan,nan,nan,nan
31,1,nan,nan,nan,nan,nan,nan
32,3,nan,nan,nan,nan,nan,nan
33,5,nan,nan,nan,nan,nan,nan
34,2,nan,nan,nan,nan,nan,nan
35,5,nan,nan,nan,nan,nan,nan
36,5,nan,nan,nan,nan,nan,nan
37,2,nan,nan,nan,nan,nan,nan
38,2,nan,nan,nan,nan,nan,nan
39,2,nan,nan,nan,nan,nan,nan
40,5,nan,nan,nan,nan,nan,nan
41,3,nan,nan,nan,nan,nan,nan
42,1,nan,nan,nan,nan,nan,nan
43,4,nan,nan,nan,nan,nan,nan
44,3,nan,nan,nan,nan,nan,nan
45,1,nan,nan,nan,nan,nan,nan
46,2,nan,nan,nan,nan,nan,nan
47,5,nan,nan,nan,nan,nan,nan
48,3,nan,nan,nan,nan,nan,nan
49,2,nan,nan,nan,nan,nan,nan
50,2,nan,nan,nan,nan,nan,nan
51,3,nan,nan,nan,nan,nan,nan
52,2,nan,nan,nan,nan,nan,nan
53,5,nan,nan,nan,nan,nan,nan
54,3,nan,nan,nan,nan,nan,nan
55,3,nan,nan,nan,nan,nan,nan
56,2,nan,nan,nan,nan,nan,nan
57,1,nan,nan,nan,nan,nan,nan
58,0,nan,nan,nan,nan,nan,nan
59,3,nan,nan,nan,nan,nan,nan
60,2,nan,nan,nan,nan,nan,nan
61,0,nan,nan,nan,nan,nan,nan
