case_id,L,x1_0,x2_0,q0,rho,Q1,Q2,z_re,z_im,absorbing_total_re,absorbing_total_im,green_total_re,green_total_im,abs_error,rel_error,max_channel_abs_error
L5_edge_to_edge_rho2,5,0,4,3.4999999999999998e-01,2.0000000000000000e+00,4.6666666666666662e-01,2.3333333333333331e-01,1.0000000000000001e-01,0.0000000000000000e+00,1.5793008275837578e-05,0.0000000000000000e+00,1.5793008275837575e-05,0.0000000000000000e+00,3.3881317890172014e-21,3.3880782810688693e-21,1.6940658945086007e-21
L5_edge_to_edge_rho2,5,0,4,3.4999999999999998e-01,2.0000000000000000e+00,4.6666666666666662e-01,2.3333333333333331e-01,4.0000000000000002e-01,0.0000000000000000e+00,1.4205173221123891e-03,0.0000000000000000e+00,1.4205173221123895e-03,0.0000000000000000e+00,4.3368086899420177e-19,4.3306569167756120e-19,3.2526065174565133e-19
L5_edge_to_edge_rho2,5,0,4,3.4999999999999998e-01,2.0000000000000000e+00,4.6666666666666662e-01,2.3333333333333331e-01,7.5000000000000000e-01,0.0000000000000000e+00,3.9667299121662704e-02,0.0000000000000000e+00,3.9667299121662690e-02,0.0000000000000000e+00,1.3877787807814457e-17,1.3348296921081161e-17,5.2041704279304213e-18
L5_edge_to_edge_rho2,5,0,4,3.4999999999999998e-01,2.0000000000000000e+00,4.6666666666666662e-01,2.3333333333333331e-01,5.0000000000000000e-01,2.0000000000000001e-01,-1.1340790317847112e-03,4.0947605790227623e-03,-1.1340790317847104e-03,4.0947605790227597e-03,2.7428386473255478e-18,2.7312338921367370e-18,1.1889205006491394e-18
L7_inner_pair_rho1,7,1,5,3.4999999999999998e-01,1.0000000000000000e+00,3.4999999999999998e-01,3.4999999999999998e-01,1.0000000000000001e-01,0.0000000000000000e+00,1.6286330692111338e-05,0.0000000000000000e+00,1.6286330692111342e-05,0.0000000000000000e+00,3.3881317890172014e-21,3.3880766096811261e-21,1.6940658945086007e-21
L7_inner_pair_rho1,7,1,5,3.4999999999999998e-01,1.0000000000000000e+00,3.4999999999999998e-01,3.4999999999999998e-01,4.0000000000000002e-01,0.0000000000000000e+00,1.0666762274592178e-03,0.0000000000000000e+00,1.0666762274592174e-03,0.0000000000000000e+00,4.3368086899420177e-19,4.3321876483646149e-19,2.1684043449710089e-19
L7_inner_pair_rho1,7,1,5,3.4999999999999998e-01,1.0000000000000000e+00,3.4999999999999998e-01,3.4999999999999998e-01,7.5000000000000000e-01,0.0000000000000000e+00,2.4350199735014323e-02,0.0000000000000000e+00,2.4350199735014323e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7347234759768071e-18
L7_inner_pair_rho1,7,1,5,3.4999999999999998e-01,1.0000000000000000e+00,3.4999999999999998e-01,3.4999999999999998e-01,5.0000000000000000e-01,2.0000000000000001e-01,-3.8656998484294734e-04,2.8867306244133345e-03,-3.8656998484294723e-04,2.8867306244133341e-03,4.4702800766818725e-19,4.4572982004165610e-19,2.8813067960011489e-19
