t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,1,nan,nan,nan,nan,nan,nan
6,3,nan,nan,nan,nan,nan,nan
7,3,nan,nan,nan,nan,nan,nan
8,4,nan,nan,nan,nan,nan,nan
9,11,nan,nan,nan,nan,nan,nan
10,11,nan,nan,nan,nan,nan,nan
11,9,nan,nan,nan,nan,nan,nan
12,11,nan,nan,nan,nan,nan,nan
13,16,nan,nan,nan,nan,nan,nan
14,19,nan,nan,nan,nan,nan,nan
15,17,nan,nan,nan,nan,nan,nan
16,21,nan,nan,nan,nan,nan,nan
17,15,nan,nan,nan,nan,nan,nan
18,21,nan,nan,nan,nan,nan,nan
19,17,nan,nan,nan,nan,nan,nan
20,9,nan,nan,nan,nan,nan,nan
21,19,nan,nan,nan,nan,nan,nan
22,23,nan,nan,nan,nan,nan,nan
23,23,nan,nan,nan,nan,nan,nan
24,21,nan,nan,nan,nan,nan,nan
25,26,nan,nan,nan,nan,nan,nan
26,35,nan,nan,nan,nan,nan,nan
27,31,nan,nan,nan,nan,nan,nan
28,21,nan,nan,nan,nan,nan,nan
29,11,nan,nan,nan,nan,nan,nan
30,30,nan,nan,nan,nan,nan,nan
31,26,nan,nan,nan,nan,nan,nan
32,23,nan,nan,nan,nan,nan,nan
33,25,nan,nan,nan,nan,nan,nan
34,22,nan,nan,nan,nan,nan,nan
35,26,nan,nan,nan,nan,nan,nan
36,20,nan,nan,nan,nan,nan,nan
37,15,nan,nan,nan,nan,nan,nan
38,14,nan,nan,nan,nan,nan,nan
39,30,nan,nan,nan,nan,nan,nan
40,20,nan,nan,nan,nan,nan,nan
41,16,nan,nan,nan,nan,nan,nan
42,33,nan,nan,nan,nan,nan,nan
43,26,nan,nan,nan,nan,nan,nan
44,22,nan,nan,nan,nan,nan,nan
45,14,nan,nan,nan,nan,nan,nan
46,22,nan,nan,nan,nan,nan,nan
47,19,nan,nan,nan,nan,nan,nan
48,24,nan,nan,nan,nan,nan,nan
49,25,nan,nan,nan,nan,nan,nan
50,21,nan,nan,nan,nan,nan,nan
51,23,nan,nan,nan,nan,nan,nan
52,35,nan,nan,nan,nan,nan,nan
53,32,nan,nan,nan,nan,nan,nan
54,29,nan,nan,nan,nan,nan,nan
55,26,nan,nan,nan,nan,nan,nan
56,31,nan,nan,nan,nan,nan,nan
57,28,nan,nan,nan,nan,nan,nan
58,29,nan,nan,nan,nan,nan,nan
59,32,nan,nan,nan,nan,nan,nan
60,30,nan,nan,nan,nan,nan,nan
61,34,nan,nan,nan,nan,nan,nan
