case,display_name,region,region_label,occupancy_share,mean_cell_occupancy,max_cell_occupancy
kappa_0.0000,kappa=0.0000,left_core,Left core,0.08692054874298669,0.005794703249532446,0.011398870546012973
kappa_0.0000,kappa=0.0000,left_shoulders,Left shoulders,0.058881250772425044,0.005888125077242504,0.011483351364180081
kappa_0.0000,kappa=0.0000,left_outer,Left outer,0.31079978230767075,0.006215995646153415,0.011969152446649176
kappa_0.0000,kappa=0.0000,corridor,Corridor,0.27974178169931074,0.001118967126797243,0.0015525166446560105
kappa_0.0000,kappa=0.0000,outer_reservoir,Outer reservoir,0.23903206965681506,0.0004780641393136301,0.0018221045506841083
kappa_0.0000,kappa=0.0000,target_funnel,Target funnel,0.024624566820791716,0.0003283275576105562,0.0014721324584766528
