kappa,window,observable,exit_prob,mean_event_time,mean_hit_time,ratio,early_mass,late_mass,no_exit_mass,phase,sep_peaks,t_peak1,t_valley,t_peak2
0.0,peak1,tau_out,0.6301918988143399,441.7385668412135,558.0050070072747,0.791639073653428,0.07157275225980705,0.5586191465545328,0.3698081011856601,1,0.4473978387777916,558,1494,2359
0.0,valley,tau_out,0.9850410886738656,205.8440862795281,1493.9995841958796,0.1377805512511707,0.9185820905784727,0.06645899809539291,0.014958911326134361,1,0.4473978387777916,558,1494,2359
0.0,peak2,tau_out,0.9999660562920468,370.0653523117317,2359.0001118602063,0.15687381719533453,0.9969212677618837,0.0030447885301631006,3.3943707953176805e-05,1,0.4473978387777916,558,1494,2359
0.0,peak1,tau_mem,0.0,nan,558.0050070072747,nan,0.0,0.0,1.0,1,0.4473978387777916,558,1494,2359
0.0,valley,tau_mem,0.0,nan,1493.9995841958796,nan,0.0,0.0,1.0,1,0.4473978387777916,558,1494,2359
0.0,peak2,tau_mem,0.0,nan,2359.0001118602063,nan,0.0,0.0,1.0,1,0.4473978387777916,558,1494,2359
0.00025,peak1,tau_out,0.6307192335256856,441.4838138116,558.0021085425601,0.7911866407901342,0.07186608121620303,0.5588531523094826,0.3692807664743144,1,0.4436489322305888,558,1493,2355
0.00025,valley,tau_out,0.9855257269934811,207.89830464823265,1492.9992601092113,0.1392487660261969,0.9191619846068764,0.0663637423866047,0.014474273006518934,1,0.4436489322305888,558,1493,2355
0.00025,peak2,tau_out,0.9999665391433202,367.02556357445286,2355.0001300812723,0.15584948760142386,0.9968971275163873,0.003069411626932972,3.3460856679767836e-05,1,0.4436489322305888,558,1493,2355
0.00025,peak1,tau_mem,0.0003552753890205502,286.8867662713565,558.0021085425601,0.514132046957086,0.00015293458540145124,0.00020234080361909896,0.9996447246109794,1,0.4436489322305888,558,1493,2355
0.00025,valley,tau_mem,0.014395256986738644,299.57719471676535,1492.9992601092113,0.20065461699884005,0.013776527823785238,0.0006187291629534061,0.9856047430132614,1,0.4436489322305888,558,1493,2355
0.00025,peak2,tau_mem,0.013534646903419184,599.2669559576959,2355.0001300812723,0.25446578465242586,0.011614217369218449,0.0019204295342007353,0.9864653530965808,1,0.4436489322305888,558,1493,2355
0.0005,peak1,tau_out,0.6305999104862196,440.70504960931845,557.0046242600162,0.7912053696049609,0.07172867099023675,0.5588712394959828,0.36940008951378045,1,0.44013738959764476,557,1493,2351
0.0005,valley,tau_out,0.9860774704988927,209.77036561661254,1493.0001721685755,0.14050257295812774,0.920154460012965,0.06592301048592775,0.013922529501107284,1,0.44013738959764476,557,1493,2351
0.0005,peak2,tau_out,0.9999670127436854,364.0269621439544,2351.000142073798,0.15483919189509243,0.9968739358265891,0.00309307691709626,3.298725631462052e-05,1,0.44013738959764476,557,1493,2351
0.0005,peak1,tau_mem,0.0007295302603311912,285.32737088034753,557.0046242600162,0.5122531455809843,0.0003172002419673202,0.000412330018363871,0.9992704697396688,1,0.44013738959764476,557,1493,2351
0.0005,valley,tau_mem,0.028276457464451787,301.5175203399724,1493.0001721685755,0.20195410955781717,0.027000598809848217,0.0012758586546035705,0.9717235425355482,1,0.44013738959764476,557,1493,2351
0.0005,peak2,tau_mem,0.026909854488119122,598.5912981544445,2351.000142073798,0.2546113406979346,0.023073460187256683,0.003836394300862439,0.9730901455118809,1,0.44013738959764476,557,1493,2351
