info: FormalPRR/AxiomsReportBeta.lean:23:0: 'FormalPRR.BudgetThreshold.continuous_Ewt' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:24:0: 'FormalPRR.BudgetThreshold.continuous_Ec' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:25:0: 'FormalPRR.BudgetThreshold.B0_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:26:0: 'FormalPRR.BudgetThreshold.E_B0' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:27:0: 'FormalPRR.BudgetThreshold.E_lt_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:28:0: 'FormalPRR.BudgetThreshold.E_lt_of_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:29:0: 'FormalPRR.BudgetThreshold.Ewt_eq_E' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:30:0: 'FormalPRR.BudgetThreshold.B0wt_eq_B0' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:31:0: 'FormalPRR.BudgetThreshold.Ewt_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:32:0: 'FormalPRR.BudgetThreshold.strictMono_Ewt' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:33:0: 'FormalPRR.BudgetThreshold.Ewt_B0wt' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:34:0: 'FormalPRR.BudgetThreshold.Ewt_lt_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:35:0: 'FormalPRR.BudgetThreshold.Ewt_lt_of_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:36:0: 'FormalPRR.BudgetThreshold.veff_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:37:0: 'FormalPRR.BudgetThreshold.Ec_eq_E' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:38:0: 'FormalPRR.BudgetThreshold.Bcert_eq_B0' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:39:0: 'FormalPRR.BudgetThreshold.Ec_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:40:0: 'FormalPRR.BudgetThreshold.strictMono_Ec' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:41:0: 'FormalPRR.BudgetThreshold.Ec_Bcert' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:42:0: 'FormalPRR.BudgetThreshold.Ec_lt_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:43:0: 'FormalPRR.BudgetThreshold.Ec_lt_of_lt' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:47:0: 'FormalPRR.SeedConditioning.frobSq_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:48:0: 'FormalPRR.SeedConditioning.discr_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:49:0: 'FormalPRR.SeedConditioning.discr_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:50:0: 'FormalPRR.SeedConditioning.sqrt_discr_le_frobSq' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:51:0: 'FormalPRR.SeedConditioning.sigmaMinSq_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:52:0: 'FormalPRR.SeedConditioning.sigmaMaxSq_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:53:0: 'FormalPRR.SeedConditioning.sigmaMin_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:54:0: 'FormalPRR.SeedConditioning.sigmaMax_nonneg' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:55:0: 'FormalPRR.SeedConditioning.sigmaMin_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:56:0: 'FormalPRR.SeedConditioning.sigmaMax_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:57:0: 'FormalPRR.SeedConditioning.sq_add_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:58:0: 'FormalPRR.SeedConditioning.sigmaMinSq_mul_sigmaMaxSq' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:59:0: 'FormalPRR.SeedConditioning.sigmaMin_mul_sigmaMax' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:60:0: 'FormalPRR.SeedConditioning.sigmaMin_le_sigmaMax' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:61:0: 'FormalPRR.SeedConditioning.sigmaMin_eq_abs_det_div' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:62:0: 'FormalPRR.SeedConditioning.sigmaMax_le_frobNorm' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:63:0: 'FormalPRR.SeedConditioning.singularValues_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:64:0: 'FormalPRR.SeedConditioning.div_sqrt_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:65:0: 'FormalPRR.SeedConditioning.sigmaMin_lower_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:69:0: 'FormalPRR.NewtonKernel.neumann_inverse_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:70:0: 'FormalPRR.NewtonKernel.inverse_times_quarter' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:71:0: 'FormalPRR.NewtonKernel.contraction_factor_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:72:0: 'FormalPRR.NewtonKernel.alpha_div_arith' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:73:0: 'FormalPRR.NewtonKernel.contraction_maps_closedBall' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:74:0: 'FormalPRR.NewtonKernel.newton_kernel_fixed_point' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:75:0: 'FormalPRR.NewtonKernel.newton_kernel_root_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:79:0: 'FormalPRR.B0ChainKernel.young_cross_term' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:80:0: 'FormalPRR.B0ChainKernel.one_sub_exp_neg_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:81:0: 'FormalPRR.B0ChainKernel.one_sub_exp_neg_cos_ge' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:82:0: 'FormalPRR.B0ChainKernel.re_vZ_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:83:0: 'FormalPRR.B0ChainKernel.mean_multiplier_im_sq_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:84:0: 'FormalPRR.B0ChainKernel.penalty_exponent_cancel' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:85:0: 'FormalPRR.B0ChainKernel.OmegaZ_mul_h' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:86:0: 'FormalPRR.B0ChainKernel.penalty_exponent_le' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:87:0: 'FormalPRR.B0ChainKernel.budget_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:88:0: 'FormalPRR.B0ChainKernel.sec_le_sqrt_one_add_tan_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:89:0: 'FormalPRR.B0ChainKernel.sec_sq_le_one_add_tan_sq' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:90:0: 'FormalPRR.B0ChainKernel.kappa_block_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:91:0: 'FormalPRR.B0ChainKernel.kappa_block_prod_pow' depends on axioms: [propext, Classical.choice, Quot.sound]
info: FormalPRR/AxiomsReportBeta.lean:92:0: 'FormalPRR.B0ChainKernel.sqrt_sqrt_pow_four' depends on axioms: [propext, Classical.choice, Quot.sound]
