Wy,x_start,w_fast,w_slow,fast_skip,slow_skip,delta_fast,delta_slow,phase,sep_mode_width,peak_ratio,valley_over_max,t_peak1,t_peak2,p_m1,p_m2,t_mode_m1,t_mode_m2,absorbed_mass,survival_tail
21,22,0,0,1,1,0.85,0.85,0,0.37110704004187384,,,,,0.5554674054399933,0.44453259456000666,482,1191,0.9305976765271939,0.06940232347273095
22,6,0,0,1,1,0.85,0.85,0,1.172143503165511,,,,,0.7226705216433664,0.27732947835663363,9,1953,0.9137939736934166,0.0862060263065202
22,8,0,0,1,1,0.85,0.85,0,1.1272838002436054,,,,,0.6925500725666306,0.30744992743336935,29,1880,0.9119811297442006,0.08801887025573668
22,10,0,0,1,1,0.85,0.85,0,1.0599273607748183,,,,,0.6676160964086577,0.3323839035913421,52,1803,0.9118796005090073,0.0881203994909242
22,12,0,0,1,1,0.85,0.85,0,0.9535423925667829,,,,,0.6456891508913566,0.35431084910864336,79,1721,0.9127405387014802,0.08725946129844832
22,14,0,0,1,1,0.85,0.85,0,0.8364640883977901,,,,,0.6257312215983964,0.37426877840160355,118,1632,0.9141739831321642,0.08582601686776381
22,16,0,0,1,1,0.85,0.85,0,0.7079692877945459,,,,,0.6071770676016853,0.39282293239831456,199,1536,0.9159262094652681,0.08407379053465597
22,18,0,0,1,1,0.85,0.85,0,0.5779271129490825,,,,,0.5896802101104516,0.4103197898895485,314,1432,0.9178044693854248,0.0821955306144968
22,20,0,0,1,1,0.85,0.85,0,0.46921119592875316,,,,,0.5730020961619854,0.42699790383801456,402,1324,0.9196494755178667,0.0803505244820551
22,22,0,0,1,1,0.85,0.85,0,0.3668847508807247,,,,,0.5569596566950734,0.44304034330492664,486,1215,0.9213260627385222,0.07867393726139961
23,6,0,0,1,1,0.85,0.85,0,1.1574963609898108,,,,,0.7252120459226994,0.2747879540773006,9,1997,0.9061099272062185,0.09389007279371737
23,8,0,0,1,1,0.85,0.85,0,1.1135962330782814,,,,,0.6950883281124619,0.3049116718875379,29,1921,0.9038747688482983,0.09612523115163328
23,10,0,0,1,1,0.85,0.85,0,1.0519823788546256,,,,,0.6701350673406639,0.32986493265933636,52,1843,0.903484853957866,0.09651514604206352
23,12,0,0,1,1,0.85,0.85,0,0.9521110796259563,,,,,0.6481565172773633,0.35184348272263677,79,1759,0.9041246864680594,0.09587531353186385
23,14,0,0,1,1,0.85,0.85,0,0.8360699865410498,,,,,0.6281007229884933,0.37189927701150677,115,1668,0.9053754464116281,0.09462455358829874
23,16,0,0,1,1,0.85,0.85,0,0.7149460708782742,,,,,0.6093946108443323,0.3906053891556675,177,1569,0.906970561308985,0.09302943869093758
23,18,0,0,1,1,0.85,0.85,0,0.577766699900299,,,,,0.5916896134008097,0.4083103865991903,304,1463,0.9087120003104302,0.09128799968949192
23,20,0,0,1,1,0.85,0.85,0,0.4645920117618231,,,,,0.5747495909785053,0.42525040902149464,404,1352,0.9104390043594593,0.08956099564045739
23,22,0,0,1,1,0.85,0.85,0,0.362227602905569,,,,,0.5583971702707599,0.44160282972924014,492,1240,0.9120169085169485,0.08798309148296668
24,6,0,0,1,1,0.85,0.85,0,1.1399662731871838,,,,,0.7277971720882404,0.27220282791175965,9,2037,0.898156853436278,0.10184314656365584
24,8,0,0,1,1,0.85,0.85,0,1.0986636337787887,,,,,0.697623923672662,0.30237607632733804,29,1961,0.895438132624199,0.10456186737573106
24,10,0,0,1,1,0.85,0.85,0,1.040682788051209,,,,,0.6726087528192517,0.3273912471807483,52,1881,0.894711630993797,0.1052883690061263
