t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
143,24,nan,nan,nan,nan,nan,nan
144,29,nan,nan,nan,nan,nan,nan
145,17,nan,nan,nan,nan,nan,nan
146,25,nan,nan,nan,nan,nan,nan
147,15,nan,nan,nan,nan,nan,nan
148,22,nan,nan,nan,nan,nan,nan
149,20,nan,nan,nan,nan,nan,nan
150,15,nan,nan,nan,nan,nan,nan
151,25,nan,nan,nan,nan,nan,nan
152,19,nan,nan,nan,nan,nan,nan
153,28,nan,nan,nan,nan,nan,nan
154,21,nan,nan,nan,nan,nan,nan
155,16,nan,nan,nan,nan,nan,nan
156,20,nan,nan,nan,nan,nan,nan
157,30,nan,nan,nan,nan,nan,nan
158,24,nan,nan,nan,nan,nan,nan
159,19,nan,nan,nan,nan,nan,nan
160,19,nan,nan,nan,nan,nan,nan
161,23,nan,nan,nan,nan,nan,nan
162,18,nan,nan,nan,nan,nan,nan
163,16,nan,nan,nan,nan,nan,nan
164,18,nan,nan,nan,nan,nan,nan
165,18,nan,nan,nan,nan,nan,nan
166,24,nan,nan,nan,nan,nan,nan
167,15,nan,nan,nan,nan,nan,nan
168,23,nan,nan,nan,nan,nan,nan
169,16,nan,nan,nan,nan,nan,nan
170,15,nan,nan,nan,nan,nan,nan
171,14,nan,nan,nan,nan,nan,nan
172,21,nan,nan,nan,nan,nan,nan
173,17,nan,nan,nan,nan,nan,nan
174,21,nan,nan,nan,nan,nan,nan
175,15,nan,nan,nan,nan,nan,nan
176,19,nan,nan,nan,nan,nan,nan
177,17,nan,nan,nan,nan,nan,nan
178,21,nan,nan,nan,nan,nan,nan
179,18,nan,nan,nan,nan,nan,nan
180,19,nan,nan,nan,nan,nan,nan
181,20,nan,nan,nan,nan,nan,nan
182,20,nan,nan,nan,nan,nan,nan
183,26,nan,nan,nan,nan,nan,nan
184,22,nan,nan,nan,nan,nan,nan
185,20,nan,nan,nan,nan,nan,nan
186,21,nan,nan,nan,nan,nan,nan
187,16,nan,nan,nan,nan,nan,nan
188,16,nan,nan,nan,nan,nan,nan
189,19,nan,nan,nan,nan,nan,nan
190,25,nan,nan,nan,nan,nan,nan
191,27,nan,nan,nan,nan,nan,nan
192,9,nan,nan,nan,nan,nan,nan
193,18,nan,nan,nan,nan,nan,nan
194,17,nan,nan,nan,nan,nan,nan
195,12,nan,nan,nan,nan,nan,nan
196,25,nan,nan,nan,nan,nan,nan
197,21,nan,nan,nan,nan,nan,nan
198,23,nan,nan,nan,nan,nan,nan
199,20,nan,nan,nan,nan,nan,nan
200,25,nan,nan,nan,nan,nan,nan
201,18,nan,nan,nan,nan,nan,nan
202,14,nan,nan,nan,nan,nan,nan
