workload_id,family,geometry_id,geometry_kind,t_max,defect_pairs,local_bias_sites,defect_bin,sparse_seconds,luca_seconds,linear_mfpt_seconds,luca_mode,speedup_sparse_over_luca,winner_fullfpt,sparse_wall_samples,luca_reported_samples,luca_wall_samples,linear_wall_samples,l1_error,linf_error,estimation_components_json
TT_CORR_W21_S3_T1200,two_target,TT_CORR_W21_S3,corridor,1200,312,157,"[301,700]",0.01597437495365739,25.979710409766994,0.017928917077369988,estimate,0.0006148788689981652,sparse,"[0.015817333944141865, 0.018656583037227392, 0.01597437495365739]","[25.88562721107155, 25.979710409766994, 26.335163252893835]","[0.21328433393500745, 0.21503908303566277, 0.21794687502551824]","[0.01707391708623618, 0.01807495893444866, 0.017928917077369988]",,,"{""setup_seconds"": 0.011297167045995593, ""eval_seconds_sampled"": 0.20565495803020895, ""eval_nz"": 32, ""m"": 4096, ""fft_seconds"": 3.145798109471798e-05, ""estimated_total_seconds"": 26.335163252893835, ""defect_pairs"": 312, ""defect_nodes"": 162}"
TT_CORR_W22_S0_T300,two_target,TT_CORR_W22_S0,corridor,300,504,253,"[301,700]",0.004631458083167672,23.1634834081633,0.01751774991862476,estimate,0.0001999465279706354,sparse,"[0.0032176669919863343, 0.00473408296238631, 0.004631458083167672]","[23.111285352613777, 23.1634834081633, 24.629989626351744]","[0.7438240840565413, 0.7452189578907564, 0.7922142079332843]","[0.01751774991862476, 0.017141541931778193, 0.01760979206301272]",,,"{""setup_seconds"": 0.021307958057150245, ""eval_seconds_sampled"": 0.7690206250408664, ""eval_nz"": 32, ""m"": 1024, ""fft_seconds"": 2.1666986867785454e-05, ""estimated_total_seconds"": 24.629989626351744, ""defect_pairs"": 504, ""defect_nodes"": 260}"
TT_CORR_W22_S0_T600,two_target,TT_CORR_W22_S0,corridor,600,504,253,"[301,700]",0.006288749980740249,47.732185641420074,0.01824287499766797,estimate,0.00013175072325376873,sparse,"[0.0068945829989388585, 0.006288749980740249, 0.005710249999538064]","[47.931725632050075, 47.449619773658924, 47.732185641420074]","[0.7706390410894528, 0.7612874999176711, 0.7692366660339758]","[0.01824287499766797, 0.01919020793866366, 0.01747866696678102]",,,"{""setup_seconds"": 0.021669124951586127, ""eval_seconds_sampled"": 0.7454743329435587, ""eval_nz"": 32, ""m"": 2048, ""fft_seconds"": 0.0001592080807313323, ""estimated_total_seconds"": 47.732185641420074, ""defect_pairs"": 504, ""defect_nodes"": 260}"
TT_CORR_W22_S0_T1200,two_target,TT_CORR_W22_S0,corridor,1200,504,253,"[301,700]",0.017471166094765067,91.04397970705759,0.018514874973334372,estimate,0.00019189809310818967,sparse,"[0.017471166094765067, 0.01861233392264694, 0.012777250027284026]","[84.38454411888961, 105.15800713025965, 91.04397970705759]","[0.6812830000417307, 0.8412761250510812, 0.7323557089548558]","[0.01835187489632517, 0.018514874973334372, 0.02127383300103247]",,,"{""setup_seconds"": 0.019520499976351857, ""eval_seconds_sampled"": 0.7111283330013976, ""eval_nz"": 32, ""m"": 4096, ""fft_seconds"": 3.258290234953165e-05, ""estimated_total_seconds"": 91.04397970705759, ""defect_pairs"": 504, ""defect_nodes"": 260}"
TT_CORR_W22_S1_T300,two_target,TT_CORR_W22_S1,corridor,300,498,250,"[301,700]",0.004808083991520107,22.47687354439404,0.017914292053319514,estimate,0.00021391249018791104,sparse,"[0.0034344170708209276, 0.004808083991520107, 0.004907916998490691]","[23.88621441705618, 22.47687354439404, 20.94907191861421]","[0.7663171249441803, 0.727102208067663, 0.6747396249556914]","[0.017914292053319514, 0.01783837506081909, 0.018397500040009618]",,,"{""setup_seconds"": 0.018816458992660046, ""eval_seconds_sampled"": 0.6540698750177398, ""eval_nz"": 32, ""m"": 1024, ""fft_seconds"": 1.9459053874015808e-05, ""estimated_total_seconds"": 20.94907191861421, ""defect_pairs"": 498, ""defect_nodes"": 257}"
TT_CORR_W22_S1_T600,two_target,TT_CORR_W22_S1,corridor,600,498,250,"[301,700]",0.006409708992578089,44.4418907094514,0.01730766601394862,estimate,0.00014422673946261572,sparse,"[0.005835791933350265, 0.006409708992578089, 0.006479165982455015]","[44.4418907094514, 42.407851330935955, 49.70370856160298]","[0.7163369590416551, 0.6844569580862299, 0.7982473329175264]","[0.018536916002631187, 0.016387958079576492, 0.01730766601394862]",,,"{""setup_seconds"": 0.019690082990564406, ""eval_seconds_sampled"": 0.7763067079940811, ""eval_nz"": 32, ""m"": 2048, ""fft_seconds"": 0.0003891669912263751, ""estimated_total_seconds"": 49.70370856160298, ""defect_pairs"": 498, ""defect_nodes"": 257}"
TT_CORR_W22_S1_T1200,two_target,TT_CORR_W22_S1,corridor,1200,498,250,"[301,700]",0.016889833961613476,85.59435257583391,0.018856792012229562,estimate,0.00019732416279040856,sparse,"[0.016889833961613476, 0.018646207987330854, 0.014649541000835598]","[110.02467625634745, 81.50441715773195, 85.59435257583391]","[0.879342875094153, 0.6582072500605136, 0.6902115410193801]","[0.018527292064391077, 0.020814417046494782, 0.018856792012229562]",,,"{""setup_seconds"": 0.01971291599329561, ""eval_seconds_sampled"": 0.6685515829594806, ""eval_nz"": 32, ""m"": 4096, ""fft_seconds"": 3.704102709889412e-05, ""estimated_total_seconds"": 85.59435257583391, ""defect_pairs"": 498, ""defect_nodes"": 257}"
TT_CORR_W22_S2_T300,two_target,TT_CORR_W22_S2,corridor,300,496,249,"[301,700]",0.0032350000692531466,26.288304834393784,0.0151238749967888,estimate,0.0001230585269621759,sparse,"[0.0027864580042660236, 0.0032350000692531466, 0.004976833006367087]","[21.742390541592613, 26.288304834393784, 37.30626043584198]","[0.7006794579792768, 0.8425714999902993, 1.214218542096205]","[0.014457459095865488, 0.016433708020485938, 0.0151238749967888]",,,"{""setup_seconds"": 0.04749158304184675, ""eval_seconds_sampled"": 1.1643356659915298, ""eval_nz"": 32, ""m"": 1024, ""fft_seconds"": 2.754107117652893e-05, ""estimated_total_seconds"": 37.30626043584198, ""defect_pairs"": 496, ""defect_nodes"": 256}"
TT_CORR_W22_S2_T600,two_target,TT_CORR_W22_S2,corridor,600,496,249,"[301,700]",0.016041125054471195,72.97047335433308,0.026241500047035515,estimate,0.0002198303548968091,sparse,"[0.01930250006262213, 0.016041125054471195, 0.013998333015479147]","[77.68339270923752, 72.97047335433308, 72.5225395464804]","[1.249141666921787, 1.180591500014998, 1.1655522079672664]","[0.02570241701323539, 0.03042220906354487, 0.026241500047035515]",,,"{""setup_seconds"": 0.031026416923850775, ""eval_seconds_sampled"": 1.132679459056817, ""eval_nz"": 32, ""m"": 2048, ""fft_seconds"": 2.7749920263886452e-05, ""estimated_total_seconds"": 72.5225395464804, ""defect_pairs"": 496, ""defect_nodes"": 256}"
TT_CORR_W22_S2_T1200,two_target,TT_CORR_W22_S2,corridor,1200,496,249,"[301,700]",0.026639958028681576,86.07230857736431,0.030374583089724183,estimate,0.00030950672137179636,sparse,"[0.03275812498759478, 0.026639958028681576, 0.019644957967102528]","[85.77693082927726, 86.07230857736431, 86.46311603952199]","[0.6925820420728996, 0.6938569159246981, 0.6962454579770565]","[0.025048208073712885, 0.030374583089724183, 0.03417916700709611]",,,"{""setup_seconds"": 0.01898620801512152, ""eval_seconds_sampled"": 0.6753439999883994, ""eval_nz"": 32, ""m"": 4096, ""fft_seconds"": 9.783299174159765e-05, ""estimated_total_seconds"": 86.46311603952199, ""defect_pairs"": 496, ""defect_nodes"": 256}"
