workload_id,family,geometry_id,geometry_kind,t_max,defect_pairs,local_bias_sites,defect_bin,sparse_seconds,luca_seconds,linear_mfpt_seconds,luca_mode,speedup_sparse_over_luca,winner_fullfpt,sparse_wall_samples,luca_reported_samples,luca_wall_samples,linear_wall_samples,l1_error,linf_error,estimation_components_json
TT_CORR_W23_S2_T600,two_target,TT_CORR_W23_S2,corridor,600,632,317,"[301,700]",0.007948458078317344,79.05010270746425,0.01753662491682917,estimate,0.00010054962367008812,sparse,"[0.007948458078317344, 0.005771791096776724, 0.008463375037536025]","[79.00012916198466, 84.39777624758426, 79.05010270746425]","[1.2660882910713553, 1.3505886249477044, 1.266423708992079]","[0.016361833084374666, 0.017875459045171738, 0.01753662491682917]",,,"{""setup_seconds"": 0.028984166914597154, ""eval_seconds_sampled"": 1.2347046249778941, ""eval_nz"": 32, ""m"": 2048, ""fft_seconds"": 2.2541964426636696e-05, ""estimated_total_seconds"": 79.05010270746425, ""defect_pairs"": 632, ""defect_nodes"": 326}"
TT_CORR_W23_S2_T1200,two_target,TT_CORR_W23_S2,corridor,1200,632,317,"[301,700]",0.013373249908909202,156.24073121359106,0.01691337500233203,estimate,8.559387686573941e-05,sparse,"[0.013373249908909202, 0.013024874962866306, 0.017508082906715572]","[157.57078942563385, 153.4290822460316, 156.24073121359106]","[1.2626455830177292, 1.22944504104089, 1.2524798338999972]","[0.017206292017363012, 0.01691337500233203, 0.01686683390289545]",,,"{""setup_seconds"": 0.02877583389636129, ""eval_seconds_sampled"": 1.2204054170288146, ""eval_nz"": 32, ""m"": 4096, ""fft_seconds"": 6.200000643730164e-05, ""estimated_total_seconds"": 156.24073121359106, ""defect_pairs"": 632, ""defect_nodes"": 326}"
TT_CORR_W23_S3_T300,two_target,TT_CORR_W23_S3,corridor,300,626,314,"[301,700]",0.003247832995839417,38.73189426329918,0.017373999929986894,estimate,8.385422550626282e-05,sparse,"[0.003624084056355059, 0.003247832995839417, 0.0032468329882249236]","[38.73189426329918, 38.7259559474187, 65.30385465826839]","[1.2398193340050057, 1.2401407090947032, 2.0729613329749554]","[0.016798999975435436, 0.017650334048084915, 0.017373999929986894]",,,"{""setup_seconds"": 0.0283564580604434, ""eval_seconds_sampled"": 2.0398583330679685, ""eval_nz"": 32, ""m"": 1024, ""fft_seconds"": 3.1542032957077026e-05, ""estimated_total_seconds"": 65.30385465826839, ""defect_pairs"": 626, ""defect_nodes"": 323}"
TT_CORR_W23_S3_T600,two_target,TT_CORR_W23_S3,corridor,600,626,314,"[301,700]",0.016979124979116023,77.50057610392105,0.03101158293429762,estimate,0.00021908385501997557,sparse,"[0.02357341710012406, 0.016334000043570995, 0.016979124979116023]","[107.8620615612017, 77.50057610392105, 74.41284822451416]","[1.759798291954212, 1.2422909579472616, 1.1923429580638185]","[0.029245832934975624, 0.03101158293429762, 0.03160545800346881]",,,"{""setup_seconds"": 0.02700579189695418, ""eval_seconds_sampled"": 1.1622784169157967, ""eval_nz"": 32, ""m"": 2048, ""fft_seconds"": 2.37500062212348e-05, ""estimated_total_seconds"": 74.41284822451416, ""defect_pairs"": 626, ""defect_nodes"": 323}"
TT_CORR_W23_S3_T1200,two_target,TT_CORR_W23_S3,corridor,1200,626,314,"[301,700]",0.012871459010057151,153.3986583761871,0.01842029206454754,estimate,8.390855008973963e-05,sparse,"[0.012871459010057151, 0.021019833046011627, 0.012331665959209204]","[140.26621170667931, 174.50701165478677, 153.3986583761871]","[1.127044124994427, 1.3896694580325857, 1.227948792045936]","[0.01822791702579707, 0.018792791990563273, 0.01842029206454754]",,,"{""setup_seconds"": 0.027205042075365782, ""eval_seconds_sampled"": 1.1982142080087215, ""eval_nz"": 32, ""m"": 4096, ""fft_seconds"": 3.470899537205696e-05, ""estimated_total_seconds"": 153.3986583761871, ""defect_pairs"": 626, ""defect_nodes"": 323}"
TT_CORR_W24_S0_T300,two_target,TT_CORR_W24_S0,corridor,300,796,399,"[701,+inf)",0.003162416978739202,64.33614541927818,0.017029790906235576,estimate,4.915459199692108e-05,sparse,"[0.002896375022828579, 0.003162416978739202, 0.0031727500027045608]","[65.19375570700504, 64.33614541927818, 63.94221899879631]","[2.0815501670585945, 2.054597750073299, 2.0425689169205725]","[0.017769125057384372, 0.017029790906235576, 0.016496167052537203]",,,"{""setup_seconds"": 0.04180041700601578, ""eval_seconds_sampled"": 1.9968874999321997, ""eval_nz"": 32, ""m"": 1024, ""fft_seconds"": 1.858395989984274e-05, ""estimated_total_seconds"": 63.94221899879631, ""defect_pairs"": 796, ""defect_nodes"": 409}"
TT_CORR_W24_S0_T600,two_target,TT_CORR_W24_S0,corridor,600,796,399,"[701,+inf)",0.006826541968621314,128.89075885538477,0.0170662080636248,estimate,5.2963781338898645e-05,sparse,"[0.006826541968621314, 0.006164625054225326, 0.008793790941126645]","[129.6137452678522, 127.70210701820906, 128.89075885538477]","[2.0699061669874936, 2.0394767080433667, 2.0583185829455033]","[0.016935958992689848, 0.017493125051259995, 0.0170662080636248]",,,"{""setup_seconds"": 0.04119800007902086, ""eval_seconds_sampled"": 2.013273917022161, ""eval_nz"": 32, ""m"": 2048, ""fft_seconds"": 3.016588743776083e-05, ""estimated_total_seconds"": 128.89075885538477, ""defect_pairs"": 796, ""defect_nodes"": 409}"
TT_CORR_W24_S0_T1200,two_target,TT_CORR_W24_S0,corridor,1200,796,399,"[701,+inf)",0.017386665917001665,255.2879792843014,0.017915874952450395,estimate,6.810608931037449e-05,sparse,"[0.017386665917001665, 0.017126708989962935, 0.01770962495356798]","[255.2879792843014, 267.7774632894434, 249.4905271953903]","[2.0408797080162913, 2.1373504999792203, 1.991651999996975]","[0.016872207983396947, 0.01832833408843726, 0.017915874952450395]",,,"{""setup_seconds"": 0.038978333002887666, ""eval_seconds_sampled"": 1.9488399159163237, ""eval_nz"": 32, ""m"": 4096, ""fft_seconds"": 3.962509799748659e-05, ""estimated_total_seconds"": 249.4905271953903, ""defect_pairs"": 796, ""defect_nodes"": 409}"
TT_CORR_W24_S1_T300,two_target,TT_CORR_W24_S1,corridor,300,782,392,"[701,+inf)",0.002923542051576078,61.91107702406589,0.016719707986339927,estimate,4.722163128319747e-05,sparse,"[0.0033687909599393606, 0.002923542051576078, 0.0028843339532613754]","[60.17852412490174, 61.91107702406589, 62.58081433281768]","[1.921803415985778, 1.975349084008485, 1.99623645900283]","[0.016719707986339927, 0.015515708946622908, 0.017269875039346516]",,,"{""setup_seconds"": 0.038147374987602234, ""eval_seconds_sampled"": 1.9544577499618754, ""eval_nz"": 32, ""m"": 1024, ""fft_seconds"": 1.8959050066769123e-05, ""estimated_total_seconds"": 62.58081433281768, ""defect_pairs"": 782, ""defect_nodes"": 402}"
TT_CORR_W24_S1_T600,two_target,TT_CORR_W24_S1,corridor,600,782,392,"[701,+inf)",0.006601666915230453,120.36469175096136,0.017730541992932558,estimate,5.484720493356579e-05,sparse,"[0.007206958951428533, 0.0064175419975072145, 0.006601666915230453]","[120.36469175096136, 117.7472265852848, 124.06394395895768]","[1.920273374998942, 1.8780249579576775, 1.9825626249657944]","[0.01685287500731647, 0.017730541992932558, 0.018260000040754676]",,,"{""setup_seconds"": 0.040429624961689115, ""eval_seconds_sampled"": 1.937865125015378, ""eval_nz"": 32, ""m"": 2048, ""fft_seconds"": 0.00014633301179856062, ""estimated_total_seconds"": 124.06394395895768, ""defect_pairs"": 782, ""defect_nodes"": 402}"
TT_CORR_W24_S1_T1200,two_target,TT_CORR_W24_S1,corridor,1200,782,392,"[701,+inf)",0.015896333963610232,241.228460044018,0.016616083914414048,estimate,6.589742338325071e-05,sparse,"[0.016276333015412092, 0.015308666974306107, 0.015896333963610232]","[241.228460044018, 228.83092471479904, 243.23348716483451]","[1.9282756660832092, 1.8300981250358745, 1.9439275419572368]","[0.017097084084525704, 0.016469541005790234, 0.016616083914414048]",,,"{""setup_seconds"": 0.040281750028952956, ""eval_seconds_sampled"": 1.899946124991402, ""eval_nz"": 32, ""m"": 4096, ""fft_seconds"": 0.00010141590610146523, ""estimated_total_seconds"": 243.23348716483451, ""defect_pairs"": 782, ""defect_nodes"": 402}"
TT_CORR_W24_S2_T300,two_target,TT_CORR_W24_S2,corridor,300,770,386,"[701,+inf)",0.0029606251046061516,59.06952057266608,0.016669707954861224,estimate,5.012102816991807e-05,sparse,"[0.0029606251046061516, 0.0032424579840153456, 0.002954249968752265]","[58.98989709536545, 59.06952057266608, 62.80184981424827]","[1.8840865000383928, 1.8874161669518799, 2.0058356249937788]","[0.017400417011231184, 0.01567579200491309, 0.016669707954861224]",,,"{""setup_seconds"": 0.04062770796008408, ""eval_seconds_sampled"": 1.9612875840393826, ""eval_nz"": 32, ""m"": 1024, ""fft_seconds"": 1.9417027942836285e-05, ""estimated_total_seconds"": 62.80184981424827, ""defect_pairs"": 770, ""defect_nodes"": 396}"
TT_CORR_W24_S2_T600,two_target,TT_CORR_W24_S2,corridor,600,770,386,"[701,+inf)",0.006163791986182332,121.09412260493264,0.017155875102616847,estimate,5.090083526424805e-05,sparse,"[0.0063651250675320625, 0.006163791986182332, 0.006082833046093583]","[120.59864654007833, 121.09412260493264, 123.59604179335292]","[1.9259615830378607, 1.9354410420637578, 1.9735885839909315]","[0.017155875102616847, 0.01734858308918774, 0.017015457968227565]",,,"{""setup_seconds"": 0.039370625047013164, ""eval_seconds_sampled"": 1.9305719590047374, ""eval_nz"": 32, ""m"": 2048, ""fft_seconds"": 6.579200271517038e-05, ""estimated_total_seconds"": 123.59604179335292, ""defect_pairs"": 770, ""defect_nodes"": 396}"
TT_CORR_W24_S2_T1200,two_target,TT_CORR_W24_S2,corridor,1200,770,386,"[701,+inf)",0.012054999941028655,242.95490479376167,0.01737362495623529,estimate,4.961826126235995e-05,sparse,"[0.012054999941028655, 0.011881834012456238, 0.012229250045493245]","[242.08877636422403, 251.62221811478958, 242.95490479376167]","[1.934290959034115, 2.008414625073783, 1.9409294170327485]","[0.01737362495623529, 0.017961583100259304, 0.017071541980840266]",,,"{""setup_seconds"": 0.03955812496133149, ""eval_seconds_sampled"": 1.8977752500213683, ""eval_nz"": 32, ""m"": 4096, ""fft_seconds"": 0.00011466606520116329, ""estimated_total_seconds"": 242.95490479376167, ""defect_pairs"": 770, ""defect_nodes"": 396}"
TT_CORR_W24_S3_T300,two_target,TT_CORR_W24_S3,corridor,300,758,380,"[701,+inf)",0.004455958027392626,58.70455966691952,0.017110542044974864,estimate,7.590480284112569e-05,sparse,"[0.0033778330544009805, 0.00467375002335757, 0.004455958027392626]","[58.70455966691952, 56.55569524120074, 58.878503356012516]","[1.8751774589763954, 1.8086572090396658, 1.9545660419389606]","[0.017110542044974864, 0.017137582995928824, 0.017040875041857362]",,,"{""setup_seconds"": 0.11466054106131196, ""eval_seconds_sampled"": 1.836369416094385, ""eval_nz"": 32, ""m"": 1024, ""fft_seconds"": 2.1499930880963802e-05, ""estimated_total_seconds"": 58.878503356012516, ""defect_pairs"": 758, ""defect_nodes"": 390}"
TT_CORR_W24_S3_T600,two_target,TT_CORR_W24_S3,corridor,600,758,380,"[701,+inf)",0.007950584054924548,114.12473983236123,0.01680683298036456,estimate,6.966573651430204e-05,sparse,"[0.00772412505466491, 0.00969479198101908, 0.007950584054924548]","[114.12473983236123, 113.05191279295832, 116.87031623430084]","[1.8239306670147926, 1.8067208749707788, 1.866823000018485]","[0.01680683298036456, 0.016542083001695573, 0.019605542067438364]",,,"{""setup_seconds"": 0.03777595795691013, ""eval_seconds_sampled"": 1.8255080831004307, ""eval_nz"": 32, ""m"": 2048, ""fft_seconds"": 2.2957916371524334e-05, ""estimated_total_seconds"": 116.87031623430084, ""defect_pairs"": 758, ""defect_nodes"": 390}"
TT_CORR_W24_S3_T1200,two_target,TT_CORR_W24_S3,corridor,1200,758,380,"[701,+inf)",0.015367542044259608,234.7290983380517,0.017165958997793496,estimate,6.546926713844234e-05,sparse,"[0.016349792014807463, 0.015367542044259608, 0.012254499946720898]","[236.14138449751772, 234.49407099257223, 234.7290983380517]","[1.8879146249964833, 1.8743986670160666, 1.8751399160828441]","[0.016430375049822032, 0.01779370801523328, 0.017165958997793496]",,,"{""setup_seconds"": 0.03766833303961903, ""eval_seconds_sampled"": 1.8335264170309529, ""eval_nz"": 32, ""m"": 4096, ""fft_seconds"": 4.8625050112605095e-05, ""estimated_total_seconds"": 234.7290983380517, ""defect_pairs"": 758, ""defect_nodes"": 390}"
TT_CORR_W25_S0_T300,two_target,TT_CORR_W25_S0,corridor,300,916,459,"[701,+inf)",0.002938334015198052,89.68013078311924,0.01687166595365852,estimate,3.27646044841757e-05,sparse,"[0.002901500090956688, 0.002938334015198052, 0.004269124940037727]","[93.12675214698538, 89.52874621807132, 89.68013078311924]","[2.965399666922167, 2.854872415889986, 2.858888417016715]","[0.01725124998483807, 0.01687166595365852, 0.01619345904327929]",,,"{""setup_seconds"": 0.053524167044088244, ""eval_seconds_sampled"": 2.800830833031796, ""eval_nz"": 32, ""m"": 1024, ""fft_seconds"": 1.9959057681262493e-05, ""estimated_total_seconds"": 89.68013078311924, ""defect_pairs"": 916, ""defect_nodes"": 470}"
TT_CORR_W25_S0_T600,two_target,TT_CORR_W25_S0,corridor,600,916,459,"[701,+inf)",0.008153583039529622,179.45832993777003,0.01737945806235075,estimate,4.543440832396581e-05,sparse,"[0.006389875081367791, 0.008153583039529622, 0.008373000076971948]","[180.009059337317, 179.45832993777003, 176.62479408213403]","[2.869208832969889, 2.862488374928944, 2.8170736249303445]","[0.021020750049501657, 0.016577666043303907, 0.01737945806235075]",,,"{""setup_seconds"": 0.053195124957710505, ""eval_seconds_sampled"": 2.7589308749884367, ""eval_nz"": 32, ""m"": 2048, ""fft_seconds"": 2.2957916371524334e-05, ""estimated_total_seconds"": 176.62479408213403, ""defect_pairs"": 916, ""defect_nodes"": 470}"
TT_CORR_W25_S0_T1200,two_target,TT_CORR_W25_S0,corridor,1200,916,459,"[701,+inf)",0.013197583029977977,348.83193319826387,0.016916624968871474,estimate,3.7833643580093144e-05,sparse,"[0.013197583029977977, 0.012278083944693208, 0.013332749949768186]","[348.83193319826387, 363.8223897027783, 348.2970265985932]","[2.779325500014238, 2.895626916899346, 2.7794244579272345]","[0.016916624968871474, 0.018463291926309466, 0.016709042014554143]",,,"{""setup_seconds"": 0.05384079099167138, ""eval_seconds_sampled"": 2.720649209106341, ""eval_nz"": 32, ""m"": 4096, ""fft_seconds"": 8.704198990017176e-05, ""estimated_total_seconds"": 348.2970265985932, ""defect_pairs"": 916, ""defect_nodes"": 470}"
TT_CORR_W25_S1_T300,two_target,TT_CORR_W25_S1,corridor,300,898,450,"[701,+inf)",0.0034154170425608754,87.28270355472341,0.01655262499116361,estimate,3.913051387574767e-05,sparse,"[0.0036011249758303165, 0.0028381249867379665, 0.0034154170425608754]","[90.08107136387844, 87.14583901234437, 87.28270355472341]","[2.8633197910385206, 2.7781968330964446, 2.780868708039634]","[0.01770187495276332, 0.016053791041485965, 0.01655262499116361]",,,"{""setup_seconds"": 0.05004762497264892, ""eval_seconds_sampled"": 2.7260199170559645, ""eval_nz"": 32, ""m"": 1024, ""fft_seconds"": 1.858395989984274e-05, ""estimated_total_seconds"": 87.28270355472341, ""defect_pairs"": 898, ""defect_nodes"": 461}"
TT_CORR_W25_S1_T600,two_target,TT_CORR_W25_S1,corridor,600,898,450,"[701,+inf)",0.008272415958344936,175.28151728678495,0.01705362508073449,estimate,4.7195027099235526e-05,sparse,"[0.008272415958344936, 0.00750999990850687, 0.008417458040639758]","[174.88314443454146, 175.28151728678495, 176.87365556648]","[2.7877257500076666, 2.7950308750150725, 2.818624124978669]","[0.017208292032592, 0.01705362508073449, 0.01478199998382479]",,,"{""setup_seconds"": 0.05116074997931719, ""eval_seconds_sampled"": 2.7628510830691084, ""eval_nz"": 32, ""m"": 2048, ""fft_seconds"": 2.550007775425911e-05, ""estimated_total_seconds"": 176.87365556648, ""defect_pairs"": 898, ""defect_nodes"": 461}"
TT_CORR_W25_S1_T1200,two_target,TT_CORR_W25_S1,corridor,1200,898,450,"[701,+inf)",0.01711083296686411,350.69477921375073,0.01733062497805804,estimate,4.879123950811639e-05,sparse,"[0.013461416005156934, 0.01732437510509044, 0.01711083296686411]","[349.32044166128617, 362.8575730837183, 350.69477921375073]","[2.7855972499819472, 2.8904922920046374, 2.795292834052816]","[0.01733062497805804, 0.01744912494905293, 0.016364250099286437]",,,"{""setup_seconds"": 0.05137279198970646, ""eval_seconds_sampled"": 2.739401084021665, ""eval_nz"": 32, ""m"": 4096, ""fft_seconds"": 6.7666987888515e-05, ""estimated_total_seconds"": 350.69477921375073, ""defect_pairs"": 898, ""defect_nodes"": 461}"
TT_CORR_W25_S2_T300,two_target,TT_CORR_W25_S2,corridor,300,882,442,"[701,+inf)",0.002951167058199644,83.55313254194334,0.017606499954126775,estimate,3.5320842778912807e-05,sparse,"[0.002951167058199644, 0.003329667029902339, 0.002903333050198853]","[83.55313254194334, 81.81735956296325, 84.35627068695612]","[2.663078250014223, 2.6101015829481184, 2.688845625030808]","[0.017606499954126775, 0.01873920892830938, 0.016872209031134844]",,,"{""setup_seconds"": 0.04988037492148578, ""eval_seconds_sampled"": 2.6345740410033613, ""eval_nz"": 32, ""m"": 1024, ""fft_seconds"": 2.0999927073717117e-05, ""estimated_total_seconds"": 84.35627068695612, ""defect_pairs"": 882, ""defect_nodes"": 453}"
TT_CORR_W25_S2_T600,two_target,TT_CORR_W25_S2,corridor,600,882,442,"[701,+inf)",0.007481749984435737,169.00924704049248,0.016972791985608637,estimate,4.42682877738826e-05,sparse,"[0.007481749984435737, 0.00757487490773201, 0.006011500023305416]","[167.42993639048655, 169.18861756264232, 169.00924704049248]","[2.6692942500812933, 2.69769937498495, 2.6945412919158116]","[0.016972791985608637, 0.015924291918054223, 0.01786858309060335]",,,"{""setup_seconds"": 0.04929287498816848, ""eval_seconds_sampled"": 2.6399988749762997, ""eval_nz"": 32, ""m"": 2048, ""fft_seconds"": 2.616702113300562e-05, ""estimated_total_seconds"": 169.00924704049248, ""defect_pairs"": 882, ""defect_nodes"": 453}"
TT_CORR_W25_S2_T1200,two_target,TT_CORR_W25_S2,corridor,1200,882,442,"[701,+inf)",0.012413416989147663,336.21515304024797,0.01839779200963676,estimate,3.692105152578196e-05,sparse,"[0.013346792082302272, 0.012413416989147663, 0.011999791022390127]","[336.21515304024797, 336.14586367073935, 347.721507454291]","[2.6821396669838578, 2.680267915944569, 2.7701949160546064]","[0.01839779200963676, 0.017737583024427295, 0.020542082958854735]",,,"{""setup_seconds"": 0.049260125029832125, ""eval_seconds_sampled"": 2.716189124970697, ""eval_nz"": 32, ""m"": 4096, ""fft_seconds"": 3.933301195502281e-05, ""estimated_total_seconds"": 347.721507454291, ""defect_pairs"": 882, ""defect_nodes"": 453}"
TT_CORR_W25_S3_T300,two_target,TT_CORR_W25_S3,corridor,300,866,434,"[701,+inf)",0.00290245795622468,79.29397257394157,0.01704770897049457,estimate,3.660376522967291e-05,sparse,"[0.0036850000033155084, 0.002870459109544754, 0.00290245795622468]","[80.78996292687953, 78.43883483298123, 79.29397257394157]","[2.575129083939828, 2.501528291963041, 2.528268832946196]","[0.01704770897049457, 0.016567124985158443, 0.017522832960821688]",,,"{""setup_seconds"": 0.047631624969653785, ""eval_seconds_sampled"": 2.4764474580297247, ""eval_nz"": 32, ""m"": 1024, ""fft_seconds"": 2.2292020730674267e-05, ""estimated_total_seconds"": 79.29397257394157, ""defect_pairs"": 866, ""defect_nodes"": 445}"
TT_CORR_W25_S3_T600,two_target,TT_CORR_W25_S3,corridor,600,866,434,"[701,+inf)",0.00702312495559454,161.50632380926982,0.015101124998182058,estimate,4.3485139095163035e-05,sparse,"[0.006139667006209493, 0.00702312495559454, 0.008896167040802538]","[159.65137880761176, 162.5644212460611, 161.50632380926982]","[2.5468458749819547, 2.597180875018239, 2.5747333749895915]","[0.015101124998182058, 0.01581975002773106, 0.015005666995421052]",,,"{""setup_seconds"": 0.047291291994042695, ""eval_seconds_sampled"": 2.5227968329563737, ""eval_nz"": 32, ""m"": 2048, ""fft_seconds"": 3.520806785672903e-05, ""estimated_total_seconds"": 161.50632380926982, ""defect_pairs"": 866, ""defect_nodes"": 445}"
TT_CORR_W25_S3_T1200,two_target,TT_CORR_W25_S3,corridor,1200,866,434,"[701,+inf)",0.011853625066578388,320.9352390842978,0.018841749988496304,estimate,3.693463235885069e-05,sparse,"[0.01184341695625335, 0.011853625066578388, 0.012056541978381574]","[320.9352390842978, 320.2421126307454, 334.7544179606484]","[2.5596752499695867, 2.558110291021876, 2.667600292013958]","[0.026072625070810318, 0.018841749988496304, 0.017044208012521267]",,,"{""setup_seconds"": 0.04848637501709163, ""eval_seconds_sampled"": 2.6148898330284283, ""eval_nz"": 32, ""m"": 4096, ""fft_seconds"": 3.2957992516458035e-05, ""estimated_total_seconds"": 334.7544179606484, ""defect_pairs"": 866, ""defect_nodes"": 445}"
TT_SYN_B128_K1_T300,two_target,TT_SYN_B128_K1,synthetic,300,248,128,"[121,300]",0.0034714590292423964,13.173203041427769,0.018778666970320046,estimate,0.00026352429385056715,sparse,"[0.0043839579448103905, 0.0034714590292423964, 0.002935584052465856]","[13.442969414405525, 13.151283329701982, 13.173203041427769]","[0.43679783307015896, 0.4278880829224363, 0.42860937502700835]","[0.01897116599138826, 0.017678249976597726, 0.018778666970320046]",,,"{""setup_seconds"": 0.016422915970906615, ""eval_seconds_sampled"": 0.41114837501663715, ""eval_nz"": 32, ""m"": 1024, ""fft_seconds"": 3.212492447346449e-05, ""estimated_total_seconds"": 13.173203041427769, ""defect_pairs"": 248, ""defect_nodes"": 230}"
TT_SYN_B128_K1_T600,two_target,TT_SYN_B128_K1,synthetic,600,248,128,"[121,300]",0.006217499962076545,26.394669604487717,0.016816957970149815,estimate,0.0002355589236479559,sparse,"[0.006217499962076545, 0.005825792090035975, 0.006267958087846637]","[26.331162670627236, 26.394669604487717, 26.553082624683157]","[0.4313974999822676, 0.44343550002668053, 0.4324391250265762]","[0.016816957970149815, 0.016505875042639673, 0.01683445810340345]",,,"{""setup_seconds"": 0.016726459027267992, ""eval_seconds_sampled"": 0.41463020897936076, ""eval_nz"": 32, ""m"": 2048, ""fft_seconds"": 2.279097680002451e-05, ""estimated_total_seconds"": 26.553082624683157, ""defect_pairs"": 248, ""defect_nodes"": 230}"
TT_SYN_B128_K1_T1200,two_target,TT_SYN_B128_K1,synthetic,1200,248,128,"[121,300]",0.01200404204428196,52.643424156238325,0.018154708086512983,estimate,0.00022802547966210634,sparse,"[0.011928834021091461, 0.012222332996316254, 0.01200404204428196]","[53.11978628928773, 52.51416912977584, 52.643424156238325]","[0.43254654097836465, 0.4265057500451803, 0.4280557499732822]","[0.01796362502500415, 0.018154708086512983, 0.01920750003773719]",,,"{""setup_seconds"": 0.01570724998600781, ""eval_seconds_sampled"": 0.41115366690792143, ""eval_nz"": 32, ""m"": 4096, ""fft_seconds"": 4.754203837364912e-05, ""estimated_total_seconds"": 52.643424156238325, ""defect_pairs"": 248, ""defect_nodes"": 230}"
TT_SYN_B128_K2_T300,two_target,TT_SYN_B128_K2,synthetic,300,244,128,"[121,300]",0.0029358749743551016,13.631547096418217,0.017838708008639514,estimate,0.0002153735708492342,sparse,"[0.004938750062137842, 0.0029358749743551016, 0.002855334081687033]","[13.512051273137331, 13.631547096418217, 13.695394615526311]","[0.4400594159960747, 0.4429289159597829, 0.4453173750080168]","[0.018999874941073358, 0.017838708008639514, 0.01630870799999684]",,,"{""setup_seconds"": 0.01674316602293402, ""eval_seconds_sampled"": 0.42745720804668963, ""eval_nz"": 32, ""m"": 1024, ""fft_seconds"": 2.0792009308934212e-05, ""estimated_total_seconds"": 13.695394615526311, ""defect_pairs"": 244, ""defect_nodes"": 234}"
TT_SYN_B128_K2_T600,two_target,TT_SYN_B128_K2,synthetic,600,244,128,"[121,300]",0.007183042005635798,26.600521584856324,0.01846429205033928,estimate,0.00027003387819752765,sparse,"[0.008672458934597671, 0.007183042005635798, 0.006297833053395152]","[26.600521584856324, 26.85633556218818, 26.5729834997328]","[0.4326972089475021, 0.4373536250786856, 0.4337137920083478]","[0.01866595901083201, 0.01719729194883257, 0.01846429205033928]",,,"{""setup_seconds"": 0.01771104207728058, ""eval_seconds_sampled"": 0.4149257499957457, ""eval_nz"": 32, ""m"": 2048, ""fft_seconds"": 2.445792779326439e-05, ""estimated_total_seconds"": 26.5729834997328, ""defect_pairs"": 244, ""defect_nodes"": 234}"
TT_SYN_B128_K2_T1200,two_target,TT_SYN_B128_K2,synthetic,1200,244,128,"[121,300]",0.01209095900412649,53.535911283805035,0.017306084046140313,estimate,0.00022584763599203147,sparse,"[0.01209095900412649, 0.01179408305324614, 0.012267124955542386]","[53.535911283805035, 53.296332083060406, 54.00445911590941]","[0.4368978750426322, 0.4347164999926463, 0.43978995794896036]","[0.017984834033995867, 0.017306084046140313, 0.016671375022269785]",,,"{""setup_seconds"": 0.01685433299280703, ""eval_seconds_sampled"": 0.42177787492983043, ""eval_nz"": 32, ""m"": 4096, ""fft_seconds"": 3.679189831018448e-05, ""estimated_total_seconds"": 54.00445911590941, ""defect_pairs"": 244, ""defect_nodes"": 234}"
TT_SYN_B16_K1_T300,two_target,TT_SYN_B16_K1,synthetic,300,30,17,"[21,60]",0.0028691249899566174,0.16554937500040978,0.016613292042165995,full,0.017330932176273788,sparse,"[0.0028691249899566174, 0.00285183300729841, 0.003264582948759198]","[0.0, 0.0, 0.0]","[0.16554937500040978, 0.1643246659077704, 0.17104591708630323]","[0.01638966705650091, 0.017588250106200576, 0.016613292042165995]",4.498119017957013e-10,1.6123706171658196e-12,
TT_SYN_B16_K1_T600,two_target,TT_SYN_B16_K1,synthetic,600,30,17,"[21,60]",0.008299084031023085,0.319918041001074,0.017371999914757907,full,0.02594128172657579,sparse,"[0.008710250025615096, 0.008299084031023085, 0.007008417043834925]","[0.0, 0.0, 0.0]","[0.319918041001074, 0.3302810840541497, 0.30708020890597254]","[0.018306374899111688, 0.017371999914757907, 0.015834208927117288]",6.161173951588794e-10,1.106056853035429e-12,
TT_SYN_B16_K1_T1200,two_target,TT_SYN_B16_K1,synthetic,1200,30,17,"[21,60]",0.015074958093464375,0.6288773330161348,0.01646629103925079,full,0.023971221893407953,sparse,"[0.015074958093464375, 0.012369708041660488, 0.01722791709471494]","[0.0, 0.0, 0.0]","[0.6333460420137271, 0.6288773330161348, 0.6185793749755248]","[0.01646629103925079, 0.018639791989699006, 0.014945957926101983]",7.819440398792685e-10,7.207873948649573e-13,
TT_SYN_B16_K2_T300,two_target,TT_SYN_B16_K2,synthetic,300,30,17,"[21,60]",0.002822167007252574,0.1606715420493856,0.014369916054420173,full,0.017564821817575665,sparse,"[0.0028090830892324448, 0.0028557080077007413, 0.002822167007252574]","[0.0, 0.0, 0.0]","[0.26431741705164313, 0.1606715420493856, 0.15821787505410612]","[0.014272165950387716, 0.014369916054420173, 0.014493542024865746]",4.822070679969736e-10,1.7209338278516617e-12,
TT_SYN_B16_K2_T600,two_target,TT_SYN_B16_K2,synthetic,600,30,17,"[21,60]",0.006061500054784119,0.3003117919433862,0.015735000022687018,full,0.02018402279696967,sparse,"[0.006167582934722304, 0.005695375031791627, 0.006061500054784119]","[0.0, 0.0, 0.0]","[0.3396918330108747, 0.2873715419555083, 0.3003117919433862]","[0.015735000022687018, 0.017051166971214116, 0.01485137501731515]",6.652381447509828e-10,1.1959485292898115e-12,
