t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,0,nan,nan,nan,nan,nan,nan
6,0,nan,nan,nan,nan,nan,nan
7,0,nan,nan,nan,nan,nan,nan
8,3,nan,nan,nan,nan,nan,nan
9,5,nan,nan,nan,nan,nan,nan
10,6,nan,nan,nan,nan,nan,nan
11,10,nan,nan,nan,nan,nan,nan
12,7,nan,nan,nan,nan,nan,nan
13,10,nan,nan,nan,nan,nan,nan
14,11,nan,nan,nan,nan,nan,nan
15,16,nan,nan,nan,nan,nan,nan
16,19,nan,nan,nan,nan,nan,nan
17,16,nan,nan,nan,nan,nan,nan
18,10,nan,nan,nan,nan,nan,nan
19,13,nan,nan,nan,nan,nan,nan
20,20,nan,nan,nan,nan,nan,nan
21,15,nan,nan,nan,nan,nan,nan
22,21,nan,nan,nan,nan,nan,nan
23,15,nan,nan,nan,nan,nan,nan
24,17,nan,nan,nan,nan,nan,nan
25,23,nan,nan,nan,nan,nan,nan
26,16,nan,nan,nan,nan,nan,nan
27,31,nan,nan,nan,nan,nan,nan
28,20,nan,nan,nan,nan,nan,nan
29,25,nan,nan,nan,nan,nan,nan
30,27,nan,nan,nan,nan,nan,nan
31,32,nan,nan,nan,nan,nan,nan
32,27,nan,nan,nan,nan,nan,nan
33,15,nan,nan,nan,nan,nan,nan
34,27,nan,nan,nan,nan,nan,nan
35,27,nan,nan,nan,nan,nan,nan
36,25,nan,nan,nan,nan,nan,nan
37,13,nan,nan,nan,nan,nan,nan
38,19,nan,nan,nan,nan,nan,nan
39,23,nan,nan,nan,nan,nan,nan
40,31,nan,nan,nan,nan,nan,nan
41,28,nan,nan,nan,nan,nan,nan
42,27,nan,nan,nan,nan,nan,nan
43,30,nan,nan,nan,nan,nan,nan
44,39,nan,nan,nan,nan,nan,nan
45,25,nan,nan,nan,nan,nan,nan
46,26,nan,nan,nan,nan,nan,nan
47,22,nan,nan,nan,nan,nan,nan
48,23,nan,nan,nan,nan,nan,nan
49,26,nan,nan,nan,nan,nan,nan
50,24,nan,nan,nan,nan,nan,nan
51,27,nan,nan,nan,nan,nan,nan
52,18,nan,nan,nan,nan,nan,nan
53,21,nan,nan,nan,nan,nan,nan
54,23,nan,nan,nan,nan,nan,nan
55,28,nan,nan,nan,nan,nan,nan
56,26,nan,nan,nan,nan,nan,nan
57,16,nan,nan,nan,nan,nan,nan
58,32,nan,nan,nan,nan,nan,nan
59,34,nan,nan,nan,nan,nan,nan
60,28,nan,nan,nan,nan,nan,nan
61,29,nan,nan,nan,nan,nan,nan
