t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
618,58,0.4215591915303176,0.0,0.5784408084696824,0.4215591915303176,0.0,0.0
619,49,nan,nan,nan,nan,nan,nan
620,47,nan,nan,nan,nan,nan,nan
621,56,0.42322456813819576,0.0,0.5767754318618042,0.42322456813819576,0.0,0.0
622,55,0.421256038647343,0.0,0.578743961352657,0.421256038647343,0.0,0.0
623,34,nan,nan,nan,nan,nan,nan
624,50,0.4037735849056604,0.0,0.5962264150943396,0.4037735849056604,0.0,0.0
625,50,0.4049429657794677,0.0,0.5950570342205324,0.4049429657794677,0.0,0.0
626,54,0.39793038570084666,0.0,0.6020696142991533,0.39793038570084666,0.0,0.0
627,54,0.4020715630885122,0.0,0.5979284369114878,0.4020715630885122,0.0,0.0
628,47,nan,nan,nan,nan,nan,nan
629,43,nan,nan,nan,nan,nan,nan
630,41,nan,nan,nan,nan,nan,nan
631,54,0.4001874414245548,0.0,0.5998125585754451,0.4001874414245548,0.0,0.0
632,46,nan,nan,nan,nan,nan,nan
633,59,0.3949814126394052,0.0,0.6050185873605948,0.3949814126394052,0.0,0.0
634,53,0.39249771271729184,0.0,0.6075022872827082,0.39249771271729184,0.0,0.0
635,42,nan,nan,nan,nan,nan,nan
636,54,0.4003623188405797,0.0,0.5996376811594203,0.4003623188405797,0.0,0.0
637,59,0.4010840108401084,0.0,0.5989159891598916,0.4010840108401084,0.0,0.0
638,45,nan,nan,nan,nan,nan,nan
639,59,0.40199637023593465,0.0,0.5980036297640653,0.40199637023593465,0.0,0.0
640,61,0.3981981981981982,0.0,0.6018018018018018,0.3981981981981982,0.0,0.0
641,51,0.40213523131672596,0.0,0.597864768683274,0.40213523131672596,0.0,0.0
642,60,0.3998211091234347,0.0,0.6001788908765653,0.3998211091234347,0.0,0.0
643,60,0.39838854073410923,0.0,0.6016114592658908,0.39838854073410923,0.0,0.0
644,51,0.40164684354986274,0.0,0.5983531564501372,0.40164684354986274,0.0,0.0
645,54,0.40216411181244366,0.0,0.5978358881875564,0.40216411181244366,0.0,0.0
646,57,0.4014532243415077,0.0,0.5985467756584922,0.4014532243415077,0.0,0.0
647,57,0.3987341772151899,0.0,0.6012658227848101,0.3987341772151899,0.0,0.0
648,50,0.39592969472710454,0.0,0.6040703052728955,0.39592969472710454,0.0,0.0
649,46,nan,nan,nan,nan,nan,nan
650,51,0.3916279069767442,0.0,0.6083720930232558,0.3916279069767442,0.0,0.0
651,55,0.39090064995357476,0.0,0.6090993500464252,0.39090064995357476,0.0,0.0
652,48,nan,nan,nan,nan,nan,nan
653,45,nan,nan,nan,nan,nan,nan
654,35,nan,nan,nan,nan,nan,nan
655,69,0.38789025543992434,0.0,0.6121097445600757,0.38789025543992434,0.0,0.0
656,34,nan,nan,nan,nan,nan,nan
657,59,0.3780718336483932,0.0,0.6219281663516069,0.3780718336483932,0.0,0.0
658,34,nan,nan,nan,nan,nan,nan
659,45,nan,nan,nan,nan,nan,nan
660,53,0.37652582159624415,0.0,0.6234741784037559,0.37652582159624415,0.0,0.0
661,63,0.37595419847328243,0.0,0.6240458015267175,0.37595419847328243,0.0,0.0
662,40,nan,nan,nan,nan,nan,nan
663,51,0.3646723646723647,0.0,0.6353276353276354,0.3646723646723647,0.0,0.0
664,51,0.36719478098788444,0.0,0.6328052190121156,0.36719478098788444,0.0,0.0
665,60,0.35970561177552896,0.0,0.640294388224471,0.35970561177552896,0.0,0.0
666,56,0.36235955056179775,0.0,0.6376404494382022,0.36235955056179775,0.0,0.0
667,56,0.3625461254612546,0.0,0.6374538745387454,0.3625461254612546,0.0,0.0
668,48,nan,nan,nan,nan,nan,nan
669,64,0.3694852941176471,0.0,0.6305147058823529,0.3694852941176471,0.0,0.0
670,48,nan,nan,nan,nan,nan,nan
671,34,nan,nan,nan,nan,nan,nan
672,46,nan,nan,nan,nan,nan,nan
673,62,0.38170055452865065,0.0,0.6182994454713494,0.38170055452865065,0.0,0.0
674,65,0.3788300835654596,0.0,0.6211699164345403,0.3788300835654596,0.0,0.0
675,49,nan,nan,nan,nan,nan,nan
676,50,0.38235294117647056,0.0,0.6176470588235294,0.38235294117647056,0.0,0.0
677,50,0.38235294117647056,0.0,0.6176470588235294,0.38235294117647056,0.0,0.0
678,51,0.3779677113010446,0.0,0.6220322886989553,0.3779677113010446,0.0,0.0
679,46,nan,nan,nan,nan,nan,nan
680,50,0.3754826254826255,0.0,0.6245173745173745,0.3754826254826255,0.0,0.0
681,47,nan,nan,nan,nan,nan,nan
682,45,nan,nan,nan,nan,nan,nan
683,53,0.3706161137440758,0.0,0.6293838862559241,0.3706161137440758,0.0,0.0
684,46,nan,nan,nan,nan,nan,nan
685,48,nan,nan,nan,nan,nan,nan
686,40,nan,nan,nan,nan,nan,nan
687,56,0.3655705996131528,0.0,0.6344294003868471,0.3655705996131528,0.0,0.0
688,55,0.3631984585741811,0.0,0.6368015414258189,0.3631984585741811,0.0,0.0
689,47,nan,nan,nan,nan,nan,nan
690,48,nan,nan,nan,nan,nan,nan
691,52,0.3531073446327684,0.0,0.6468926553672316,0.3531073446327684,0.0,0.0
692,36,nan,nan,nan,nan,nan,nan
693,59,0.3529962546816479,0.0,0.647003745318352,0.3529962546816479,0.0,0.0
694,52,0.34389561975768873,0.0,0.6561043802423113,0.34389561975768873,0.0,0.0
695,45,nan,nan,nan,nan,nan,nan
696,53,0.3364398881640261,0.0,0.6635601118359739,0.3364398881640261,0.0,0.0
697,55,0.3318056828597617,0.0,0.6681943171402384,0.3318056828597617,0.0,0.0
698,54,0.3351749539594843,0.0,0.6648250460405156,0.3351749539594843,0.0,0.0
699,51,0.33891992551210426,0.0,0.6610800744878957,0.33891992551210426,0.0,0.0
700,67,0.3422756706753006,0.0,0.6577243293246994,0.3422756706753006,0.0,0.0
701,53,0.34558823529411764,0.0,0.6544117647058824,0.34558823529411764,0.0,0.0
702,46,nan,nan,nan,nan,nan,nan
703,52,0.35071942446043164,0.0,0.6492805755395683,0.35071942446043164,0.0,0.0
704,58,0.34932126696832577,0.0,0.6506787330316742,0.34932126696832577,0.0,0.0
705,47,nan,nan,nan,nan,nan,nan
706,47,nan,nan,nan,nan,nan,nan
707,58,0.3534172661870504,0.0,0.6465827338129496,0.3534172661870504,0.0,0.0
708,51,0.35154826958105645,0.0,0.6484517304189436,0.35154826958105645,0.0,0.0
709,43,nan,nan,nan,nan,nan,nan
710,54,0.34778681120144533,0.0,0.6522131887985546,0.34778681120144533,0.0,0.0
711,55,0.3511796733212341,0.0,0.6488203266787659,0.3511796733212341,0.0,0.0
712,65,0.34594594594594597,0.0,0.654054054054054,0.34594594594594597,0.0,0.0
713,47,nan,nan,nan,nan,nan,nan
714,52,0.3336314847942755,0.0,0.6663685152057245,0.3336314847942755,0.0,0.0
715,55,0.3381165919282511,0.0,0.6618834080717488,0.3381165919282511,0.0,0.0
716,51,0.3365810451727192,0.0,0.6634189548272807,0.3365810451727192,0.0,0.0
717,51,0.3336236933797909,0.0,0.6663763066202091,0.3336236933797909,0.0,0.0
718,41,nan,nan,nan,nan,nan,nan
719,57,0.33652173913043476,0.0,0.6634782608695652,0.33652173913043476,0.0,0.0
720,57,0.3382226056945643,0.0,0.6617773943054357,0.3382226056945643,0.0,0.0
721,62,0.3359442993907746,0.0,0.6640557006092254,0.3359442993907746,0.0,0.0
722,61,0.32720909886264216,0.0,0.6727909011373578,0.32720909886264216,0.0,0.0
723,51,0.32418069087688217,0.0,0.6758193091231178,0.32418069087688217,0.0,0.0
724,55,0.3168141592920354,0.0,0.6831858407079646,0.3168141592920354,0.0,0.0
725,55,0.32,0.0,0.68,0.32,0.0,0.0
726,61,0.31216457960644006,0.0,0.6878354203935599,0.31216457960644006,0.0,0.0
727,66,0.3134057971014493,0.0,0.6865942028985508,0.3134057971014493,0.0,0.0
728,50,0.3205828779599271,0.0,0.6794171220400729,0.3205828779599271,0.0,0.0
729,61,0.3309417040358744,0.0,0.6690582959641256,0.3309417040358744,0.0,0.0
730,52,0.3357271095152603,0.0,0.6642728904847397,0.3357271095152603,0.0,0.0
731,44,nan,nan,nan,nan,nan,nan
732,49,nan,nan,nan,nan,nan,nan
733,51,0.327321911632101,0.0,0.672678088367899,0.327321911632101,0.0,0.0
734,48,nan,nan,nan,nan,nan,nan
735,47,nan,nan,nan,nan,nan,nan
736,48,nan,nan,nan,nan,nan,nan
737,37,nan,nan,nan,nan,nan,nan
738,45,nan,nan,nan,nan,nan,nan
739,58,0.33154121863799285,0.0,0.6684587813620072,0.33154121863799285,0.0,0.0
740,56,0.33363309352517984,0.0,0.6663669064748201,0.33363309352517984,0.0,0.0
741,54,0.3312555654496883,0.0,0.6687444345503116,0.3312555654496883,0.0,0.0
742,53,0.3327449249779347,0.0,0.6672550750220653,0.3327449249779347,0.0,0.0
743,68,0.3362598770851624,0.0,0.6637401229148375,0.3362598770851624,0.0,0.0
744,67,0.3342013888888889,0.0,0.6657986111111112,0.3342013888888889,0.0,0.0
745,63,0.33797909407665505,0.0,0.662020905923345,0.33797909407665505,0.0,0.0
746,51,0.3287435456110155,0.0,0.6712564543889845,0.3287435456110155,0.0,0.0
747,61,0.33247863247863246,0.0,0.6675213675213675,0.33247863247863246,0.0,0.0
748,49,nan,nan,nan,nan,nan,nan
749,54,0.3297609233305853,0.0,0.6702390766694146,0.3297609233305853,0.0,0.0
750,57,0.32062966031483014,0.0,0.6793703396851698,0.32062966031483014,0.0,0.0
751,63,0.3167495854063018,0.0,0.6832504145936982,0.3167495854063018,0.0,0.0
752,54,0.3219063545150502,0.0,0.6780936454849499,0.3219063545150502,0.0,0.0
753,55,0.3250207813798836,0.0,0.6749792186201163,0.3250207813798836,0.0,0.0
