Wy,bx,start_x,start_y,near_x,near_y,far_x,far_y,near_dx,near_dy,phase,loss_mode,t_peak1,t_valley,t_peak2,t_mode_near,t_mode_far,peak1_height,peak2_height,peak1_window_mass,peak2_window_mass,p_near,p_far,sep_mode_width,survival_tail,t_max_used,horizon_flag
16,0.14,7,7,19,8,58,7,12,1,2,clear,64,207,408,64,408,0.0025744851053077556,0.0021274375220172543,0.12073101885004352,0.11187767229575815,0.22970603501263076,0.7702939649863545,1.7731958762886597,9.96696909720855e-13,12000,ok
16,0.14,7,7,9,9,58,7,2,2,2,clear,7,171,407,6,407,0.015279682079411052,0.0019215442512950946,0.24662541841223007,0.10105268641287438,0.3042356156847866,0.6957643843142025,2.50625,9.9532030283944e-13,12000,ok
16,0.14,7,7,10,9,58,7,3,2,2,clear,10,175,407,9,407,0.010956784287210433,0.0019366469088364453,0.22702397181833944,0.10184245656789256,0.2983582140471313,0.7016417859518581,2.419452887537994,9.965697642181338e-13,12000,ok
16,0.14,7,7,11,9,58,7,4,2,2,clear,14,179,408,14,408,0.008180958037062466,0.001967555296699426,0.20533367237597622,0.10347335811582509,0.2869870929329126,0.7130129070660729,2.3592814371257487,9.991146568031038e-13,12000,ok
16,0.14,7,7,12,9,58,7,5,2,2,clear,19,183,408,19,408,0.006420276362938048,0.002001464433270618,0.18668043093248274,0.10525444416107888,0.2746678234815747,0.7253321765174124,2.2682215743440235,9.965379376973792e-13,12000,ok
16,0.14,7,7,13,9,58,7,6,2,2,clear,25,187,408,25,408,0.005233918634581349,0.0020334679330662343,0.17244237881335922,0.10693612373295974,0.2631284650601532,0.7368715349388345,2.1885714285714286,9.972251359461624e-13,12000,ok
16,0.14,7,7,14,9,58,7,7,2,2,clear,31,190,408,31,408,0.004395535491062601,0.002061981413901283,0.15984738398572362,0.10843487740148718,0.2529117619206258,0.7470882380783622,2.1179775280898876,9.954703319240023e-13,12000,ok
16,0.14,7,7,15,9,58,7,8,2,2,clear,37,194,408,37,408,0.0037805829664336733,0.002086746345550058,0.1488179347180462,0.10973697866876204,0.24409152035491005,0.755908479644076,2.044077134986226,9.966451939022845e-13,12000,ok
16,0.14,7,7,16,9,58,7,9,2,2,clear,44,197,408,44,408,0.0033156652739259385,0.0021079981786380074,0.14034393609584458,0.11085473106481661,0.2365700638239589,0.7634299361750274,1.9675675675675677,9.957955467237013e-13,12000,ok
16,0.14,7,7,17,9,58,7,10,2,2,clear,51,200,408,50,408,0.002955755577574342,0.002126129871100996,0.1314083666466917,0.11180875843078819,0.2301979039396386,0.7698020960593467,1.8992042440318302,9.984803284824043e-13,12000,ok
16,0.14,7,7,18,9,58,7,11,2,2,clear,58,204,408,58,408,0.0026730025733041796,0.002141560169738949,0.12284395518120819,0.11262106853264868,0.2248202510632528,0.7751797489357317,1.8276762402088773,9.997340780876311e-13,12000,ok
16,0.14,7,7,19,9,58,7,12,2,2,clear,65,207,408,65,408,0.002447737818939939,0.002154685290976033,0.11511110234576132,0.11331250696162723,0.22029385530755502,0.7797061446914278,1.768041237113402,9.997939226188315e-13,12000,ok
16,0.14,7,7,9,10,58,7,2,3,2,clear,10,170,407,9,407,0.007899431566920146,0.0021784933719360845,0.1617279476546997,0.11456562900145467,0.2116000096445553,0.7883999903544292,2.434250764525994,9.985464338359366e-13,12000,ok
16,0.14,7,7,10,10,58,7,3,3,2,clear,13,174,407,12,407,0.006849953465488179,0.002144766687841924,0.16257706164081684,0.11278983909880406,0.22353162973487894,0.7764683702641098,2.3795180722891565,9.950984007227555e-13,12000,ok
16,0.14,7,7,11,10,58,7,4,3,2,clear,17,178,407,17,407,0.005795517974241984,0.002133027303170227,0.15773497297399275,0.11217015707948663,0.2276062014447816,0.7723937985542046,2.2941176470588234,9.963990976722968e-13,12000,ok
16,0.14,7,7,12,10,58,7,5,3,2,clear,22,182,408,22,408,0.004922182714030005,0.0021334454425416304,0.15143261152179682,0.11219972258729274,0.22738667752682207,0.7726133224721646,2.23121387283237,9.976930624829163e-13,12000,ok
16,0.14,7,7,13,10,58,7,6,3,2,clear,27,186,408,27,408,0.004228689498301359,0.0021399702783881486,0.1434522822432678,0.11254135050837552,0.22504901359309235,0.7749509864058933,2.1586402266288953,9.961098598332862e-13,12000,ok
16,0.14,7,7,14,10,58,7,7,3,2,clear,33,189,408,33,408,0.003688986497542377,0.0021491057230859593,0.13735966158699475,0.11302077039688388,0.22182511327784893,0.7781748867211399,2.0891364902506964,9.95333527794513e-13,12000,ok
16,0.14,7,7,15,10,58,7,8,3,2,clear,39,193,408,39,408,0.003263947173164815,0.002158969081398735,0.13113986933966662,0.11353892588075987,0.21837913452764993,0.7816208654713336,2.021917808219178,9.998165404309702e-13,12000,ok
