Wy,kappa_c2o,kappa_o2c,phase,t_peak1,t_peak2,t_valley,valley_over_max,peak_balance,sep_peaks
16,0.0,0.0,2,395,1711,1083,0.05793243436724379,0.1889232739234998,1.8693181818181819
16,0.00025,0.0,2,395,1710,1082,0.05980551539734276,0.18932313403789325,1.8456140350877193
16,0.0005,0.0,2,395,1709,1081,0.06166625857914249,0.18973098408089847,1.8212058212058213
16,0.00075,0.0,2,395,1707,1081,0.06351471504470158,0.1901469962068854,1.7935748462064252
16,0.001,0.0,2,394,1706,1080,0.06534998358634034,0.19056831884780767,1.7705802968960864
16,0.00125,0.0,2,394,1704,1079,0.06717303333835752,0.1909967947917902,1.7408637873754154
16,0.0015,0.0,2,394,1703,1078,0.06898410575620778,0.19143285740661908,1.711111111111111
16,0.00175,0.0,2,394,1702,1077,0.07078329974595113,0.1918759995363888,1.677998717126363
16,0.002,0.0,2,393,1700,1076,0.07257007248650468,0.1923247613136228,1.6429918290383407
16,0.0025,0.0,2,393,1697,1075,0.07610753399422461,0.19324024375294882,1.5523809523809524
16,0.003,0.0,2,392,1695,1073,0.07959817345331056,0.19418121821969955,1.4063680518078792
16,0.0035,0.0,2,392,1692,1071,0.0830412811219149,0.19514241818297184,1.2993503248375813
16,0.004,0.0,2,392,1689,1069,0.08643956205380396,0.1961273835470067,1.2441247002398081
16,0.0045,0.0,2,391,1686,1067,0.08979111520928755,0.1971291370993323,1.204091120409112
16,0.005,0.0,2,391,1683,1066,0.09309879492608715,0.19815215380811313,1.1687019448213478
16,0.0,0.00025,2,395,1711,1083,0.05883997337255813,0.1885838416104737,1.860070671378092
16,0.00025,0.00025,2,395,1710,1083,0.060711770358818355,0.188989984871924,1.8365921787709498
16,0.0005,0.00025,2,395,1708,1082,0.06257114431594911,0.18940449073144439,1.8097863542384562
16,0.00075,0.00025,2,395,1707,1081,0.06441835296751672,0.18982682341806636,1.7850340136054421
16,0.001,0.00025,2,394,1705,1080,0.06625280898824883,0.19025496582581652,1.757372654155496
16,0.00125,0.00025,2,394,1704,1079,0.06807494604892264,0.19068988326990172,1.7293729372937294
16,0.0015,0.00025,2,394,1702,1078,0.06988516158149745,0.1911320108478094,1.6987012987012986
16,0.00175,0.00025,2,394,1701,1078,0.07168338026687697,0.19158164084284865,1.6649681528662421
16,0.002,0.00025,2,393,1700,1077,0.0734693401315605,0.1920369398248105,1.6306924516531502
16,0.0025,0.00025,2,393,1697,1075,0.07700508305814867,0.1929647930770865,1.535924617196702
16,0.003,0.00025,2,392,1694,1073,0.08049477415600895,0.19391848799031192,1.391025641025641
16,0.0035,0.00025,2,392,1691,1072,0.08393673196564091,0.19489153798036782,1.293824701195219
16,0.004,0.00025,2,392,1688,1070,0.0873338555062538,0.19588819312336944,1.2401913875598085
16,0.0045,0.00025,2,391,1686,1068,0.0906847219205378,0.19690222228409132,1.2007417709782104
