Wy,bx,start_x,start_y,near_x,near_y,far_x,far_y,near_dx,near_dy,phase,loss_mode,t_peak1,t_peak2,t_valley,t_max_used,horizon_flag,valley_over_max,peak_ratio,peak_minus_valley,peak1_height,peak2_height,valley_height,peak1_window_mass,valley_window_mass,peak2_window_mass,p_near,p_far,sep_mode_width,t_mode_near,t_mode_far,hw_near,hw_far,absorbed_mass,survival_tail,clear_score,showcase_score,sep_margin,mass_margin,valley_margin,peak_margin,contrast_margin,min_margin
16,0.02,7,7,15,10,58,7,8,3,0,far_broadening,,,,48000,ok,,,,nan,nan,nan,0.0,0.0,0.0,0.5960397545349247,0.4039602454640241,1.2367873491468997,78,1564,223.0,978.5,0.9999999999989488,9.99299527179449e-13,-1.0,-1.0,0.2367873491468997,0.25396024546402407,,,,0.2367873491468997
16,0.02,7,7,16,10,58,7,9,3,0,far_broadening,,,,48000,ok,,,,nan,nan,nan,0.0,0.0,0.0,0.5952628541265833,0.4047371458723654,1.1665997591328783,112,1565,267.5,978.0,0.9999999999989485,9.99121363261895e-13,-1.0,-1.0,0.16659975913287828,0.2547371458723654,,,,0.16659975913287828
16,0.02,7,7,17,10,58,7,10,3,0,far_broadening,,,,48000,ok,,,,nan,nan,nan,0.0,0.0,0.0,0.5947286451052314,0.40527135489371435,1.1038251366120218,152,1566,302.5,978.5,0.9999999999989457,9.998285157360048e-13,-1.0,-1.0,0.10382513661202175,0.25527135489371433,,,,0.10382513661202175
16,0.04,7,7,9,10,58,7,2,3,0,far_broadening,,,,24000,ok,,,,nan,nan,nan,0.0,0.0,0.0,0.44177222477150746,0.5582277752274599,1.8827586206896552,11,1103,14.5,565.5,0.9999999999989674,9.979736497562246e-13,-1.0,-1.0,0.8827586206896552,0.29177222477150744,,,,0.29177222477150744
16,0.04,7,7,10,10,58,7,3,3,2,clear,15,1080,498,24000,ok,0.049878124498176225,0.10517514867122059,0.055297024173044364,0.00436138640123395,0.0004587094631624204,0.0002175377739053997,0.12690913653830727,0.011569956679481913,0.024299465440320356,0.44367966582577595,0.5563203341731864,1.8583617747440273,15,1104,21.0,565.0,0.9999999999989623,9.983155122992065e-13,1.3130930055394452,1.5903057470280075,0.8583617747440273,0.293679665825776,0.30012187550182373,0.0051751486712205835,0.04529702417304436,0.0051751486712205835
16,0.04,7,7,11,10,58,7,4,3,2,clear,21,1076,512,24000,ok,0.07540543543468392,0.14408960858270953,0.0686841731480256,0.003217028019486751,0.0004635403081274552,0.0002425813986149773,0.10944788411554049,0.012896513892856511,0.024555545900409086,0.44183038149986215,0.5581696184991002,1.8201680672268907,21,1104,31.0,564.0,0.9999999999989625,9.990672349857634e-13,1.248439332210109,1.5144612456320246,0.8201680672268907,0.2918303814998622,0.27459456456531606,0.04408960858270952,0.058684173148025605,0.04408960858270952
16,0.04,7,7,12,10,58,7,5,3,2,clear,29,1070,525,24000,ok,0.11040061581498906,0.1932069474914129,0.08280633167642384,0.002431508235418167,0.0004697842839653758,0.000268440006549383,0.09662924785054211,0.01426598958657767,0.024886504001687015,0.438870430003435,0.5611295699955282,1.7596075224856909,29,1105,47.5,564.0,0.9999999999989633,9.998306096097505e-13,1.156587701009585,1.4051369966282172,0.7596075224856909,0.28887043000343504,0.23959938418501092,0.0932069474914129,0.07280633167642385,0.07280633167642385
16,0.04,7,7,13,10,58,7,6,3,2,clear,39,1063,537,24000,ok,0.15509703725982243,0.2509459104710613,0.09584887321123886,0.0018990738491538627,0.00047656481612769896,0.00029454072754137104,0.08721577505137576,0.015648053193242084,0.02524592953858089,0.4359502901598995,0.5640497098390629,1.6774193548387097,39,1105,72.0,563.5,0.9999999999989625,9.986292580937035e-13,1.0430303932403489,1.2679337312480305,0.6774193548387097,0.2859502901598995,0.19490296274017754,0.1509459104710613,0.08584887321123887,0.08584887321123887
16,0.04,7,7,14,10,58,7,7,3,2,clear,51,1055,549,24000,ok,0.20840902053978072,0.3144163897635901,0.10600736922380938,0.001538079782250204,0.00048359749230347793,0.0003205497009308042,0.07617430809968899,0.017024863566566708,0.025618753806595156,0.4334850971259625,0.5665149028729995,1.5873493975903614,51,1105,100.5,563.5,0.9999999999989619,9.992220096186739e-13,0.9216471031956313,1.119561711479078,0.5873493975903614,0.2834850971259625,0.14159097946021926,0.2144163897635901,0.09600736922380938,0.09600736922380938
16,0.04,7,7,15,10,58,7,8,3,2,clear,68,1046,559,24000,ok,0.2673215944645419,0.37894453709784626,0.11162294263330436,0.001295335316764649,0.0004908602419978719,0.00034627110224375843,0.06668799371266192,0.018386536960743192,0.02600380646637529,0.43156272917919314,0.5684372708197708,1.5003620564808111,68,1104,127.5,563.0,0.9999999999989638,9.992251054383595e-13,0.8041943832974509,0.9743612385219969,0.5003620564808111,0.2815627291791931,0.08267840553545808,0.2789445370978463,0.10162294263330436,0.08267840553545808
