case,window,hit_mass,flux_c2o,flux_o2c,consistency_gap
dir_out,peak1,0.06422038798469697,0.00011716766734998533,0.0,1.4849232954361469e-15
dir_out,valley,0.0047072665817832135,0.0010709612435497173,0.0,2.5500435096859064e-16
dir_out,peak2,0.012434894549913436,0.0011044062468109558,0.0,1.1345091532888318e-15
dir_in,peak1,0.0679303694071304,0.0,0.00013686204012879904,1.762479051592436e-15
dir_in,valley,0.004465888590794777,0.0,0.0005454354129674406,2.645453300864631e-16
dir_in,peak2,0.012738818140064117,0.0,0.0004078550778339046,1.1275702593849246e-15
