Wy,kappa,phase,t_peak1,t_peak2,t_valley,valley_over_max,peak_balance,sep_peaks,absorbed_mass,survival_tail
8,0.0,2,413,1594,1067,0.043957419680336174,0.16505928075050919,2.164986251145738,0.9864346792686447,0.013565320731316471
8,0.00025,2,413,1590,1068,0.048706188036256544,0.16419603558228296,2.1264679313459802,0.9865125945001507,0.0134874054998099
8,0.0005,2,413,1587,1069,0.05338782518267139,0.16341423754972312,2.087111111111111,0.9865894048451356,0.013410595154825998
8,0.00075,2,413,1583,1070,0.058003181209693104,0.1627107476643593,2.0454545454545454,0.9866651443129578,0.01333485568700199
8,0.001,2,413,1580,1072,0.0625530651710747,0.1620834996844956,2.0051546391752577,0.9867398465854473,0.013260153414506322
8,0.00125,2,413,1576,1073,0.06703749258816184,0.16152980424603092,1.9595619208087616,0.9868135445982025,0.013186455401759656
8,0.0015,2,413,1572,1075,0.07145790776204135,0.1610473645135476,1.910964550700742,0.9868862702530306,0.013113729746924301
8,0.00175,2,413,1569,1076,0.07581408968225818,0.1606344686719868,1.8540497193263834,0.9869580542311917,0.013041945768771724
8,0.002,2,413,1565,1078,0.08010669804678076,0.16028879818255934,1.7560975609756098,0.9870289258828119,0.01297107411714289
8,0.00225,2,413,1561,1080,0.08433613590907146,0.1600085214341801,1.0450614474283113,0.9870989131737682,0.01290108682619569
8,0.0025,2,413,1557,1082,0.08850268248955692,0.15979192189981387,1.0376417233560091,0.9871680426745354,0.012831957325423386
8,0.00275,2,412,1553,1085,0.09260598601243668,0.15963706784090306,1.0321121664405246,0.9872363395797318,0.012763660420232695
8,0.003,2,412,1549,1087,0.09664661278710629,0.15954254110541521,1.0247859396124381,0.9873038277488302,0.01269617225113023
8,0.00325,2,412,1544,1090,0.10062447916353773,0.15950727052589575,1.0170709793351302,0.9873705297614026,0.012629470238563718
8,0.0035,2,412,1540,1093,0.10453974917369213,0.15952999771040688,1.0098478066248882,0.9874364669812574,0.012563533018702092
8,0.00375,2,412,1535,1096,0.10839217812713678,0.15960934562541992,1.0026785714285715,0.9875016596257493,0.012498340374215561
8,0.004,1,412,1531,1099,0.11218162412049153,0.15974452154435778,0.9959946595460614,0.987566126836972,0.012433873162989311
8,0.0045,1,412,1521,1106,0.11957050158780162,0.16017845388121071,0.9805481874447391,0.9876929565772026,0.012307043422753829
8,0.005,1,412,1510,1114,0.12670325022343434,0.16082570312116645,0.9648506151142355,0.987817090488271,0.012182909511688987
8,0.006,1,412,1487,1133,0.14018038129173346,0.16274786241422343,0.9339704604691572,0.9880577452937874,0.011942254706169695
8,0.0075,1,412,1441,1173,0.15829004490958712,0.1672276105405744,0.8828828828828829,0.9884012153276907,0.011598784672269987
8,0.01,0,,,,,,0.0,0.9889324346015363,0.011067565398423783
8,0.015,0,,,,,,0.0,0.9898674763322755,0.010132523667683704
8,0.02,0,,,,,,0.0,0.990668373106489,0.009331626893468116
8,0.03,0,,,,,,0.0,0.9919770188910244,0.008022981108933822
8,0.05,0,,,,,,0.0,0.9938315111849991,0.006168488814955598
8,0.1,0,,,,,,0.0,0.9962819957561198,0.003718004243835253
8,0.2,0,,,,,,0.0,0.9980337517600558,0.001966248239903657
10,0.0,2,407,1632,1071,0.05273679703866324,0.1953077826488522,2.1138912855910266,0.9605108048830009,0.0394891951169498
10,0.00025,2,407,1629,1072,0.056808447498228956,0.19483247725482883,2.08,0.960371028689233,0.03962897131072111
10,0.0005,2,407,1627,1072,0.060844784226463076,0.194411870553786,2.046979865771812,0.9602320334575439,0.039767966542407204
10,0.00075,2,407,1625,1073,0.06484623880053961,0.19404430810657666,2.0165562913907285,0.9600937769987072,0.039906223001238625
10,0.001,2,407,1622,1073,0.06881292237130981,0.19372915282174627,1.980440097799511,0.9599562223612771,0.04004377763867004
10,0.00125,2,407,1620,1074,0.07274570636200302,0.1934645006449101,1.9454691259021653,0.959819337163196,0.0401806628367527
10,0.0015,2,406,1617,1074,0.07664465403968566,0.19324913304973432,1.9116022099447514,0.9596830930083704,0.0403169069915788
10,0.00175,2,406,1615,1075,0.08050971667205828,0.19308112868677219,1.8758727695888286,0.9595474649774912,0.0404525350224573
10,0.002,2,406,1612,1076,0.08434202942206133,0.19296070125120793,1.8356164383561644,0.9594124311837654,0.0405875688161826
10,0.00225,2,406,1610,1077,0.08814184617730739,0.1928863716911298,1.793000744601638,0.9592779723853518,0.040722027614596354
10,0.0025,2,406,1607,1078,0.09190943173164086,0.19285768852012478,1.745639534883721,0.9591440716473286,0.04085592835262125
10,0.00275,2,406,1604,1079,0.09564506105931796,0.19287315724639606,1.6790469516468114,0.9590107140468977,0.040989285953051235
10,0.003,2,406,1602,1080,0.09934901861469174,0.19293203357583955,1.023972602739726,0.9588778864163585,0.04112211358359352
