spec,round,Wy,bx,start_x,start_y,near_x,near_y,far_x,far_y,near_dx,near_dy,phase,loss_mode,t_peak1,t_peak2,t_valley,t_max_used,horizon_flag,valley_over_max,peak_ratio,peak_minus_valley,peak1_height,peak2_height,valley_height,peak1_window_mass,valley_window_mass,peak2_window_mass,p_near,p_far,sep_mode_width,t_mode_near,t_mode_far,hw_near,hw_far,absorbed_mass,survival_tail,clear_score,showcase_score,sep_margin,mass_margin,valley_margin,peak_margin,contrast_margin,min_margin
baseline,1,16,0.02,7,7,14,9,58,7,7,2,0,far_broadening,,,,48000,ok,,,,nan,nan,nan,0.0,0.0,0.0,0.6102864589795044,0.38971354101944633,1.3434029320302088,48,1560,150.5,975.0,0.9999999999989506,9.99871939130718e-13,-1.0,-1.0,0.3434029320302088,0.23971354101944634,,,,0.23971354101944634
baseline,1,16,0.02,7,7,15,9,58,7,8,2,0,far_broadening,,,,48000,ok,,,,nan,nan,nan,0.0,0.0,0.0,0.6075609810971805,0.39243901890176974,1.2572631578947369,67,1560,213.0,974.5,0.9999999999989503,9.991722691222833e-13,-1.0,-1.0,0.25726315789473686,0.24243901890176975,,,,0.24243901890176975
baseline,1,16,0.02,7,7,16,9,58,7,9,2,0,far_broadening,,,,48000,ok,,,,nan,nan,nan,0.0,0.0,0.0,0.6056350904976369,0.39436490950131176,1.1788453774727492,101,1561,264.5,974.0,0.9999999999989484,9.997511172101396e-13,-1.0,-1.0,0.1788453774727492,0.24436490950131176,,,,0.1788453774727492
baseline,1,16,0.02,7,7,17,9,58,7,10,2,0,far_broadening,,,,48000,ok,,,,nan,nan,nan,0.0,0.0,0.0,0.6042762595285031,0.3957237404704436,1.106849315068493,148,1562,303.0,974.5,0.9999999999989468,9.989838065108648e-13,-1.0,-1.0,0.10684931506849304,0.24572374047044362,,,,0.10684931506849304
baseline,1,16,0.04,7,7,9,9,58,7,2,2,0,far_broadening,,,,24000,ok,,,,nan,nan,nan,0.0,0.0,0.0,0.5029153450122049,0.49708465498676374,1.9161572052401747,6,1103,7.5,565.0,0.9999999999989686,9.980460587474797e-13,-1.0,-1.0,0.9161572052401747,0.3470846549867638,,,,0.3470846549867638
baseline,1,16,0.04,7,7,10,9,58,7,3,2,0,far_broadening,,,,24000,ok,,,,nan,nan,nan,0.0,0.0,0.0,0.4889820646431656,0.5110179353558023,1.8894645941278065,11,1105,14.5,564.5,0.9999999999989679,9.99029821564071e-13,-1.0,-1.0,0.8894645941278065,0.3389820646431656,,,,0.3389820646431656
baseline,1,16,0.04,7,7,11,9,58,7,4,2,2,clear,17,1076,519,24000,ok,0.05528543385320334,0.10287288002201678,0.047587446168813434,0.004240863683174309,0.00043626986086891883,0.00023445798863658556,0.13131021307570773,0.012463761045302777,0.02311092170729059,0.4757452998241191,0.5242547001748462,1.8551959114139693,16,1105,23.5,563.5,0.9999999999989655,9.99015695281701e-13,1.3595949507191378,1.6395607474970955,0.8551959114139693,0.32574529982411915,0.29471456614679664,0.0028728800220167716,0.03758744616881343,0.0028728800220167716
baseline,1,16,0.04,7,7,12,9,58,7,5,2,2,clear,25,1069,532,24000,ok,0.0887910177953536,0.15158837398895927,0.06279735619360567,0.002962103474639001,0.0004490204493075726,0.0002630081823283503,0.11023922488770431,0.013976348244739445,0.02378655053636509,0.4649502859851839,0.5350497140137805,1.8016666666666667,24,1105,37.0,563.0,0.9999999999989644,9.97942659147758e-13,1.2558149447060323,1.518837676213192,0.8016666666666667,0.31495028598518393,0.2612089822046464,0.05158837398895927,0.05279735619360567,0.05158837398895927
baseline,1,16,0.04,7,7,13,9,58,7,6,2,2,clear,34,1062,544,24000,ok,0.13260897887670164,0.2096495109543899,0.07704053207768827,0.002195814036458271,0.00046035133889026135,0.0002911846571778598,0.094922474276627,0.01546870221724031,0.02438704474601382,0.4566459175971656,0.5433540824017998,1.7218649517684887,34,1105,59.5,562.5,0.9999999999989654,9.987216163785753e-13,1.130073527692943,1.3693443018721498,0.7218649517684887,0.30664591759716564,0.21739102112329833,0.1096495109543899,0.06704053207768827,0.06704053207768827
baseline,1,16,0.04,7,7,14,9,58,7,7,2,2,clear,46,1053,555,24000,ok,0.18653430148998396,0.27536320014096977,0.08882889865098581,0.0017091489544932509,0.00047063672562685426,0.00031881490636873495,0.08269899051275433,0.016931822023019516,0.02493217953600018,0.45042580743237987,0.549574192566584,1.6229885057471265,45,1104,90.0,562.5,0.9999999999989638,9.980821152161797e-13,0.9907462792132967,1.2007188251488043,0.6229885057471265,0.3004258074323799,0.16346569851001602,0.17536320014096976,0.07882889865098582,0.07882889865098582
baseline,1,16,0.04,7,7,15,9,58,7,8,2,2,clear,61,1043,566,24000,ok,0.24863146082104587,0.3453073793159724,0.09667591849492652,0.0013909206318932783,0.00048029515823558424,0.00034582662859375797,0.07080606210440328,0.01836177366591912,0.02544414864798562,0.4458336794368498,0.5541663205621115,1.5274323335771762,60,1104,121.5,562.0,0.9999999999989615,9.9923173405849e-13,0.8559669122534648,1.0357006965805005,0.5274323335771762,0.2958336794368498,0.10136853917895411,0.24530737931597238,0.08667591849492652,0.08667591849492652
baseline,1,16,0.04,7,7,16,9,58,7,9,2,2,clear,82,1032,577,24000,ok,0.3142269170764863,0.4134290877267265,0.09920217065024017,0.0011844680099400932,0.0004896935287910239,0.0003721917311391964,0.061758246046739664,0.01975715354685524,0.025942388762922906,0.44247648835358266,0.5575235116453793,1.4380281690140846,82,1103,148.5,561.5,0.9999999999989619,9.98410601241069e-13,0.7322013642467695,0.8819626081774161,0.4380281690140846,0.29247648835358264,0.035773082923513666,0.3134290877267265,0.08920217065024018,0.035773082923513666
baseline,1,16,0.04,7,7,17,9,58,7,10,2,1,far_broadening,109,1020,587,24000,ok,0.3773290480268487,0.47333085393235214,0.09600180590550345,0.0010545061489531215,0.0004991302959608971,0.00039789580132293964,0.055426855526131115,0.021117469310315242,0.026442713240043828,0.44004300796407253,0.559956992034891,1.3579234972677596,109,1103,170.0,562.0,0.9999999999989637,9.983144271853384e-13,-1.0,-1.0,0.3579234972677596,0.29004300796407256,-0.027329048026848712,0.3733308539323521,0.08600180590550345,-0.027329048026848712
baseline,1,16,0.06,7,7,9,9,58,7,2,2,0,far_broadening,,,,12000,ok,,,,nan,nan,nan,0.0,0.0,0.0,0.427026799369179,0.5729732006297953,2.1760840998685937,6,834,7.0,373.5,0.9999999999989743,9.993463780735732e-13,-1.0,-1.0,1.1760840998685937,0.27702679936917896,,,,0.27702679936917896
baseline,1,16,0.06,7,7,10,9,58,7,3,2,1,far_broadening,12,832,362,12000,ok,0.022208615374857344,0.09820256188149204,0.0759939465066347,0.007320976365549645,0.0007189386345708297,0.00016258874827091308,0.18353466998503057,0.008727388400887081,0.038058792617442085,0.4127064242851586,0.5872935757138147,2.126451612903226,11,835,14.0,373.5,0.9999999999989733,9.981122116177621e-13,-1.0,-1.0,1.1264516129032258,0.26270642428515856,0.3277913846251426,-0.0017974381185079658,0.0659939465066347,-0.0017974381185079658
baseline,1,16,0.06,7,7,11,9,58,7,4,2,2,clear,17,831,371,12000,ok,0.038466829168159904,0.14881581210683226,0.11034898293867235,0.004962217424316841,0.0007384564158503841,0.00019088076995646237,0.15101282912980948,0.010233467079060825,0.03909210071488045,0.39792556865550766,0.6020744313434666,2.0785804816223066,16,836,21.0,373.5,0.9999999999989743,9.984370304135149e-13,1.3948908484862743,1.7163859048392154,1.0785804816223066,0.24792556865550766,0.31153317083184007,0.04881581210683225,0.10034898293867235,0.04881581210683225
baseline,1,16,0.06,7,7,12,9,58,7,5,2,2,clear,24,830,379,12000,ok,0.06160407745807454,0.21117631785418628,0.14957224039611175,0.003578935697741107,0.00075578646248587,0.0002204770319411112,0.1287515826991854,0.011807443740890426,0.04000974047936396,0.38521647432715944,0.6147835256718127,2.012376237623762,23,836,31.0,373.0,0.9999999999989723,9.972856855305248e-13,1.2939666657081714,1.599945039222427,1.0123762376237622,0.23521647432715945,0.2883959225419254,0.11117631785418627,0.13957224039611174,0.11117631785418627
baseline,1,16,0.06,7,7,13,9,58,7,6,2,2,clear,32,829,386,12000,ok,0.09204358422907939,0.28246366904438525,0.19042008481530587,0.0027274487578133125,0.0007704051832624991,0.0002510441594702876,0.11249973674519784,0.013431732087779542,0.04078397482870266,0.37499356820002155,0.625006431798949,1.9280575539568345,32,836,44.0,373.0,0.9999999999989706,9.9852071071876e-13,1.1816384931521777,1.4677231381758444,0.9280575539568345,0.22499356820002156,0.2579564157709206,0.18246366904438524,0.18042008481530586,0.18042008481530586
