t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,0,nan,nan,nan,nan,nan,nan
6,0,nan,nan,nan,nan,nan,nan
7,0,nan,nan,nan,nan,nan,nan
8,2,nan,nan,nan,nan,nan,nan
9,3,nan,nan,nan,nan,nan,nan
10,3,nan,nan,nan,nan,nan,nan
11,2,nan,nan,nan,nan,nan,nan
12,1,nan,nan,nan,nan,nan,nan
13,5,nan,nan,nan,nan,nan,nan
14,7,nan,nan,nan,nan,nan,nan
15,8,nan,nan,nan,nan,nan,nan
16,9,nan,nan,nan,nan,nan,nan
17,10,nan,nan,nan,nan,nan,nan
18,9,nan,nan,nan,nan,nan,nan
19,7,nan,nan,nan,nan,nan,nan
20,12,nan,nan,nan,nan,nan,nan
21,7,nan,nan,nan,nan,nan,nan
22,8,nan,nan,nan,nan,nan,nan
23,10,nan,nan,nan,nan,nan,nan
24,7,nan,nan,nan,nan,nan,nan
25,20,nan,nan,nan,nan,nan,nan
26,15,nan,nan,nan,nan,nan,nan
27,11,nan,nan,nan,nan,nan,nan
28,23,nan,nan,nan,nan,nan,nan
29,9,nan,nan,nan,nan,nan,nan
30,11,nan,nan,nan,nan,nan,nan
31,19,nan,nan,nan,nan,nan,nan
32,13,nan,nan,nan,nan,nan,nan
33,12,nan,nan,nan,nan,nan,nan
34,11,nan,nan,nan,nan,nan,nan
35,14,nan,nan,nan,nan,nan,nan
36,12,nan,nan,nan,nan,nan,nan
37,15,nan,nan,nan,nan,nan,nan
38,11,nan,nan,nan,nan,nan,nan
39,15,nan,nan,nan,nan,nan,nan
40,15,nan,nan,nan,nan,nan,nan
41,13,nan,nan,nan,nan,nan,nan
42,13,nan,nan,nan,nan,nan,nan
43,11,nan,nan,nan,nan,nan,nan
44,9,nan,nan,nan,nan,nan,nan
45,9,nan,nan,nan,nan,nan,nan
46,14,nan,nan,nan,nan,nan,nan
47,13,nan,nan,nan,nan,nan,nan
48,13,nan,nan,nan,nan,nan,nan
49,9,nan,nan,nan,nan,nan,nan
50,11,nan,nan,nan,nan,nan,nan
51,16,nan,nan,nan,nan,nan,nan
52,7,nan,nan,nan,nan,nan,nan
53,18,nan,nan,nan,nan,nan,nan
54,11,nan,nan,nan,nan,nan,nan
55,17,nan,nan,nan,nan,nan,nan
56,9,nan,nan,nan,nan,nan,nan
57,12,nan,nan,nan,nan,nan,nan
58,12,nan,nan,nan,nan,nan,nan
59,9,nan,nan,nan,nan,nan,nan
60,13,nan,nan,nan,nan,nan,nan
61,17,nan,nan,nan,nan,nan,nan
