case_id,L,x1_0,x2_0,q0,rho,Q1,Q2,mean_distribution,mass_balance_error,diagonal_decomposition_error,tail_mass,classification,t1,t2,tv,R_peak,R_valley,peak_separation,score,candidate_peaks,dominant_early_positions,dominant_late_positions
p02_rho0p1,7,1,5,3.4999999999999998e-01,1.0000000000000001e-01,6.3636363636363630e-02,6.3636363636363624e-01,3.9600525382596921e+01,1.9775847626135601e-16,0.0000000000000000e+00,9.7975211755403260e-15,unimodal,9,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,9,1:8.427934e-02;2:4.508414e-02;0:1.208561e-02,
p02_rho0p2,7,1,5,3.4999999999999998e-01,2.0000000000000001e-01,1.1666666666666665e-01,5.8333333333333337e-01,3.8521407701968890e+01,1.9775847626135601e-16,0.0000000000000000e+00,9.7185295989687236e-15,unimodal,10,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,10,1:5.477275e-02;2:5.315267e-02;3:2.357223e-02,
p02_rho0p5,7,1,5,3.4999999999999998e-01,5.0000000000000000e-01,2.3333333333333331e-01,4.6666666666666662e-01,3.7420025246351194e+01,1.7867651802561113e-16,0.0000000000000000e+00,9.7660853752242141e-15,unimodal,11,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,11,2:4.445679e-02;3:3.935007e-02;1:3.056369e-02,
p02_rho1p0,7,1,5,3.4999999999999998e-01,1.0000000000000000e+00,3.4999999999999998e-01,3.4999999999999998e-01,3.7184915874678637e+01,2.5673907444456745e-16,0.0000000000000000e+00,9.8057291167241765e-15,unimodal,11,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,11,3:4.236602e-02;4:3.408813e-02;2:3.408813e-02,
p02_rho2p0,7,1,5,3.4999999999999998e-01,2.0000000000000000e+00,4.6666666666666662e-01,2.3333333333333331e-01,3.7420025246351209e+01,2.1857515797307769e-16,0.0000000000000000e+00,9.7660853752242141e-15,unimodal,11,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,11,4:4.445679e-02;3:3.935007e-02;5:3.056369e-02,
p02_rho5p0,7,1,5,3.4999999999999998e-01,5.0000000000000000e+00,5.8333333333333337e-01,1.1666666666666665e-01,3.8521407701968890e+01,1.9775847626135601e-16,0.0000000000000000e+00,9.7185295989687109e-15,unimodal,10,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,10,5:5.477275e-02;4:5.315267e-02;3:2.357223e-02,
p02_rho10p0,7,1,5,3.4999999999999998e-01,1.0000000000000000e+01,6.3636363636363635e-01,6.3636363636363630e-02,3.9600525382597020e+01,2.9490299091605721e-16,0.0000000000000000e+00,9.7975211755406353e-15,unimodal,9,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,9,5:8.427934e-02;4:4.508414e-02;6:1.208561e-02,
p03_rho0p1,7,5,1,3.4999999999999998e-01,1.0000000000000001e-01,6.3636363636363630e-02,6.3636363636363624e-01,3.9600525382596921e+01,1.6306400674181987e-16,0.0000000000000000e+00,9.7975211755403118e-15,unimodal,9,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,9,5:8.427934e-02;4:4.508414e-02;6:1.208561e-02,
p03_rho0p2,7,5,1,3.4999999999999998e-01,2.0000000000000001e-01,1.1666666666666665e-01,5.8333333333333337e-01,3.8521407701968890e+01,1.6653345369377348e-16,0.0000000000000000e+00,9.7185295989687109e-15,unimodal,10,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,10,5:5.477275e-02;4:5.315267e-02;3:2.357223e-02,
p03_rho0p5,7,5,1,3.4999999999999998e-01,5.0000000000000000e-01,2.3333333333333331e-01,4.6666666666666662e-01,3.7420025246351209e+01,1.7867651802561113e-16,0.0000000000000000e+00,9.7660853752242141e-15,unimodal,11,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,11,4:4.445679e-02;3:3.935007e-02;5:3.056369e-02,
p03_rho1p0,7,5,1,3.4999999999999998e-01,1.0000000000000000e+00,3.4999999999999998e-01,3.4999999999999998e-01,3.7184915874678637e+01,2.0816681711721685e-16,0.0000000000000000e+00,9.8057291167241765e-15,unimodal,11,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,11,3:4.236602e-02;4:3.408813e-02;2:3.408813e-02,
p03_rho2p0,7,5,1,3.4999999999999998e-01,2.0000000000000000e+00,4.6666666666666662e-01,2.3333333333333331e-01,3.7420025246351194e+01,2.0469737016526324e-16,0.0000000000000000e+00,9.7660853752242141e-15,unimodal,11,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,11,2:4.445679e-02;3:3.935007e-02;1:3.056369e-02,
p03_rho5p0,7,5,1,3.4999999999999998e-01,5.0000000000000000e+00,5.8333333333333337e-01,1.1666666666666665e-01,3.8521407701968890e+01,1.9775847626135601e-16,0.0000000000000000e+00,9.7185295989687251e-15,unimodal,10,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,10,1:5.477275e-02;2:5.315267e-02;3:2.357223e-02,
p03_rho10p0,7,5,1,3.4999999999999998e-01,1.0000000000000000e+01,6.3636363636363635e-01,6.3636363636363630e-02,3.9600525382597020e+01,1.7347234759768071e-16,0.0000000000000000e+00,9.7975211755406479e-15,unimodal,9,,,0.0000000000000000e+00,1.0000000000000000e+00,0,0.0000000000000000e+00,9,1:8.427934e-02;2:4.508414e-02;0:1.208561e-02,
