t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,2,nan,nan,nan,nan,nan,nan
6,1,nan,nan,nan,nan,nan,nan
7,8,nan,nan,nan,nan,nan,nan
8,11,nan,nan,nan,nan,nan,nan
9,11,nan,nan,nan,nan,nan,nan
10,10,nan,nan,nan,nan,nan,nan
11,12,nan,nan,nan,nan,nan,nan
12,17,nan,nan,nan,nan,nan,nan
13,9,nan,nan,nan,nan,nan,nan
14,13,nan,nan,nan,nan,nan,nan
15,19,nan,nan,nan,nan,nan,nan
16,12,nan,nan,nan,nan,nan,nan
17,24,nan,nan,nan,nan,nan,nan
18,19,nan,nan,nan,nan,nan,nan
19,17,nan,nan,nan,nan,nan,nan
20,26,nan,nan,nan,nan,nan,nan
21,20,nan,nan,nan,nan,nan,nan
22,17,nan,nan,nan,nan,nan,nan
23,20,nan,nan,nan,nan,nan,nan
24,21,nan,nan,nan,nan,nan,nan
25,26,nan,nan,nan,nan,nan,nan
26,24,nan,nan,nan,nan,nan,nan
27,25,nan,nan,nan,nan,nan,nan
28,28,nan,nan,nan,nan,nan,nan
29,10,nan,nan,nan,nan,nan,nan
30,26,nan,nan,nan,nan,nan,nan
31,25,nan,nan,nan,nan,nan,nan
32,16,nan,nan,nan,nan,nan,nan
33,30,nan,nan,nan,nan,nan,nan
34,28,nan,nan,nan,nan,nan,nan
35,27,nan,nan,nan,nan,nan,nan
36,28,nan,nan,nan,nan,nan,nan
37,19,nan,nan,nan,nan,nan,nan
38,28,nan,nan,nan,nan,nan,nan
39,28,nan,nan,nan,nan,nan,nan
40,34,nan,nan,nan,nan,nan,nan
41,39,nan,nan,nan,nan,nan,nan
42,33,nan,nan,nan,nan,nan,nan
43,50,0.5190582959641256,0.2219730941704036,0.4170403587443946,0.3609865470852018,0.06390134529147982,0.15807174887892378
44,40,nan,nan,nan,nan,nan,nan
45,58,0.4686868686868687,0.2191919191919192,0.4595959595959596,0.3212121212121212,0.07171717171717172,0.14747474747474748
46,48,nan,nan,nan,nan,nan,nan
47,39,nan,nan,nan,nan,nan,nan
48,56,0.41557305336832895,0.21084864391951005,0.5083114610673666,0.28083989501312334,0.07611548556430446,0.1347331583552056
49,44,nan,nan,nan,nan,nan,nan
50,68,0.37568199532346064,0.21434138737334374,0.5354637568199533,0.25019485580670303,0.08885424785658613,0.1254871395167576
51,57,0.3575168287210172,0.22139117427075541,0.5459985041136873,0.23261032161555723,0.09648466716529544,0.12490650710545999
