t_max,mass_any,survival_tail,mfpt_trunc,mfpt_rel_error
300,0.116714161296,0.883285838704,19.2942224046,-0.993592543805
600,0.241806805049,0.758193194951,73.0986163011,-0.975724537014
1200,0.389579321298,0.610420678702,203.559235131,-0.932399614
2400,0.581765876511,0.418234123489,540.033577004,-0.820659189279
6000,0.850786346942,0.149213653058,1583.47917095,-0.474139293611
