t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,5,nan,nan,nan,nan,nan,nan
6,11,nan,nan,nan,nan,nan,nan
7,12,nan,nan,nan,nan,nan,nan
8,13,nan,nan,nan,nan,nan,nan
9,17,nan,nan,nan,nan,nan,nan
10,29,nan,nan,nan,nan,nan,nan
11,26,nan,nan,nan,nan,nan,nan
12,30,nan,nan,nan,nan,nan,nan
13,35,nan,nan,nan,nan,nan,nan
14,42,nan,nan,nan,nan,nan,nan
15,29,nan,nan,nan,nan,nan,nan
16,28,nan,nan,nan,nan,nan,nan
17,53,1.0,0.27158774373259054,0.0,0.7284122562674095,0.0,0.27158774373259054
18,39,nan,nan,nan,nan,nan,nan
19,39,nan,nan,nan,nan,nan,nan
20,35,nan,nan,nan,nan,nan,nan
21,55,1.0,0.3,0.0,0.7,0.0,0.3
22,42,nan,nan,nan,nan,nan,nan
23,43,nan,nan,nan,nan,nan,nan
24,38,nan,nan,nan,nan,nan,nan
25,32,nan,nan,nan,nan,nan,nan
26,38,nan,nan,nan,nan,nan,nan
27,43,nan,nan,nan,nan,nan,nan
28,42,nan,nan,nan,nan,nan,nan
29,34,nan,nan,nan,nan,nan,nan
30,47,nan,nan,nan,nan,nan,nan
31,30,nan,nan,nan,nan,nan,nan
32,40,nan,nan,nan,nan,nan,nan
33,47,nan,nan,nan,nan,nan,nan
34,44,nan,nan,nan,nan,nan,nan
35,40,nan,nan,nan,nan,nan,nan
36,36,nan,nan,nan,nan,nan,nan
37,44,nan,nan,nan,nan,nan,nan
38,38,nan,nan,nan,nan,nan,nan
39,38,nan,nan,nan,nan,nan,nan
40,38,nan,nan,nan,nan,nan,nan
41,50,1.0,0.3629807692307692,0.0,0.6370192307692307,0.0,0.3629807692307692
42,48,nan,nan,nan,nan,nan,nan
43,41,nan,nan,nan,nan,nan,nan
44,44,nan,nan,nan,nan,nan,nan
45,33,nan,nan,nan,nan,nan,nan
46,32,nan,nan,nan,nan,nan,nan
47,35,nan,nan,nan,nan,nan,nan
48,44,nan,nan,nan,nan,nan,nan
49,31,nan,nan,nan,nan,nan,nan
50,46,nan,nan,nan,nan,nan,nan
51,33,nan,nan,nan,nan,nan,nan
52,31,nan,nan,nan,nan,nan,nan
53,49,nan,nan,nan,nan,nan,nan
54,49,nan,nan,nan,nan,nan,nan
55,29,nan,nan,nan,nan,nan,nan
56,44,nan,nan,nan,nan,nan,nan
57,46,nan,nan,nan,nan,nan,nan
58,48,nan,nan,nan,nan,nan,nan
