case,display_name,window,t_lo,t_hi,total_hit_mass,membrane_exit_probability,mean_first_membrane_exit_time_given_exit,mean_hit_time_in_window,mean_exit_phase_ratio,phase,sep_peaks
fully_reflective,fully reflective control,peak1,532,584,0.0190351175056132,0.0,nan,558.0050070072747,nan,1,0.6855728968405025
fully_reflective,fully reflective control,valley,1468,1520,0.0031603554148236105,0.0,nan,1493.9995841958796,nan,1,0.6855728968405025
fully_reflective,fully reflective control,peak2,2333,2385,0.004685905421585907,0.0,nan,2359.0001118602063,nan,1,0.6855728968405025
corridor_only_soft,corridor-only soft case,peak1,528,580,0.01770578314665283,0.0034027254501187046,277.2093654478255,554.0041570035658,0.5003741613549685,1,0.674914350970689
corridor_only_soft,corridor-only soft case,valley,1464,1516,0.0033825353833496254,0.10228154987613114,311.69409346025844,1490.0000950740607,0.20919065340379434,1,0.674914350970689
corridor_only_soft,corridor-only soft case,peak2,2301,2353,0.004489990712372687,0.10372071089128494,593.9983418365043,2327.000083612895,0.25526356703617464,1,0.674914350970689
