case,display_name,window,t_lo,t_hi,total_hit_mass,outside_ever_visit_probability,mean_first_exit_time_given_exit,mean_hit_time_in_window,mean_exit_phase_ratio,phase,sep_peaks
fully_reflective,fully reflective control,peak1,532,584,0.0190351175056132,0.6301918988143399,441.7385668412135,558.0050070072747,0.791639073653428,1,0.6855728968405025
fully_reflective,fully reflective control,valley,1468,1520,0.0031603554148236105,0.9850410886738656,205.8440862795281,1493.9995841958796,0.1377805512511707,1,0.6855728968405025
fully_reflective,fully reflective control,peak2,2333,2385,0.004685905421585907,0.9999660562920468,370.0653523117317,2359.0001118602063,0.15687381719533453,1,0.6855728968405025
corridor_only_soft,corridor-only soft case,peak1,528,580,0.01770578314665283,0.6319598098999544,437.4663155831865,554.0041570035658,0.7896444639500617,1,0.674914350970689
corridor_only_soft,corridor-only soft case,valley,1464,1516,0.0033825353833496254,0.9886434859170048,218.88892786781605,1490.0000950740607,0.14690531134290707,1,0.674914350970689
corridor_only_soft,corridor-only soft case,peak2,2301,2353,0.004489990712372687,0.9999696653944328,346.88730883468895,2327.000083612895,0.1490706043706335,1,0.674914350970689
