case,display_name,window,t_lo,t_hi,total_hit_mass,outer_ever_visit_probability,mean_first_exit_time_given_exit,mean_hit_time_in_window,mean_exit_phase_ratio,phase,sep_peaks
fully_reflective,fully reflective control,peak1,532,584,0.0190351175056132,0.21470948116579375,433.1793856957226,558.0050070072747,0.7763001769804464,1,0.6855728968405025
fully_reflective,fully reflective control,valley,1468,1520,0.0031603554148236105,0.9175786425881368,345.8297092944385,1493.9995841958796,0.23147912017698155,1,0.6855728968405025
fully_reflective,fully reflective control,peak2,2333,2385,0.004685905421585907,0.9992326728017522,494.55054687739766,2359.0001118602063,0.20964413879888133,1,0.6855728968405025
corridor_only_soft,corridor-only soft case,peak1,528,580,0.01770578314665283,0.21937546766479518,427.08457620299293,554.0041570035658,0.77090500279449,1,0.674914350970689
corridor_only_soft,corridor-only soft case,valley,1464,1516,0.0033825353833496254,0.9349936391197988,349.32590430116255,1490.0000950740607,0.23444690067875415,1,0.674914350970689
corridor_only_soft,corridor-only soft case,peak2,2301,2353,0.004489990712372687,0.9992436734036163,468.29895934777136,2327.000083612895,0.20124578535497575,1,0.674914350970689
