window,n,frac,P_sc_ge1,P_jo_ge1,C0,C1,C2p,J0,J1,J2p,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p,class_D_taujo_lt_tausc,class_D_tausc_lt_taujo,class_D_tie,P_sc_ge1_ci95_lo,P_sc_ge1_ci95_hi,P_jo_ge1_ci95_lo,P_jo_ge1_ci95_hi
peak1,1048,0.00524,0.09446564885496184,0.0,0.9055343511450382,0.09446564885496184,0.0,1.0,0.0,0.0,0.9055343511450382,0.09446564885496184,0.0,0.0,,,,0.07820937587951891,0.11368415637857017,2.168404344971009e-19,0.0036522609487968528
valley,0,0.0,,,,,,,,,,,,,,,,,,,
peak2,0,0.0,,,,,,,,,,,,,,,,,,,
other,198952,0.99476,0.08904660420603965,0.0,0.9109533957939604,0.08866460251719008,0.00038200168884957176,1.0,0.0,0.0,0.9109533957939604,0.08904660420603965,0.0,0.0,,,,0.08780300360862438,0.09030607484328472,0.0,1.930880726650652e-05
