t,f_total,f_target1,f_target2,survival
0,0.0,0.0,0.0,1.0
1,0.2333333333333333,0.2333333333333333,0.0,0.7666666666666667
2,0.07777777777777778,0.07777777777777778,0.0,0.688888888888889
3,0.04951851851851852,0.04951851851851852,0.0,0.6393703703703704
4,0.032234567901234565,0.032234567901234565,0.0,0.6071358024691359
5,0.02338,0.02338,0.0,0.5837558024691359
6,0.01764979423868313,0.01764979423868313,0.0,0.5661060082304529
7,0.013846638545953362,0.013846638545953362,0.0,0.5522593696844995
8,0.011144092287761012,0.011144092287761012,0.0,0.5411152773967385
9,0.009158162077833664,0.009158162077833664,0.0,0.5319571153189048
10,0.007650287551050822,0.007650287551050822,0.0,0.524306827767854
11,0.006477463395236385,0.006477463395236385,0.0,0.5178293643726176
12,0.005546261244607285,0.005546261244607285,0.0,0.5122831031280104
13,0.004794247066215961,0.004794247066215961,0.0,0.5074888560617945
14,0.004178070878464086,0.004178070878464086,0.0,0.5033107851833304
15,0.003666880039853523,0.003666880039853523,0.0,0.4996439051434768
16,0.003238178714865427,0.003238178714865427,0.0,0.4964057264286114
17,0.0028752354466041775,0.0028752354466041775,0.0,0.4935304909820073
18,0.0025653824023938844,0.0025653824023938844,0.0,0.4909651085796134
19,0.002298877852829537,0.002298877852829537,0.0,0.48866623072678383
20,0.0020681797995811112,0.002068125293877319,5.4505703792383175e-08,0.48659805092720276
21,0.0018674902614840695,0.0018671268901254536,3.633713586158878e-07,0.4847305606657187
22,0.0016924701554369577,0.0016910936441686276,1.3765112683300859e-06,0.48303809051028174
23,0.0015400394910134742,0.001536162762737592,3.876728275882104e-06,0.4814980510192683
24,0.0014082077169182913,0.001399189637330286,9.01807958800517e-06,0.48008984330235
25,0.0012959031629978092,0.0012775926480383703,1.8310514959438816e-05,0.47879394013935217
26,0.0012027910937620382,0.0011692359282762042,3.355516548583405e-05,0.4775911490455902
27,0.0011290828042687985,0.001072339791136702,5.674301313209641e-05,0.47646206624132137
28,0.0010753448718406153,0.00098541156955722,8.993330228339522e-05,0.47538672136948074
29,0.0010423193962025101,0.0009071916989129954,0.0001351276972895148,0.47434440197327826
30,0.0010307647394211528,0.0008366113044059852,0.00019415343501516744,0.4733136372338571
31,0.0010413234335614908,0.0007727585596356744,0.00026856487392581626,0.47227231380029566
32,0.0010744206887630657,0.0007148517948824799,0.00035956889388058565,0.4711978931115326
33,0.0011301939890004764,0.0006622178448453176,0.00046797614415515867,0.4700676991225321
34,0.001208451947630146,0.0006142744966526371,0.0005941774509775089,0.468859247174902
35,0.001308659008987051,0.0005705161711420369,0.000738142837845014,0.467550588165915
36,0.0014299416806220133,0.0005305021719903741,0.0008994395086316391,0.46612064648529294
37,0.0015711116452599642,0.0004938469879515093,0.001077264657308455,0.464549534840033
38,0.0017307011901053397,0.000460212247051438,0.0012704889430539019,0.4628188336499277
39,0.001907006766477797,0.00042930000792218225,0.0014777067585556147,0.4609118268834499
40,0.002098137037407676,0.0004008471395711584,0.0016972898978365174,0.4588136898460422
41,0.002302062392425767,0.00037462059188216767,0.001927441800543599,0.45651162745361645
42,0.0025166635401060997,0.0003504133987529046,0.002166250141353195,0.4539949639135104
43,0.0027397773848089535,0.0003280412867356475,0.002411736098073306,0.45125518652870145
44,0.002969238927286937,0.0003073397863993223,0.0026618991408876146,0.4482859476014145
45,0.0032029183857442056,0.0002881617628957672,0.0029147566228484383,0.44508302921567033
46,0.003438753110706039,0.0002703752975382568,0.0031683778131677822,0.44164427610496426
47,0.0036747741663102785,0.0002538618644564115,0.003420912301853867,0.437969501938654
48,0.003909127679014304,0.00023851475624278297,0.0036706129227715213,0.4340603742596398
49,0.004140091220978275,0.0002242377204628124,0.003915853500515463,0.4299202830386615
50,0.0043660856090831,0.00021094377535563094,0.004155141833727469,0.4255541974295784
51,0.004585682571118423,0.000198554178314484,0.004387128392803939,0.42096851485846
52,0.004797608766932829,0.00018699752504156342,0.004610611241891265,0.4161709060915271
53,0.005000746662125741,0.00017620896081048317,0.004824537701315258,0.4111701594294014
54,0.005194132741946915,0.00016612948818867026,0.005028003253758245,0.40597602668745447
55,0.00537695352912722,0.00015670535798899585,0.005220248171138224,0.4005990731583273
56,0.005548539836025961,0.00014788753222855577,0.005400652303797405,0.39505053332230133
57,0.005708359642436524,0.00013963120954742523,0.005568728432889099,0.3893421736798648
58,0.005856009948510783,0.00013189540494152897,0.005724114543569254,0.383486163731354
59,0.005991207909709544,0.00012464257683993606,0.0058665653328696075,0.37749495582164455
60,0.00611378151904413,0.00011783829554713136,0.005995943223496999,0.3713811743026004
61,0.006223660062251398,0.00011145094790700185,0.006112209114344396,0.36515751424034903
62,0.006320864534671007,0.00010545147375340675,0.0062154130609176,0.358836649705678
63,0.0064054981749041276,9.981313031354628e-05,0.006305685044590581,0.3524311515307739
64,0.006477737240036147,9.451128124237919e-05,0.006383225958793768,0.3459534142907378
65,0.006537822120343365,8.952320740345697e-05,0.0064482989129399084,0.3394155921703944
66,0.006586048867895742,8.482793688564005e-05,0.006501220931010102,0.3328295433024987
67,0.006622761193151052,8.040609206610107e-05,0.006542355101084951,0.3262067821093476
68,0.0066483429662930965,7.623975180600154e-05,0.006572103214487095,0.3195584391430546
69,0.006663211245448634,7.231232710309105e-05,0.006590898918345543,0.31289522789760593
70,0.006667809841760776,6.860844873093681e-05,0.006599201393029839,0.3062274180558452
71,0.006662603421334557,6.511386557234305e-05,0.006597489555762214,0.29956481463451057
72,0.00664807213604405,6.181535250878975e-05,0.00658625678353526,0.2929167424984666
73,0.006624706768853134,5.870062686180895e-05,0.006566006141991325,0.2862920357296135
74,0.006593004374423855,5.575827249898751e-05,0.006537246101924868,0.2796990313551896
75,0.006553464392156444,5.2977670819173e-05,0.006500486721337271,0.27314556696303316
76,0.006506585206232248,5.0348937920519814e-05,0.0064562362683117285,0.26663898175680095
77,0.006452861125543991,4.786286733300528e-05,0.006404998258210986,0.2601861206312569
78,0.0063927797554454,4.5510877765461684e-05,0.006347268877679939,0.2537933408758115
79,0.006326819732900978,4.3284965377289116e-05,0.006283534767523689,0.24746652114291057
80,0.006255448796750812,4.117766013792952e-05,0.006214271136612883,0.24121107234615974
81,0.006179122165324523,3.918198588383182e-05,0.006139940179440691,0.23503195018083525
82,0.00609828119445713,3.729142372382821e-05,0.006060989770733302,0.22893366898637812
83,0.006013352290004909,3.549987848026764e-05,0.005977852411524642,0.22292031669637327
84,0.005924746050169662,3.3801647885512435e-05,0.005890944402284149,0.2169955706462036
85,0.0058328566142642636,3.2191394282016105e-05,0.005800665219982248,0.2111627140319393
86,0.005738061195948116,3.066411859961393e-05,0.005707397077348502,0.20542465283599123
87,0.0056407197803937156,2.921513640625999e-05,0.005611504643987455,0.1997839330555975
88,0.005541174966286783,2.7840055848574705e-05,0.005513334910438208,0.19424275808931074
89,0.00543975193498982,2.653475731651868e-05,0.005413217177673302,0.18880300615432094
90,0.0053367585305951135,2.5295374682537855e-05,0.005311463155912576,0.18346624762372582
91,0.005232485435944511,2.411827797985653e-05,0.005208367157964655,0.1782337621877813
92,0.0051272064309898484,2.3000057397422806e-05,0.005104206373592425,0.17310655575679146
93,0.005021178721102449,2.1937508480508208e-05,0.004999241212621941,0.16808537703568902
94,0.00491464332410797,2.0927618436278772e-05,0.004893715705671691,0.16317073371158103
95,0.004807825505921112,1.9967553452921314e-05,0.004787857952468191,0.15836290820565993
96,0.0047009352556821845,1.905464694924177e-05,0.004681880608732943,0.15366197294997774
97,0.004594167792254122,1.818638867915426e-05,0.004575981403574968,0.1490678051577236
98,0.004487704094825383,1.736041462224061e-05,0.004470343680203143,0.14458010106289826
99,0.0043817114511829555,1.657449759765939e-05,0.004365136953585296,0.14019838961171527
100,0.004276344017972811,1.582653854419171e-05,0.004260517479428619,0.1359220455937425
101,0.00417174338795537,1.5114558414190329e-05,0.00415662882954118,0.13175030220578712
102,0.0040680391598940085,1.4436690633704121e-05,0.004053602469260304,0.1276822630458931
103,0.0039653495072885,1.3791174085130706e-05,0.003951558333203369,0.12371691353860462
104,0.0038637817426861315,1.3176346572449354e-05,0.0038506053961136822,0.11985313179591847
105,0.0037634328747741907,1.2590638732443144e-05,0.0037508422360417477,0.1160896989211443
106,0.0036643901558823275,1.2032568358367946e-05,0.0036523575875239593,0.11242530876526197
107,0.0035667316179049543,1.1500735105296897e-05,0.0035552308827996575,0.10885857714735703
108,0.003470526594995867,1.0993815548890246e-05,0.003459532779446977,0.10538805055236115
