t,f_total,f_target1,f_target2,survival
0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,1.0
4,0.0003160493827160494,0.0003160493827160494,0.0,0.999683950617284
5,0.00042139917695473253,0.00042139917695473253,0.0,0.9992625514403293
6,0.0004410644718792867,0.0004410644718792867,0.0,0.99882148696845
7,0.0004139076360310929,0.0004139076360310929,0.0,0.9984075793324191
8,0.00036870242950769704,0.00036870242950769704,0.0,0.9980388769029114
9,0.0003189565167911396,0.0003189565167911396,0.0,0.9977199203861203
10,0.0002712134259208455,0.0002712134259208455,0.0,0.9974487069601996
11,0.00022819677596572346,0.00022819677596572346,0.0,0.9972205101842339
12,0.00019074789656770938,0.00019074789656770938,0.0,0.9970297622876662
13,0.000158796940463181,0.000158796940463181,0.0,0.9968709653472029
14,0.00013187258420768353,0.00013187258420768353,0.0,0.9967390927629952
15,0.00010936014614633967,0.00010936014614633967,0.0,0.996629732616849
16,9.062910299100971e-05,9.062910299100971e-05,0.0,0.996539103513858
17,7.509195679892102e-05,7.509195679892102e-05,0.0,0.9964640115570591
18,6.222759158269094e-05,6.222759158269094e-05,0.0,0.9964017839654764
19,5.158667455064394e-05,5.158667455064394e-05,0.0,0.9963501972909259
20,4.2788438132893156e-05,4.2788438132893156e-05,0.0,0.9963074088527929
21,3.551376169425853e-05,3.551376169425853e-05,0.0,0.9962718950910989
22,2.9497095226594963e-05,2.9497095226594963e-05,0.0,0.9962423979958721
23,2.4518486279244758e-05,2.4518486279244758e-05,0.0,0.996217879509593
24,2.039628533564599e-05,2.039628533564599e-05,0.0,0.9961974832242574
25,1.6980743216373346e-05,1.6980743216373346e-05,0.0,0.996180502481041
26,1.4148529608887658e-05,1.4148529608887658e-05,0.0,0.9961663539514322
27,1.1798113608312944e-05,1.1798113608312944e-05,0.0,0.9961545558378239
28,9.84591057151609e-06,9.84591057151609e-06,0.0,0.9961447099272522
29,8.223089977308957e-06,8.223089977308957e-06,0.0,0.9961364868372751
30,6.879398746801902e-06,6.87294277182978e-06,6.455974972121984e-09,0.9961296074385283
31,5.813276214688792e-06,5.748716464967573e-06,6.455974972121987e-08,0.9961237941623137
32,5.159169542302595e-06,4.811838088802432e-06,3.473314535001629e-07,0.9961186349927715
33,5.363352823898164e-06,4.030457013357542e-06,1.332895810540622e-06,0.9961132716399476
34,7.463874650061485e-06,3.3782505812446546e-06,4.08562406881683e-06,0.9961058077652976
35,1.3461690109968791e-05,2.833445189818937e-06,1.0628244920149854e-05,0.9960923460751874
36,2.673775515308041e-05,2.3780137386391283e-06,2.435974141444128e-05,0.9960656083200344
37,5.244550810933708e-05,1.9970173425752642e-06,5.044849076676181e-05,0.9960131628119252
38,9.779760724285386e-05,1.6780650237108694e-06,9.611954221914299e-05,0.9959153652046823
39,0.00017217290837656635,1.4108698956548463e-06,0.00017076203848091152,0.9957431922963058
40,0.00028699230413730434,1.1868842967982165e-06,0.00028580541984050614,0.9954561999921685
41,0.00045534454697512307,9.989995557520387e-07,0.00045434554741937105,0.9950008554451933
42,0.000691378472962421,8.412987064328197e-07,0.0006905371742559882,0.9943094769722309
43,0.0010095095626653176,7.088526175973399e-07,0.0010088007100477203,0.9932999674095657
44,0.0014235117272509493,5.975517506279233e-07,0.0014229141755003213,0.9918764556823148
45,0.0019455771199169928,5.039671834670507e-07,0.0019450731527335258,0.9899308785623977
46,0.0025854274107823603,4.2523569821334645e-07,0.002585002175084147,0.9873454511516154
47,0.0033495508475956787,3.5896467445518004e-07,0.0033491918829212236,0.9839959003040197
48,0.004240623167197857,3.031533002333554e-07,0.004240320013897623,0.9797552771368219
49,0.005257150069852663,2.561272403610571e-07,0.005256893942612302,0.9744981270669693
50,0.006393347460835113,2.1648441429265853e-07,0.00639313097642082,0.9681047796061341
