window,n,frac,P_sc_ge1,P_jo_ge1,C0,C1,C2p,J0,J1,J2p,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p,class_D_taujo_lt_tausc,class_D_tausc_lt_taujo,class_D_tie,P_sc_ge1_ci95_lo,P_sc_ge1_ci95_hi,P_jo_ge1_ci95_lo,P_jo_ge1_ci95_hi
peak1,2962,0.01481,1.0,0.3389601620526671,0.0,1.0,0.0,0.6610398379473329,0.2201215395003376,0.1188386225523295,0.0,0.6610398379473329,0.0,0.3389601620526671,0.0,1.0,0.0,0.9987047184178682,0.9999999999999999,0.3221313746555057,0.3562061333219938
valley,2258,0.01129,0.9047829937998229,0.3724534986713906,0.09521700620017715,0.9047829937998229,0.0,0.6275465013286093,0.22940655447298494,0.14304694419840566,0.07351638618246235,0.5540301151461471,0.021700620017714792,0.3507528786536758,0.0,1.0,0.0,0.891979620196026,0.9162113689519322,0.35274461012229996,0.39259564712648354
peak2,5929,0.029645,0.1453870804520155,0.2836903356383876,0.8546129195479845,0.14521841794569068,0.00016866250632484398,0.7163096643616124,0.17979423174228368,0.1038961038961039,0.6294484736043178,0.08686119075729465,0.22516444594366672,0.05852588969472086,0.0,1.0,0.0,0.13664417426402503,0.15458922053957125,0.2723586474196534,0.29530215107528707
other,188851,0.944255,0.17533399346574813,0.2953492435835659,0.8246660065342518,0.17467209599101938,0.0006618974747287544,0.7046507564164342,0.18278431144129498,0.1125649321422709,0.597915817231574,0.10673493918486002,0.22675018930267776,0.06859905428088811,0.01103820918564261,0.9889617908143574,0.0,0.17362558498246014,0.17705561036794806,0.29329586884478576,0.2974109441490942
