t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,0,nan,nan,nan,nan,nan,nan
6,5,nan,nan,nan,nan,nan,nan
7,3,nan,nan,nan,nan,nan,nan
8,8,nan,nan,nan,nan,nan,nan
9,10,nan,nan,nan,nan,nan,nan
10,18,nan,nan,nan,nan,nan,nan
11,8,nan,nan,nan,nan,nan,nan
12,16,nan,nan,nan,nan,nan,nan
13,18,nan,nan,nan,nan,nan,nan
14,14,nan,nan,nan,nan,nan,nan
15,21,nan,nan,nan,nan,nan,nan
16,10,nan,nan,nan,nan,nan,nan
17,20,nan,nan,nan,nan,nan,nan
18,28,nan,nan,nan,nan,nan,nan
19,18,nan,nan,nan,nan,nan,nan
20,24,nan,nan,nan,nan,nan,nan
21,22,nan,nan,nan,nan,nan,nan
22,21,nan,nan,nan,nan,nan,nan
23,18,nan,nan,nan,nan,nan,nan
24,24,nan,nan,nan,nan,nan,nan
25,34,nan,nan,nan,nan,nan,nan
26,25,nan,nan,nan,nan,nan,nan
27,19,nan,nan,nan,nan,nan,nan
28,27,nan,nan,nan,nan,nan,nan
29,25,nan,nan,nan,nan,nan,nan
30,15,nan,nan,nan,nan,nan,nan
31,19,nan,nan,nan,nan,nan,nan
32,22,nan,nan,nan,nan,nan,nan
33,17,nan,nan,nan,nan,nan,nan
34,28,nan,nan,nan,nan,nan,nan
35,22,nan,nan,nan,nan,nan,nan
36,34,nan,nan,nan,nan,nan,nan
37,28,nan,nan,nan,nan,nan,nan
38,20,nan,nan,nan,nan,nan,nan
39,23,nan,nan,nan,nan,nan,nan
40,17,nan,nan,nan,nan,nan,nan
41,24,nan,nan,nan,nan,nan,nan
42,19,nan,nan,nan,nan,nan,nan
43,17,nan,nan,nan,nan,nan,nan
44,26,nan,nan,nan,nan,nan,nan
45,20,nan,nan,nan,nan,nan,nan
46,19,nan,nan,nan,nan,nan,nan
47,31,nan,nan,nan,nan,nan,nan
48,20,nan,nan,nan,nan,nan,nan
49,27,nan,nan,nan,nan,nan,nan
50,22,nan,nan,nan,nan,nan,nan
51,26,nan,nan,nan,nan,nan,nan
52,24,nan,nan,nan,nan,nan,nan
53,17,nan,nan,nan,nan,nan,nan
54,24,nan,nan,nan,nan,nan,nan
55,16,nan,nan,nan,nan,nan,nan
56,26,nan,nan,nan,nan,nan,nan
57,23,nan,nan,nan,nan,nan,nan
58,24,nan,nan,nan,nan,nan,nan
59,24,nan,nan,nan,nan,nan,nan
60,21,nan,nan,nan,nan,nan,nan
61,21,nan,nan,nan,nan,nan,nan
