t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,2,nan,nan,nan,nan,nan,nan
6,1,nan,nan,nan,nan,nan,nan
7,5,nan,nan,nan,nan,nan,nan
8,11,nan,nan,nan,nan,nan,nan
9,10,nan,nan,nan,nan,nan,nan
10,21,nan,nan,nan,nan,nan,nan
11,13,nan,nan,nan,nan,nan,nan
12,17,nan,nan,nan,nan,nan,nan
13,33,nan,nan,nan,nan,nan,nan
14,19,nan,nan,nan,nan,nan,nan
15,14,nan,nan,nan,nan,nan,nan
16,18,nan,nan,nan,nan,nan,nan
17,24,nan,nan,nan,nan,nan,nan
18,18,nan,nan,nan,nan,nan,nan
19,20,nan,nan,nan,nan,nan,nan
20,22,nan,nan,nan,nan,nan,nan
21,21,nan,nan,nan,nan,nan,nan
22,17,nan,nan,nan,nan,nan,nan
23,17,nan,nan,nan,nan,nan,nan
24,20,nan,nan,nan,nan,nan,nan
25,24,nan,nan,nan,nan,nan,nan
26,26,nan,nan,nan,nan,nan,nan
27,15,nan,nan,nan,nan,nan,nan
28,26,nan,nan,nan,nan,nan,nan
29,25,nan,nan,nan,nan,nan,nan
30,24,nan,nan,nan,nan,nan,nan
31,22,nan,nan,nan,nan,nan,nan
32,20,nan,nan,nan,nan,nan,nan
33,27,nan,nan,nan,nan,nan,nan
34,22,nan,nan,nan,nan,nan,nan
35,21,nan,nan,nan,nan,nan,nan
36,17,nan,nan,nan,nan,nan,nan
37,19,nan,nan,nan,nan,nan,nan
38,28,nan,nan,nan,nan,nan,nan
39,28,nan,nan,nan,nan,nan,nan
40,24,nan,nan,nan,nan,nan,nan
41,25,nan,nan,nan,nan,nan,nan
42,14,nan,nan,nan,nan,nan,nan
43,19,nan,nan,nan,nan,nan,nan
44,23,nan,nan,nan,nan,nan,nan
45,20,nan,nan,nan,nan,nan,nan
46,21,nan,nan,nan,nan,nan,nan
47,16,nan,nan,nan,nan,nan,nan
48,26,nan,nan,nan,nan,nan,nan
49,19,nan,nan,nan,nan,nan,nan
50,21,nan,nan,nan,nan,nan,nan
51,21,nan,nan,nan,nan,nan,nan
52,24,nan,nan,nan,nan,nan,nan
53,16,nan,nan,nan,nan,nan,nan
54,25,nan,nan,nan,nan,nan,nan
55,18,nan,nan,nan,nan,nan,nan
56,19,nan,nan,nan,nan,nan,nan
57,18,nan,nan,nan,nan,nan,nan
58,14,nan,nan,nan,nan,nan,nan
59,23,nan,nan,nan,nan,nan,nan
60,23,nan,nan,nan,nan,nan,nan
61,20,nan,nan,nan,nan,nan,nan
