window,n,frac,P_sc_ge1,P_jo_ge1,C0,C1,C2p,J0,J1,J2p,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p,class_D_taujo_lt_tausc,class_D_tausc_lt_taujo,class_D_tie,P_sc_ge1_ci95_lo,P_sc_ge1_ci95_hi,P_jo_ge1_ci95_lo,P_jo_ge1_ci95_hi
peak1,3448,0.01724,1.0,0.35556844547563804,0.0,1.0,0.0,0.644431554524362,0.23694895591647333,0.11861948955916474,0.0,0.644431554524362,0.0,0.35556844547563804,0.0,1.0,0.0,0.9988870868234512,1.0,0.3397592686907263,0.37169910182082905
valley,2517,0.012585,0.9058402860548271,0.367103694874851,0.09415971394517282,0.9058402860548271,0.0,0.6328963051251489,0.23639253079062375,0.13071116408422725,0.07151370679380215,0.5613825983313468,0.02264600715137068,0.34445768772348034,0.0,1.0,0.0,0.8938040819914514,0.9166395412810302,0.348488409182994,0.386124031360672
peak2,5966,0.02983,0.17197452229299362,0.2960107274555816,0.8280254777070064,0.1713040563191418,0.0006704659738518271,0.7039892725444183,0.182199128394234,0.11381159906134763,0.597049949715052,0.10693932282936641,0.23097552799195442,0.06503519946362722,0.0,1.0,0.0,0.16261070954345033,0.1817605045939565,0.28456117472205666,0.3077228148564942
other,188069,0.940345,0.19029186096592207,0.2980820868936401,0.8097081390340779,0.18943579218265635,0.0008560687832657163,0.7019179131063599,0.18413454636330284,0.11394754053033727,0.5852479675012894,0.11666994560507048,0.2244601715327885,0.07362191536085161,0.010616784630940344,0.9893832153690597,0.0,0.1885241195695282,0.19207225463870836,0.29601890420316124,0.3001535183865338
