level,family,mass
fine,N_direct,0.06857685677075821
fine,N_detour,0.020160824979039094
fine,F_clean,0.6705427610168215
fine,F_linger,0.11546475262242918
fine,F_rollback,0.12525480456597596
coarse,N_direct,0.06857685677075821
coarse,N_detour,0.020160824979039094
coarse,F_no_return,0.7860075136392435
coarse,F_rollback,0.12525480456597596
