t,n,P_sc_ge1,P_jo_ge1,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p
1,0,nan,nan,nan,nan,nan,nan
2,0,nan,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan,nan
5,2,nan,nan,nan,nan,nan,nan
6,2,nan,nan,nan,nan,nan,nan
7,2,nan,nan,nan,nan,nan,nan
8,10,nan,nan,nan,nan,nan,nan
9,12,nan,nan,nan,nan,nan,nan
10,12,nan,nan,nan,nan,nan,nan
11,9,nan,nan,nan,nan,nan,nan
12,13,nan,nan,nan,nan,nan,nan
13,16,nan,nan,nan,nan,nan,nan
14,23,nan,nan,nan,nan,nan,nan
15,18,nan,nan,nan,nan,nan,nan
16,23,nan,nan,nan,nan,nan,nan
17,22,nan,nan,nan,nan,nan,nan
18,20,nan,nan,nan,nan,nan,nan
19,24,nan,nan,nan,nan,nan,nan
20,22,nan,nan,nan,nan,nan,nan
21,22,nan,nan,nan,nan,nan,nan
22,23,nan,nan,nan,nan,nan,nan
23,15,nan,nan,nan,nan,nan,nan
24,21,nan,nan,nan,nan,nan,nan
25,24,nan,nan,nan,nan,nan,nan
26,21,nan,nan,nan,nan,nan,nan
27,25,nan,nan,nan,nan,nan,nan
28,18,nan,nan,nan,nan,nan,nan
29,22,nan,nan,nan,nan,nan,nan
30,22,nan,nan,nan,nan,nan,nan
31,23,nan,nan,nan,nan,nan,nan
32,17,nan,nan,nan,nan,nan,nan
33,25,nan,nan,nan,nan,nan,nan
34,22,nan,nan,nan,nan,nan,nan
35,16,nan,nan,nan,nan,nan,nan
36,13,nan,nan,nan,nan,nan,nan
37,25,nan,nan,nan,nan,nan,nan
38,17,nan,nan,nan,nan,nan,nan
39,27,nan,nan,nan,nan,nan,nan
40,26,nan,nan,nan,nan,nan,nan
41,26,nan,nan,nan,nan,nan,nan
42,27,nan,nan,nan,nan,nan,nan
43,28,nan,nan,nan,nan,nan,nan
44,20,nan,nan,nan,nan,nan,nan
45,42,nan,nan,nan,nan,nan,nan
46,19,nan,nan,nan,nan,nan,nan
47,18,nan,nan,nan,nan,nan,nan
48,15,nan,nan,nan,nan,nan,nan
49,16,nan,nan,nan,nan,nan,nan
50,18,nan,nan,nan,nan,nan,nan
51,16,nan,nan,nan,nan,nan,nan
52,21,nan,nan,nan,nan,nan,nan
53,22,nan,nan,nan,nan,nan,nan
54,25,nan,nan,nan,nan,nan,nan
55,26,nan,nan,nan,nan,nan,nan
56,27,nan,nan,nan,nan,nan,nan
57,20,nan,nan,nan,nan,nan,nan
58,29,nan,nan,nan,nan,nan,nan
59,22,nan,nan,nan,nan,nan,nan
60,21,nan,nan,nan,nan,nan,nan
61,14,nan,nan,nan,nan,nan,nan
