case,window,t_lo,t_hi,region,x,y,occupancy,rank_in_region
sym_shared,peak1,369,421,top_full,53,11,0.00014115105780020053,5
sym_shared,peak1,369,421,top_full,54,13,0.00011372646681788383,6
sym_shared,peak1,369,421,top_full,53,12,0.0001004053964078587,7
sym_shared,peak1,369,421,top_full,54,14,9.026873044355532e-05,8
sym_shared,peak1,369,421,top_full,52,10,8.566777698837e-05,9
sym_shared,peak1,369,421,top_full,53,13,7.367100028069827e-05,10
sym_shared,peak1,369,421,top_full,52,11,7.170780430122887e-05,11
sym_shared,peak1,369,421,top_full,53,14,6.117359956202269e-05,12
sym_shared,peak1,369,421,top_full,5,10,5.794931603024809e-05,13
sym_shared,peak1,369,421,top_full,52,12,5.579722078990978e-05,14
sym_shared,peak1,369,421,top_full,52,13,4.398514018119918e-05,15
sym_shared,peak1,369,421,top_full,51,10,4.158033683915786e-05,16
sym_shared,peak1,369,421,top_full,52,14,3.8030123492438884e-05,17
sym_shared,peak1,369,421,top_full,5,11,3.639377043835187e-05,18
sym_shared,peak1,369,421,top_full,51,11,3.6191456562816016e-05,19
sym_shared,peak1,369,421,top_full,51,12,2.9843801929936737e-05,20
sym_shared,peak1,369,421,top_full,51,13,2.48074607923635e-05,21
sym_shared,peak1,369,421,top_full,6,10,2.477181832717229e-05,22
sym_shared,peak1,369,421,top_full,51,14,2.214121957785875e-05,23
sym_shared,peak1,369,421,top_full,5,12,2.181007969950912e-05,24
sym_shared,peak1,369,421,top_full,50,10,2.071460025644395e-05,25
sym_shared,peak1,369,421,top_full,6,11,1.8335787096079878e-05,26
sym_shared,peak1,369,421,top_full,50,11,1.8292142326272343e-05,27
sym_shared,peak1,369,421,top_full,50,12,1.5607321749643626e-05,28
sym_shared,peak1,369,421,top_full,5,13,1.4183148188739201e-05,29
sym_shared,peak1,369,421,top_full,50,13,1.3446334995180026e-05,30
sym_shared,peak1,369,421,top_full,6,12,1.2460481432520624e-05,31
