definition,label,rule,max_beta_by_n0,count_at_or_above_beta_c,beta_c_valley_over_min_range_n0_1_3
local_maxima,two local maxima,two filtered peaks; peak separation $\geq 10$; $0.1 \leq h_2/h_1 \leq 10$,n0=1: 0.062; n0=2: 0.060; n0=3: 0.060; n0=4: none; n0=5: none; n0=6: none,34,0.887-0.891
permissive,permissive valley,"local-maxima rule plus $h_v/\max(h_1,h_2) \leq 0.9$",n0=1: 0.062; n0=2: 0.060; n0=3: 0.060; n0=4: none; n0=5: none; n0=6: none,34,0.887-0.891
visual,visual double peak,"local-maxima rule plus $h_v/\min(h_1,h_2) \leq 0.8$",n0=1: 0.030; n0=2: 0.030; n0=3: 0.030; n0=4: none; n0=5: none; n0=6: none,0,0.887-0.891
strong_visual,strong visual double peak,"local-maxima rule plus $h_v/\min(h_1,h_2) \leq 0.6$",n0=1: 0.018; n0=2: 0.018; n0=3: 0.018; n0=4: none; n0=5: none; n0=6: none,0,0.887-0.891
