t,f_total,f_target1,f_target2,survival
0,0.0,0.0,0.0,1.0
1,0.04499999999999999,0.04499999999999999,0.0,0.9550000000000001
2,0.04094999999999999,0.04094999999999999,0.0,0.9140499999999999
3,0.011840624999999995,0.011840624999999995,0.0,0.9022093750000001
4,0.006723551249999997,0.006723551249999997,0.0,0.89548582375
5,0.0032445291093749985,0.0032443445812499984,1.8452812499999981e-07,0.8922412946406251
6,0.001734430833281249,0.001734255531562499,1.7530171874999976e-07,0.8905068638073438
7,0.0009527827176513275,0.0009526020830697649,1.8063458156249975e-07,0.8895540810896926
8,0.0005338316022927149,0.000533688481056466,1.431212362488279e-07,0.8890202494873997
9,0.00030618648936055995,0.0003060810422287973,1.0544713176260726e-07,0.888714062998039
10,0.0002967901059455874,0.00017798907496114345,0.00011880103098444394,0.8884172728920935
11,0.0028683083096341655,0.00010488282905650494,0.0027634254805776605,0.8855489645824595
12,0.012955770280044038,6.245001385082276e-05,0.012893320266193215,0.8725931943024154
13,0.03010283542093849,3.750785618183001e-05,0.03006532756475666,0.8424903588814768
14,0.048253622054132944,2.2692848908307394e-05,0.048230929205224635,0.7942367368273441
15,0.062057083388441736,2.6750948443816424e-05,0.06203033243999792,0.7321796534389022
16,0.06927950745060074,0.00016722657866771165,0.06911228087193302,0.6629001459883017
17,0.07046373971062174,0.0008179565294715387,0.0696457831811502,0.5924364062776798
18,0.06761864147270752,0.002425399980240461,0.06519324149246705,0.5248177648049723
19,0.06277125434116791,0.0050773412998452744,0.05769391304132264,0.4620465104638044
20,0.05724818881316595,0.008384515377586008,0.048863673435579943,0.4047983216506385
21,0.051666935489958286,0.011709192587935126,0.03995774290202316,0.3531313861606802
22,0.046208883663045944,0.014453190553749443,0.0317556931092965,0.30692250249763425
23,0.040886626612884794,0.01623661065420737,0.024650015958677426,0.2660358758847494
24,0.03570216302784472,0.016940369409173355,0.01876179361867137,0.23033371285690474
25,0.030701319934720438,0.016656149101070005,0.014045170833650434,0.1996323929221843
26,0.025967551676056917,0.015600721914931328,0.010366829761125589,0.17366484124612735
