window,n,frac,P_sc_ge1,P_jo_ge1,C0,C1,C2p,J0,J1,J2p,class_C0J0,class_C1pJ0,class_C0J1p,class_C1pJ1p,class_D_taujo_lt_tausc,class_D_tausc_lt_taujo,class_D_tie,P_sc_ge1_ci95_lo,P_sc_ge1_ci95_hi,P_jo_ge1_ci95_lo,P_jo_ge1_ci95_hi
peak1,1992,0.00996,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.9980751979515811,1.0,0.0,0.0019248020484190728
valley,1881,0.009405,0.9346092503987241,0.0,0.06539074960127592,0.9346092503987241,0.0,1.0,0.0,0.0,0.06539074960127592,0.9346092503987241,0.0,0.0,,,,0.9225276419988296,0.9449192564567225,0.0,0.0020381553548054114
peak2,5851,0.029255,0.12459408648094343,0.0,0.8754059135190566,0.12459408648094343,0.0,1.0,0.0,0.0,0.8754059135190566,0.12459408648094343,0.0,0.0,,,,0.1163771790010054,0.13330363217585034,5.421010862427522e-20,0.0006561407229189599
other,190276,0.95138,0.14574092371082006,0.0,0.85425907628918,0.14522062687884968,0.0005202968319704009,1.0,0.0,0.0,0.85425907628918,0.14574092371082006,0.0,0.0,,,,0.14416263647495345,0.14733351536964637,0.0,2.0189211677376124e-05
