case_id,b,r,theta,t1,t2,tv,R_peak,R_valley,score
theta0_r05_b012,0.12,5,0,5,17,6,0.28353187827259946,0.25517869044533958,13.333333333333329
theta0_r04_b008,0.080000000000000002,4,0,4,12,5,0.50759789091392549,0.44668614400425455,9.0909090909090882
theta0_r04_b012,0.12,4,0,4,10,5,0.65373148295781391,0.47068666772962608,8.3333333333333321
theta0_r03_b016,0.16,3,0,3,9,4,0.53417710493612502,0.42000000000000021,7.6311014990874968
theta0_r05_b016,0.16,5,0,7,13,8,0.72784685710467878,0.63614026179183725,6.8649658022385998
theta0_r02_b016,0.16,2,0,2,8,7,0.19971319861762499,0.197606995884375,6.0639512601410841
theta0_r03_b000,0,3,0,3,8,4,0.77448575866284053,0.69703718279655646,5.5555555555555554
