L,classification,peak_1,peak_2,R_peak,R_valley,separation_widths,survival_at_tmax,tail_at_5000,quadrature_error
31,bimodal,32.5,196.0,0.24121308989487927,0.31131230282877903,1.4598214285714286,3.674377067314573e-05,1.1203623214842895e-21,7.760259101985412e-11
41,bimodal,32.0,270.0,0.30388127255648806,0.10463779153010735,1.6499133448873484,0.00016084715066439975,1.5805774902997396e-20,3.156251926483833e-10
61,bimodal,32.0,434.0,0.4076859999676614,0.010947554419847346,2.1019607843137256,0.0018886304108761834,5.974513867050978e-19,3.077270549489697e-09
